timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664402045841,0.21020508,-0.56500244,-0.109191895,-2.90625,-5.296875,1.015625,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402045887,0.2290039,-0.7185669,-0.17877197,1.234375,-9.3125,5.171875,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402045931,0.24707031,-1.0618286,-0.09234619,-3.03125,-13.65625,-3.71875,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402045961,0.22949219,-1.1240845,-0.022277832,-11.921875,-4.171875,-8.5,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046006,0.20288086,-1.0630493,-0.035461426,-11.71875,-2.09375,-9.96875,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046036,0.3227539,-1.0679321,-0.302063,-13.59375,-4.90625,-12.03125,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046082,0.34375,-0.97198486,-0.47784424,-10.953125,-2.125,-4.296875,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046131,-0.011962891,-0.7608032,-0.5281372,-18.015625,26.734375,1.421875,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046156,0.029296875,-0.70806885,-0.4439087,12.375,24.234375,-3.296875,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046201,0.3515625,-0.9771118,-0.24542236,31.28125,6.109375,-7.0625,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046247,0.16186523,-1.1692505,-0.17510986,-3.28125,6.375,-0.109375,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046276,-0.0014648438,-0.87042236,-0.12506104,-14.375,5.3125,1.953125,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046336,-0.048339844,-0.71466064,-0.19586182,6.25,13.359375,-3.859375,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046351,-0.01953125,-0.77349854,-0.3015747,14.0625,16.09375,-3.765625,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
1664402046396,0.04711914,-0.93096924,-0.27130127,2.34375,19.21875,-0.984375,Respeck,Climbing stairs,12,s1826377,,Respeck_s1826377_Climbing stairs_28-09-2022_22-54-40
