timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664377152851,-0.5732421999999999,0.5,-0.05859375,-107.59375,-12.875,-38.0,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377152895,-0.55566406,0.35839844,0.02734375,-138.84375,-18.25,-34.625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377152938,-0.5566406,0.051757812,0.08203125,-165.09375,-27.4375,-26.09375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377152962,-0.66503906,-0.14453125,0.12207031,-120.90625,-7.96875,-21.46875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153007,-0.7529296999999999,0.2548828,0.10546875,-94.40625,-11.875,-29.4375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153052,-0.70214844,0.24023438,0.24609375,-115.03125,5.625,-33.21875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153098,-0.8222655999999999,0.24804688,0.1796875,-133.71875,-6.75,-44.09375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153145,-0.8652344000000001,-0.08691406,0.15527344,-58.8125,38.71875,11.3125,-65.875,9.9375,-125.125,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153165,-1.2558593999999998,0.41699220000000004,-0.64160156,-50.09375,88.8125,24.75,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153209,-0.9716796999999998,0.015625,-0.068359375,-99.46875,24.5625,13.46875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153277,-1.125,-0.16894531,-0.18164062,-74.1875,56.59375,-10.09375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153300,-1.1533203,-0.033203125,-0.19140625,-47.34375,21.0,-8.6875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153325,-1.1123047,0.060546875,-0.020507812,-62.65625,35.0625,-16.4375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153367,-0.95410156,-0.048828125,-0.12597656,-59.6875,-21.15625,-7.96875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153412,-0.8701171999999998,-0.076171875,-0.18554688,-15.90625,-1.40625,4.375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153480,-0.8574219000000001,0.140625,-0.18457031,-7.96875,7.46875,13.21875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153482,-0.8730469000000001,-0.033203125,-0.22949219,-13.28125,-0.34375,15.78125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153524,-1.0654297,0.15136719,-0.1953125,-2.90625,38.21875,4.4375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153569,-1.1416016000000002,0.107421875,-0.109375,-18.0,-9.8125,-9.6875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153614,-0.9345703000000002,-0.09765625,-0.23046875,-6.28125,-42.28125,-5.03125,-65.375,4.0625,-131.625,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153660,-0.95410156,-0.052734375,-0.22753906,34.1875,-4.25,6.3125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153681,-1.0498047,0.15039062,-0.2607422,61.71875,-20.96875,-0.03125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153726,-1.0019531,0.25,-0.484375,65.6875,-46.875,-15.53125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153771,-1.2324218999999998,0.25390625,-0.043945312,64.40625,12.71875,-18.78125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153822,-1.6347656000000002,0.1875,0.7314453000000001,9.125,15.15625,-13.875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153839,-1.0537108999999998,0.19042969,0.24902344,-48.375,-48.28125,-11.875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153885,-1.1308593999999998,-0.091796875,0.3310547,-51.8125,3.90625,-2.15625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153931,-0.87597656,-0.049804688,0.14453125,-21.65625,-23.1875,17.0625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377153975,-0.5917969,0.26464844,0.12597656,24.3125,64.28125,38.65625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154021,-0.71875,0.026367188,0.21289062,-34.21875,-4.625,17.0625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154042,-1.0527343999999998,-0.2548828,0.125,-10.78125,-1.21875,-30.78125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154088,-1.1005858999999998,-0.109375,0.13964844,32.0,4.09375,-21.21875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154132,-0.85253906,-0.11425781,0.20214844,44.875,21.75,19.4375,-63.125,2.3125,-129.5,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154177,-0.859375,0.080078125,0.15625,61.40625,32.375,20.84375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154201,-0.9736328000000002,0.06347656,0.0546875,62.46875,32.71875,15.21875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154244,-1.0996093999999998,0.20507812,-0.024414062,53.4375,29.1875,10.65625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154288,-0.8544921999999998,0.3095703,-0.14257812,47.6875,-6.21875,8.625,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154334,-0.8066406,0.31933594,-0.13085938,28.65625,34.25,6.875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154378,-1.1162108999999998,0.5097656,-0.18164062,-9.9375,55.5,21.09375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154401,-1.0625,0.50097656,-0.19042969,-54.84375,29.125,26.6875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154444,-0.9277344000000001,0.6611328000000001,-0.2734375,-93.78125,16.1875,34.6875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154491,-1.0644531000000002,0.37890625,0.028320312,-104.28125,7.75,55.09375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154537,-1.0400391,0.36914062,-0.09863281,-113.125,-40.6875,12.1875,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154558,-0.6953125,0.390625,-0.07714844,-71.15625,-26.0,44.03125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154604,-0.7919921999999999,-0.068359375,0.1171875,-88.46875,17.59375,8.15625,-62.25,8.125,-132.8125,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154649,-1.0957031000000002,-0.08984375,-0.16015625,-11.625,48.71875,-0.34375,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
1664377154694,-1.9931641,-0.44140625,-0.42578125,34.8125,7.71875,15.28125,0.0,0.0,0.0,Thingy,Movement,9,s1912558,,Thingy_s1912558_Movement_28-09-2022_22-59-43
