,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695378076782,-0.8137207,-0.3579712,-0.51226807,-4.234375,-2.6875,3.796875,0
1,1695378076822,-0.79418945,-0.36871338,-0.4656372,-4.78125,0.703125,4.359375,1
2,1695378076862,-0.7844238,-0.3731079,-0.46832275,-4.71875,-0.28125,1.828125,2
3,1695378076902,-0.7937012,-0.41461182,-0.520813,-1.84375,-6.40625,2.65625,3
4,1695378076942,-0.7858887,-0.3821411,-0.4854126,-1.15625,-4.28125,4.71875,4
5,1695378076982,-0.796875,-0.4043579,-0.49884033,1.921875,-5.609375,4.109375,5
6,1695378077022,-0.76708984,-0.37994385,-0.48809814,3.734375,-8.53125,3.515625,6
7,1695378077062,-0.7336426,-0.39483643,-0.51690674,3.53125,-9.84375,2.8125,7
8,1695378077102,-0.7607422,-0.39556885,-0.5598755,1.578125,-10.171875,3.3125,8
9,1695378077142,-0.76904297,-0.38702393,-0.5562134,-0.671875,-7.453125,2.90625,9
10,1695378077182,-0.73999023,-0.4048462,-0.5964966,-0.21875,-7.890625,2.5625,10
11,1695378077222,-0.75146484,-0.41168213,-0.55255127,1.75,-8.046875,3.046875,11
12,1695378077262,-0.7290039,-0.4006958,-0.56695557,2.53125,-8.34375,2.078125,12
13,1695378077302,-0.7089844,-0.40753174,-0.5564575,1.859375,-6.125,3.046875,13
14,1695378077342,-0.70410156,-0.4006958,-0.5667114,2.796875,-8.421875,3.53125,14
15,1695378077382,-0.6984863,-0.40948486,-0.6140747,1.984375,-7.328125,3.3125,15
16,1695378077422,-0.70996094,-0.41558838,-0.59942627,2.921875,-5.8125,2.734375,16
17,1695378077462,-0.6940918,-0.4060669,-0.60723877,4.578125,-7.84375,1.90625,17
18,1695378077502,-0.6899414,-0.40142822,-0.63238525,3.234375,-6.390625,1.375,18
19,1695378077542,-0.67407227,-0.40142822,-0.60406494,2.765625,-3.921875,1.28125,19
20,1695378077582,-0.68188477,-0.395813,-0.6121216,3.59375,-4.671875,0.234375,20
21,1695378077622,-0.68774414,-0.3945923,-0.663147,1.96875,-1.5625,2.234375,21
22,1695378077662,-0.66918945,-0.3867798,-0.6045532,2.140625,-2.890625,0.3125,22
23,1695378077702,-0.6713867,-0.3875122,-0.6189575,3.140625,-4.6875,0.140625,23
24,1695378077742,-0.6555176,-0.39117432,-0.6514282,1.859375,-3.0625,0.5625,24
25,1695378077782,-0.6645508,-0.3731079,-0.6272583,0.6875,-0.96875,0.484375,25
26,1695378077822,-0.67456055,-0.39263916,-0.6668091,-1.359375,0.34375,0.515625,26
27,1695378077862,-0.6706543,-0.3880005,-0.63165283,-2.515625,2.8125,0.71875,27
28,1695378077902,-0.67822266,-0.3821411,-0.628479,-3.59375,3.890625,1.671875,28
29,1695378077942,-0.66625977,-0.3880005,-0.6187134,0.5,-0.921875,-0.09375,29
30,1695378077982,-0.67333984,-0.39068604,-0.62750244,0.21875,-0.78125,0.8125,30
31,1695378078022,-0.61035156,-0.3838501,-0.6309204,-1.234375,1.171875,-0.015625,31
32,1695378078062,-0.69555664,-0.3970337,-0.6482544,-0.40625,0.359375,-0.140625,32
33,1695378078102,-0.6821289,-0.3862915,-0.61065674,-3.46875,5.5625,-0.171875,33
34,1695378078142,-0.69018555,-0.3838501,-0.60650635,-4.78125,6.265625,-0.328125,34
35,1695378078182,-0.68896484,-0.39630127,-0.6121216,-5.953125,6.140625,-0.390625,35
36,1695378078222,-0.70751953,-0.4121704,-0.5881958,-5.625,7.75,0.0,36
37,1695378078262,-0.7270508,-0.4133911,-0.583313,-3.84375,4.890625,-0.421875,37
38,1695378078302,-0.7219238,-0.40118408,-0.61553955,-6.171875,10.140625,0.15625,38
39,1695378078342,-0.7385254,-0.42388916,-0.6033325,-7.71875,8.515625,-0.578125,39
40,1695378078382,-0.7441406,-0.43804932,-0.6802368,-16.796875,23.5625,-1.515625,40
41,1695378078422,-0.7675781,-0.44000244,-0.40142822,-11.390625,23.09375,-1.5625,41
42,1695378078462,-0.74072266,-0.4595337,-0.39337158,-5.171875,10.703125,-2.859375,42
43,1695378078502,-0.7883301,-0.42218018,-0.42388916,-3.90625,6.984375,3.03125,43
44,1695378078542,-0.76586914,-0.4241333,-0.44586182,2.375,-2.15625,-0.796875,44
45,1695378078582,-0.79174805,-0.42608643,-0.5413208,-3.703125,7.734375,1.640625,45
46,1695378078622,-0.7583008,-0.37042236,-0.4187622,-3.359375,10.546875,-1.09375,46
47,1695378078662,-0.8132324,-0.49957275,-0.4907837,-0.71875,-1.890625,1.0625,47
48,1695378078702,-0.7685547,-0.3352661,-0.48736572,-5.109375,11.03125,-2.34375,48
49,1695378078742,-0.7922363,-0.4595337,-0.4031372,-1.625,0.484375,0.96875,49
50,1695378078782,-0.8051758,-0.41168213,-0.37701416,-4.046875,9.1875,0.5625,50
51,1695378078822,-0.81225586,-0.5027466,-0.34674072,2.578125,-0.46875,-0.375,51
52,1695378078862,-0.7949219,-0.43902588,-0.38458252,5.15625,-11.734375,-2.40625,52
53,1695378078902,-0.8015137,-0.41485596,-0.48272705,6.375,-11.71875,0.34375,53
54,1695378078942,-0.7644043,-0.43536377,-0.48492432,3.796875,-6.953125,1.359375,54
55,1695378078982,-0.78393555,-0.4348755,-0.47296143,2.8125,-5.859375,-1.046875,55
56,1695378079022,-0.7739258,-0.41949463,-0.48760986,-1.03125,-1.859375,-0.78125,56
