# Sensor type: Respeck
# Activity type: Lying down on stomach
# Activity subtype: Singing
# Subject id: s1689282
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695816958346,0.20751953,0.11077881,-0.9656372,0.453125,-0.21875,0.1875
1695816958390,0.2097168,0.113708496,-0.9841919,-0.625,-0.03125,0.03125
1695816958421,0.20727539,0.11029053,-0.97003174,-0.703125,-0.734375,-0.140625
1695816958466,0.21313477,0.11273193,-0.9746704,-1.203125,-0.90625,-0.125
1695816958512,0.20263672,0.11029053,-0.9644165,-0.171875,-0.53125,-0.09375
1695816958541,0.21484375,0.10784912,-0.9776001,-0.1875,-0.5625,-0.1875
1695816958586,0.20874023,0.11053467,-0.954895,0.609375,-0.28125,0.09375
1695816958632,0.21264648,0.11419678,-0.975647,-0.125,-0.4375,-0.046875
1695816958661,0.21020508,0.109313965,-0.98028564,-0.390625,-0.78125,0.0
1695816958721,0.20825195,0.11273193,-0.9627075,-0.171875,-0.734375,0.03125
1695816958751,0.21191406,0.11126709,-0.9795532,0.0,-0.671875,0.03125
1695816958796,0.20947266,0.10809326,-0.97735596,-0.28125,-0.421875,-0.078125
1695816958827,0.20605469,0.109558105,-0.972229,-0.21875,-0.734375,-0.03125
1695816958856,0.21069336,0.112976074,-0.9734497,0.203125,-0.796875,0.0625
1695816958902,0.20922852,0.11224365,-0.96588135,-0.015625,-0.359375,-0.109375
1695816958946,0.21118164,0.113708496,-0.9644165,0.78125,-0.296875,0.09375
1695816958977,0.20922852,0.11077881,-0.97442627,-0.796875,-0.296875,-0.15625
1695816959022,0.2019043,0.11053467,-0.97784424,-0.78125,-0.625,-0.125
1695816959067,0.21191406,0.11126709,-0.97979736,-0.640625,-0.671875,-0.125
1695816959111,0.20825195,0.113220215,-0.9758911,-0.046875,-0.625,0.078125
1695816959143,0.2097168,0.113708496,-0.9758911,-0.078125,-0.578125,-0.078125
1695816959186,0.20922852,0.11053467,-0.9702759,0.390625,-0.484375,0.109375
1695816959216,0.21020508,0.11151123,-0.97613525,-0.09375,-0.1875,-0.078125
1695816959263,0.21118164,0.11175537,-0.9746704,-0.359375,-0.890625,-0.015625
1695816959292,0.20654297,0.11419678,-0.9758911,0.046875,-0.65625,0.046875
1695816959336,0.20898438,0.109802246,-0.97369385,0.25,-0.421875,0.09375
1695816959381,0.20825195,0.11175537,-0.97491455,0.15625,-0.390625,0.03125
1695816959455,0.20654297,0.11468506,-0.9717407,0.0625,-0.1875,0.109375
1695816959460,0.20654297,0.11273193,-0.9692993,0.125,-0.5,-0.015625
1695816959501,0.21044922,0.11517334,-0.9841919,-1.109375,-0.1875,-0.125
