,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695904108648,0.50024414,-0.20025635,0.9242554,-0.40625,-2.953125,-0.9375,76
1,1695904108688,0.48413086,-0.20123291,0.916687,-0.890625,-2.15625,-1.296875,77
2,1695904108728,0.49243164,-0.18365479,0.90374756,-0.421875,-0.1875,-1.25,78
3,1695904108768,0.4934082,-0.1873169,0.9257202,-1.359375,0.765625,-0.28125,79
4,1695904108808,0.4987793,-0.18170166,0.9154663,-1.109375,1.109375,-0.3125,80
5,1695904108848,0.50219727,-0.18121338,0.9076538,-1.3125,2.046875,-0.46875,81
6,1695904108888,0.50805664,-0.1897583,0.91571045,-0.859375,2.59375,-0.171875,82
7,1695904108928,0.5036621,-0.18682861,0.9081421,-0.359375,1.90625,-0.21875,83
8,1695904108968,0.51782227,-0.19390869,0.9281616,-0.5,1.734375,-0.703125,84
9,1695904109008,0.5046387,-0.19122314,0.9122925,-1.03125,0.796875,-0.03125,85
10,1695904109048,0.5270996,-0.17681885,0.87908936,1.40625,0.609375,1.046875,86
11,1695904109088,0.4765625,-0.16119385,0.6810913,4.0625,-1.796875,4.234375,87
12,1695904109128,0.5,-0.12359619,0.9359741,1.109375,10.3125,4.390625,88
13,1695904109168,0.55566406,-0.21392822,1.0236206,4.796875,6.328125,5.484375,89
14,1695904109208,0.5373535,-0.28424072,0.91864014,2.421875,2.625,2.21875,90
15,1695904109248,0.5449219,-0.23809814,0.8981323,-0.1875,3.625,1.453125,91
16,1695904109288,0.55566406,-0.21612549,0.8895874,-2.71875,5.828125,0.125,92
17,1695904109328,0.5539551,-0.18927002,0.8759155,-2.0,0.390625,-1.484375,93
18,1695904109368,0.5432129,-0.16680908,0.85150146,0.03125,0.078125,-1.65625,94
19,1695904109408,0.57592773,-0.17437744,0.85443115,-0.375,-1.09375,-2.234375,95
20,1695904109448,0.5812988,-0.2029419,0.854187,-0.375,-1.671875,-1.546875,96
21,1695904109488,0.5671387,-0.1831665,0.8703003,0.65625,-0.90625,-0.734375,97
22,1695904109528,0.5649414,-0.19708252,0.9142456,-0.703125,-1.671875,-0.765625,98
23,1695904109568,0.53466797,-0.19683838,0.90448,-0.609375,-3.53125,-1.75,99
24,1695904109608,0.51831055,-0.18487549,0.9022827,-0.75,-4.921875,-1.984375,100
25,1695904109648,0.49804688,-0.20806885,0.91278076,-1.484375,-4.0,-1.84375,101
26,1695904109688,0.48950195,-0.206604,0.9154663,-1.25,-3.5,-1.3125,102
27,1695904109728,0.48657227,-0.21270752,0.9196167,-1.109375,-1.984375,-1.09375,103
28,1695904109768,0.48828125,-0.2107544,0.9303589,-1.359375,-2.21875,-0.921875,104
29,1695904109808,0.48388672,-0.19903564,0.91448975,-1.65625,-1.3125,-1.03125,105
30,1695904109848,0.48291016,-0.18707275,0.9100952,-1.4375,0.84375,-0.5,106
31,1695904109888,0.48413086,-0.19683838,0.9208374,-1.125,0.703125,-0.15625,107
32,1695904109928,0.49316406,-0.19805908,0.9232788,-0.96875,0.875,-0.78125,108
33,1695904109968,0.49853516,-0.19976807,0.9137573,-0.796875,1.15625,-0.609375,109
34,1695904110008,0.49658203,-0.21002197,0.918396,-1.34375,1.359375,-0.609375,110
35,1695904110048,0.49829102,-0.19390869,0.91522217,-1.1875,1.3125,-0.515625,111
36,1695904110088,0.5024414,-0.19683838,0.9098511,-0.6875,1.109375,-0.203125,112
37,1695904110128,0.49780273,-0.19171143,0.920105,-0.109375,0.1875,0.3125,113
38,1695904110168,0.49682617,-0.18707275,0.89471436,0.40625,0.96875,0.125,114
39,1695904110208,0.49438477,-0.20074463,0.9215698,0.375,0.53125,0.5625,115
40,1695904110248,0.48779297,-0.20220947,0.93084717,0.671875,-2.0,0.625,116
41,1695904110288,0.47802734,-0.19146729,0.774353,1.28125,3.734375,2.84375,117
42,1695904110328,0.4777832,-0.15216064,0.8378296,2.65625,6.953125,3.40625,118
43,1695904110368,0.513916,-0.23443604,1.0082397,7.3125,5.609375,1.734375,119
