timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695827014797,-0.17822266,-1.0960083,0.30548096,-6.546875,-5.0625,-1.171875
1695827014837,-0.0703125,-0.99835205,0.21295166,3.46875,-4.515625,10.265625
1695827014877,-0.118896484,-0.8755493,0.16558838,-1.71875,-15.203125,10.171875
1695827014917,-0.11328125,-0.9036255,0.20733643,-4.03125,-10.5,0.59375
1695827014957,-0.15917969,-1.0169067,0.25738525,-0.0625,-18.46875,3.953125
1695827014997,-0.12158203,-0.9175415,0.28033447,-16.296875,-2.59375,4.703125
1695827015037,-0.12719727,-0.7998657,0.21343994,-8.6875,-7.90625,-1.375
1695827015077,-0.14208984,-1.0518188,0.28082275,3.46875,-14.453125,-9.375
1695827015117,-0.16577148,-1.0928345,0.34014893,0.625,-7.890625,8.421875
1695827015157,-0.15209961,-0.8965454,0.362854,3.28125,-5.46875,3.546875
1695827015197,-0.1262207,-0.8682251,0.25958252,3.828125,-9.78125,-4.828125
1695827015237,-0.12695312,-1.0244751,0.29205322,6.859375,-4.71875,0.671875
1695827015277,-0.29711914,-0.925354,0.15655518,-12.578125,14.40625,20.453125
1695827015317,-0.3034668,-0.7732544,0.2822876,15.171875,11.4375,17.1875
1695827015357,-0.07104492,-1.0547485,0.2390747,4.046875,7.484375,-9.21875
1695827015397,-0.0637207,-0.9795532,0.27105713,-2.34375,9.65625,-5.9375
1695827015437,-0.114990234,-0.9524536,0.2288208,6.21875,13.25,-3.21875
1695827015477,-0.19091797,-0.96221924,0.1716919,9.28125,4.296875,-17.140625
1695827015517,-0.08251953,-0.98931885,0.270813,12.4375,17.96875,-5.828125
1695827015557,-0.0390625,-0.9360962,0.24224854,-12.46875,33.59375,10.65625
1695827015597,-0.15478516,-0.9277954,0.24615479,-9.265625,3.171875,5.46875
1695827015637,0.084472656,-1.0088501,0.30792236,5.109375,-0.28125,-9.546875
1695827015677,0.06689453,-0.9026489,0.23199463,3.375,-11.640625,5.8125
1695827015717,-0.048339844,-1.0557251,0.2539673,4.046875,-14.640625,10.53125
1695827015757,-0.18237305,-1.0425415,0.2029419,5.625,-12.421875,0.59375
1695827015797,-0.1887207,-0.8723755,0.21612549,-7.625,13.71875,8.453125
1695827015837,-0.16699219,-0.9299927,0.17877197,-3.078125,19.3125,-3.328125
1695827015877,0.091796875,-1.0149536,0.4163208,24.0,-2.640625,-2.984375
1695827015917,0.10180664,-0.8862915,0.29327393,-3.59375,-23.640625,0.578125
