timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695397458249,-0.89941406,1.0146484,-0.4736328,-25.09375,-53.78125,-52.375,0.0,0.0,0.0
1695397458289,-0.5673828,0.31054688,-0.22558594,-16.40625,-7.46875,-7.65625,0.0,0.0,0.0
1695397458329,-0.93847656,-0.046875,-0.14160156,-29.53125,6.9375,-7.21875,0.0,0.0,0.0
1695397458369,-0.9169922,0.19140625,0.087890625,11.40625,-17.59375,-18.375,0.0,0.0,0.0
1695397458409,-0.7861328,0.234375,0.24511719,20.8125,-47.75,-10.5,0.0,0.0,0.0
1695397458449,-0.890625,-0.18066406,0.27539062,-44.0,-26.4375,-22.0,-74.6875,19.5625,-106.375
1695397458489,-0.81152344,0.0146484375,0.14355469,-73.46875,-6.71875,-28.9375,0.0,0.0,0.0
1695397458529,-0.8095703,-0.047851562,0.057617188,-22.21875,-7.875,-14.96875,0.0,0.0,0.0
1695397458569,-1.9873047,0.6113281,-0.064453125,-11.59375,33.5,12.25,0.0,0.0,0.0
1695397458609,-0.9824219,-0.020507812,-0.34765625,-16.34375,0.65625,-13.9375,0.0,0.0,0.0
1695397458649,-0.40722656,0.49804688,-0.040039062,-17.9375,29.28125,11.75,0.0,0.0,0.0
1695397458689,-0.90625,0.099609375,-0.2109375,-18.1875,63.03125,59.6875,0.0,0.0,0.0
1695397458729,-1.1777344,0.12402344,-0.23632812,-2.875,54.625,35.1875,0.0,0.0,0.0
1695397458769,-1.1367188,-0.055664062,0.038085938,-2.6875,23.1875,14.15625,0.0,0.0,0.0
1695397458809,-0.9482422,0.099609375,-0.12890625,-13.96875,10.5625,5.0,0.0,0.0,0.0
1695397458849,-0.97753906,0.036132812,-0.19824219,10.6875,17.4375,10.0,0.0,0.0,0.0
1695397458889,-0.9248047,0.10546875,-0.22167969,7.4375,11.78125,10.0625,0.0,0.0,0.0
1695397458929,-0.9667969,0.14550781,-0.26464844,22.03125,6.09375,16.21875,-69.875,23.4375,-109.25
1695397458969,-1.0224609,0.087890625,-0.20214844,51.6875,-6.96875,11.40625,0.0,0.0,0.0
