timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695391433884,-0.2529297,-0.74121094,0.6591797,-0.25,0.0625,0.21875,0.0,0.0,0.0
1695391433917,-0.25976562,-0.7451172,0.6455078,-0.8125,0.375,0.40625,0.0,0.0,0.0
1695391433962,-0.26660156,-0.74121094,0.6464844,-0.9375,0.375,0.28125,0.0,0.0,0.0
1695391433996,-0.2578125,-0.7421875,0.63964844,-0.375,0.25,0.21875,0.0,0.0,0.0
1695391434040,-0.26464844,-0.74121094,0.64160156,-0.4375,0.3125,0.28125,0.0,0.0,0.0
1695391434119,-0.2626953,-0.74609375,0.64160156,-0.1875,0.1875,0.09375,0.0,0.0,0.0
1695391434130,-0.2578125,-0.74609375,0.6484375,0.25,0.0,0.28125,0.0,0.0,0.0
1695391434164,-0.2607422,-0.75,0.6376953,0.34375,-0.125,0.15625,0.0,0.0,0.0
1695391434199,-0.25683594,-0.7441406,0.63964844,0.15625,-0.0625,0.15625,0.0,0.0,0.0
1695391434245,-0.25878906,-0.734375,0.6503906,0.46875,-0.1875,0.03125,0.0,0.0,0.0
1695391434277,-0.25878906,-0.7451172,0.64746094,0.28125,-0.1875,0.09375,0.0,0.0,0.0
1695391434321,-0.25585938,-0.7402344,0.6582031,0.03125,0.125,0.09375,-51.625,-22.3125,-88.25
1695391434368,-0.25585938,-0.7402344,0.65722656,-0.15625,0.125,0.15625,0.0,0.0,0.0
1695391434402,-0.25585938,-0.7451172,0.65625,-0.28125,0.0625,0.03125,0.0,0.0,0.0
1695391434479,-0.25,-0.74902344,0.64160156,-0.40625,0.0625,0.21875,0.0,0.0,0.0
1695391434490,-0.25097656,-0.7441406,0.6464844,-0.28125,0.0,0.03125,0.0,0.0,0.0
1695391434525,-0.26367188,-0.7441406,0.6425781,0.21875,-0.1875,-0.09375,0.0,0.0,0.0
1695391434566,-0.2607422,-0.74121094,0.65527344,0.09375,0.0625,-0.09375,0.0,0.0,0.0
1695391434604,-0.26757812,-0.7470703,0.6464844,-0.40625,0.0625,0.03125,0.0,0.0,0.0
1695391434637,-0.25878906,-0.7363281,0.6425781,-0.28125,-0.0625,-0.09375,0.0,0.0,0.0
1695391434681,-0.25585938,-0.73828125,0.6435547,0.15625,0.0,-0.15625,0.0,0.0,0.0
1695391434726,-0.25683594,-0.7441406,0.6435547,-0.09375,-0.125,-0.09375,0.0,0.0,0.0
1695391434761,-0.2705078,-0.7451172,0.6425781,0.03125,0.0,-0.03125,0.0,0.0,0.0
1695391434805,-0.265625,-0.7402344,0.63964844,0.28125,0.0625,-0.15625,0.0,0.0,0.0
1695391434839,-0.2548828,-0.7441406,0.6533203,0.09375,0.0625,0.03125,-53.5625,-20.8125,-89.4375
1695391434884,-0.2529297,-0.73535156,0.6503906,-0.09375,-0.0625,0.03125,0.0,0.0,0.0
1695391434918,-0.25585938,-0.74902344,0.66015625,-0.09375,-0.1875,-0.03125,0.0,0.0,0.0
1695391434963,-0.25683594,-0.74316406,0.64941406,0.03125,0.0,0.03125,0.0,0.0,0.0
1695391434997,-0.24902344,-0.74316406,0.6464844,-0.09375,0.0625,0.21875,0.0,0.0,0.0
1695391435041,-0.26464844,-0.74121094,0.64160156,-0.21875,0.0,0.03125,0.0,0.0,0.0
1695391435086,-0.2626953,-0.73828125,0.6464844,-0.03125,-0.125,0.03125,0.0,0.0,0.0
1695391435131,-0.25683594,-0.7470703,0.6484375,-0.09375,0.0,-0.09375,0.0,0.0,0.0
1695391435165,-0.26757812,-0.74609375,0.6542969,0.15625,0.0,-0.15625,0.0,0.0,0.0
1695391435199,-0.25976562,-0.75,0.6425781,0.28125,-0.125,0.15625,0.0,0.0,0.0
1695391435243,-0.25976562,-0.7480469,0.6464844,-0.03125,0.0625,0.09375,0.0,0.0,0.0
1695391435278,-0.26367188,-0.74316406,0.6533203,-0.4375,0.1875,0.09375,0.0,0.0,0.0
