# Sensor type: Thingy
# Activity type: Normal walking
# Activity subtype: Normal
# Subject id: s1918981
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696076081176,-0.8408203,-0.17480469,-0.029296875,-78.625,18.3125,5.0,0.0,0.0,0.0
1696076081200,-0.8310547,-0.19335938,0.0546875,-55.3125,23.75,-2.03125,0.0,0.0,0.0
1696076081258,-0.82421875,-0.080078125,-0.009765625,-52.5625,35.65625,-8.125,0.0,0.0,0.0
1696076081289,-0.7451172,0.046875,0.0126953125,-24.21875,60.4375,8.53125,0.0,0.0,0.0
1696076081318,-0.8964844,-0.23242188,0.02734375,-71.15625,66.125,19.28125,-87.625,-47.5,-125.625
1696076081379,-0.9980469,-0.32617188,-0.13476562,-53.65625,35.78125,9.09375,0.0,0.0,0.0
1696076081410,-1.0087891,-0.27929688,0.0068359375,-44.4375,14.375,-14.90625,0.0,0.0,0.0
1696076081468,-1.3515625,-0.15722656,0.017578125,-17.65625,7.65625,-18.75,0.0,0.0,0.0
1696076081498,-1.2099609,-0.51171875,0.00390625,-17.46875,-10.78125,-12.5625,0.0,0.0,0.0
1696076081529,-1.1972656,-0.30566406,-0.24121094,83.3125,-49.0,-16.78125,0.0,0.0,0.0
1696076081562,-0.8925781,0.4375,-0.54296875,193.84375,17.96875,-6.21875,0.0,0.0,0.0
1696076081648,-0.92285156,0.31640625,0.0546875,136.53125,-205.125,69.15625,0.0,0.0,0.0
1696076081651,-1.1318359,-0.1015625,-0.18261719,-104.1875,-159.59375,58.09375,0.0,0.0,0.0
1696076081679,-1.1542969,0.14355469,-0.07324219,-48.28125,-175.09375,59.625,0.0,0.0,0.0
1696076081739,-0.76171875,-0.20507812,0.0146484375,39.84375,-159.71875,61.34375,0.0,0.0,0.0
1696076081768,-0.5810547,-0.11425781,0.099609375,59.6875,-141.09375,27.9375,0.0,0.0,0.0
1696076081828,-0.53027344,0.009765625,0.15136719,63.59375,-110.40625,19.28125,-67.9375,-43.625,-110.125
1696076081858,-0.5517578,0.26464844,0.15625,58.90625,-46.84375,-8.375,0.0,0.0,0.0
1696076081888,-0.3310547,0.24023438,0.2783203,21.59375,3.96875,-23.0,0.0,0.0,0.0
1696076081919,-0.4140625,0.061523438,0.43164062,-29.59375,65.1875,-22.21875,0.0,0.0,0.0
1696076081978,-0.39648438,0.05859375,0.58496094,-11.90625,118.90625,-23.8125,0.0,0.0,0.0
1696076082008,-1.2402344,-0.23242188,0.59375,42.59375,99.25,-27.09375,0.0,0.0,0.0
1696076082038,-1.203125,0.11035156,0.8671875,54.8125,-1.5625,-38.15625,0.0,0.0,0.0
1696076082098,-1.1181641,0.328125,0.421875,48.40625,-48.875,-31.75,0.0,0.0,0.0
1696076082128,-1.6972656,0.65234375,-0.71484375,5.5,84.84375,17.625,0.0,0.0,0.0
1696076082192,-0.265625,0.057617188,0.24902344,53.90625,15.15625,-4.9375,0.0,0.0,0.0
1696076082220,-0.44628906,0.484375,-0.23925781,-21.375,45.3125,74.71875,0.0,0.0,0.0
1696076082279,-1.7246094,-0.4453125,-0.66796875,-169.5,168.21875,7.875,0.0,0.0,0.0
1696076082281,-0.6748047,0.059570312,0.36914062,40.9375,61.0,-58.96875,0.0,0.0,0.0
1696076082369,-0.7675781,0.032226562,-0.13183594,-58.34375,82.0625,-43.9375,-79.9375,-41.375,-122.0
1696076082371,-0.8544922,0.015625,-0.00390625,-32.0,64.46875,-28.5,0.0,0.0,0.0
1696076082398,-0.7138672,-0.0546875,-0.025390625,-56.03125,40.4375,-15.625,0.0,0.0,0.0
1696076082458,-0.7578125,-0.016601562,-0.0107421875,-46.625,35.71875,-18.1875,0.0,0.0,0.0
1696076082488,-0.77734375,-0.033203125,0.01953125,-34.59375,43.65625,7.03125,0.0,0.0,0.0
1696076082518,-0.9091797,-0.07910156,0.09375,-56.40625,84.96875,5.1875,0.0,0.0,0.0
1696076082580,-0.89941406,-0.28710938,-9.765625E-4,-60.25,62.21875,3.96875,0.0,0.0,0.0
1696076082608,-0.9746094,-0.42578125,-0.0048828125,-53.96875,23.09375,1.34375,0.0,0.0,0.0
1696076082638,-1.2607422,-0.55859375,0.091796875,17.34375,22.46875,0.5625,0.0,0.0,0.0
1696076082759,-1.1855469,-0.21777344,0.16210938,50.96875,-7.125,-34.84375,0.0,0.0,0.0
1696076082762,-1.0566406,-0.15722656,-0.22460938,120.96875,-99.40625,-12.625,0.0,0.0,0.0
1696076082764,-1.2128906,0.4794922,-0.21972656,153.8125,-159.46875,4.5625,0.0,0.0,0.0
1696076082818,-1.4335938,0.76171875,-0.08300781,-23.25,-187.90625,23.5,-83.25,-45.125,-126.375
1696076082849,-0.96777344,-0.06640625,-0.055664062,-142.28125,-198.96875,67.1875,0.0,0.0,0.0
1696076082878,-0.77441406,-0.072265625,0.3017578,13.1875,-153.375,55.65625,0.0,0.0,0.0
