,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696193824433,-0.9458008,-0.35943604,-0.19683838,-0.5,0.671875,0.015625,0
1,1696193824473,-0.9445801,-0.35845947,-0.19732666,-0.0625,0.734375,0.15625,1
2,1696193824513,-0.93847656,-0.35821533,-0.19854736,-0.328125,0.5625,-0.078125,2
3,1696193824553,-0.9362793,-0.36309814,-0.19561768,-0.40625,1.21875,0.046875,3
4,1696193824593,-0.9370117,-0.36236572,-0.19854736,-0.390625,1.0625,-0.046875,4
5,1696193824633,-0.94311523,-0.36090088,-0.19464111,-0.21875,0.703125,-0.03125,5
6,1696193824673,-0.9379883,-0.3538208,-0.1975708,-0.296875,0.5,-0.125,6
7,1696193824713,-0.9448242,-0.35455322,-0.19830322,-0.484375,0.625,-0.09375,7
8,1696193824753,-0.94189453,-0.35601807,-0.20025635,-0.3125,0.71875,-0.0625,8
9,1696193824793,-0.94384766,-0.35943604,-0.1963501,-0.234375,0.796875,0.125,9
10,1696193824833,-0.9428711,-0.35650635,-0.20123291,-0.40625,0.453125,0.21875,10
11,1696193824873,-0.9404297,-0.35723877,-0.19732666,-0.34375,0.40625,0.078125,11
12,1696193824913,-0.94262695,-0.35968018,-0.20611572,-0.328125,0.6875,-0.015625,12
13,1696193824953,-0.9423828,-0.3574829,-0.20245361,-0.390625,0.859375,0.171875,13
14,1696193824993,-0.9370117,-0.3616333,-0.20343018,-0.28125,0.59375,0.046875,14
15,1696193825033,-0.93774414,-0.3567505,-0.19976807,-0.46875,0.59375,0.0,15
16,1696193825073,-0.9375,-0.34527588,-0.19390869,-0.21875,0.5,0.296875,16
17,1696193825113,-0.94311523,-0.35430908,-0.2029419,-0.5,0.765625,-0.046875,17
18,1696193825153,-0.9379883,-0.37017822,-0.19854736,-0.34375,1.359375,0.1875,18
19,1696193825193,-0.9406738,-0.35699463,-0.2041626,-0.3125,0.828125,0.0,19
20,1696193825233,-0.9394531,-0.35308838,-0.20245361,-0.6875,1.015625,0.15625,20
21,1696193825273,-0.93530273,-0.35968018,-0.19952393,-0.421875,1.359375,0.03125,21
22,1696193825313,-0.9421387,-0.3555298,-0.20269775,-0.453125,0.9375,0.203125,22
23,1696193825353,-0.9375,-0.36187744,-0.20758057,-0.34375,0.90625,0.3125,23
24,1696193825393,-0.9382324,-0.36187744,-0.20172119,0.078125,0.59375,0.109375,24
25,1696193825433,-0.9436035,-0.36138916,-0.2041626,-0.34375,0.734375,0.3125,25
