,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1696193310819,-1.0009766,0.18457031,-0.0146484375,0.5,-0.28125,-0.5,0.0,0.0,0.0,0
1,1696193310859,-0.99609375,0.18066406,0.0068359375,-0.0625,-0.375,-0.28125,0.0,0.0,0.0,1
2,1696193310899,-1.0107422,0.17871094,-0.0048828125,-1.03125,-0.34375,-0.15625,0.0,0.0,0.0,2
3,1696193310939,-0.99609375,0.17773438,-0.0009765625,-2.0625,-0.15625,-0.5625,0.0,0.0,0.0,3
4,1696193310979,-1.0,0.16894531,0.0009765625,-1.03125,-0.15625,-0.6875,0.0,0.0,0.0,4
5,1696193311019,-1.0019531,0.171875,0.009765625,-1.59375,-0.375,-0.28125,0.0,0.0,0.0,5
6,1696193311059,-0.9980469,0.16796875,0.0087890625,-0.84375,-0.75,-0.40625,0.0,0.0,0.0,6
7,1696193311099,-1.0097656,0.1640625,0.017578125,-0.96875,-0.625,-0.625,0.0,0.0,0.0,7
8,1696193311139,-1.0058594,0.16699219,0.016601562,-0.90625,-0.4375,-0.5,0.0,0.0,0.0,8
9,1696193311179,-0.99121094,0.16992188,-0.0029296875,-0.0625,-0.28125,-0.5625,0.0,0.0,0.0,9
10,1696193311219,-1.0068359,0.17382812,0.0,0.25,0.09375,-0.5,0.0,0.0,0.0,10
11,1696193311259,-0.99316406,0.16894531,0.0009765625,-0.53125,-0.15625,-0.75,-43.1875,-0.5625,-138.1875,11
12,1696193311299,-0.9873047,0.18652344,-0.015625,0.4375,-0.15625,-0.28125,0.0,0.0,0.0,12
13,1696193311339,-1.0107422,0.16699219,-0.0009765625,-0.0625,0.15625,-0.5,0.0,0.0,0.0,13
14,1696193311379,-0.9941406,0.17089844,0.016601562,-0.46875,0.15625,-0.625,0.0,0.0,0.0,14
15,1696193311419,-0.99609375,0.17480469,-0.0029296875,0.875,-0.15625,-0.5625,0.0,0.0,0.0,15
16,1696193311459,-0.99902344,0.17480469,-0.015625,0.375,-0.28125,-0.4375,0.0,0.0,0.0,16
17,1696193311499,-1.0048828,0.17480469,-0.009765625,0.125,-0.21875,-0.28125,0.0,0.0,0.0,17
18,1696193311539,-1.0039062,0.17285156,0.0048828125,0.125,0.03125,0.03125,0.0,0.0,0.0,18
19,1696193311579,-0.9921875,0.17089844,0.0126953125,-0.96875,0.21875,-0.15625,0.0,0.0,0.0,19
20,1696193311619,-1.0039062,0.16699219,0.005859375,-2.125,0.46875,-0.40625,0.0,0.0,0.0,20
21,1696193311659,-0.9921875,0.171875,-0.0009765625,-0.90625,0.46875,-0.28125,0.0,0.0,0.0,21
22,1696193311699,-1.0068359,0.15625,0.021484375,-0.25,0.65625,-0.28125,0.0,0.0,0.0,22
23,1696193311739,-1.0039062,0.15820312,0.00390625,0.0,0.65625,-0.75,0.0,0.0,0.0,23
24,1696193311779,-1.0029297,0.17089844,0.0126953125,1.34375,-0.03125,-0.625,-43.9375,0.5,-140.3125,24
25,1696193311819,-0.9892578,0.18164062,0.001953125,1.90625,-0.28125,-0.75,0.0,0.0,0.0,25
26,1696193311859,-1.0009766,0.17871094,-0.005859375,1.40625,-0.15625,-0.75,0.0,0.0,0.0,26
