# Sensor type: Thingy
# Activity type: Shuffle walking
# Activity subtype: Normal
# Subject id: s1920057
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695304374624,-1.0810547,0.060546875,-0.091796875,11.6875,35.9375,0.875,0.0,0.0,0.0
1695304374652,-1.1367188,0.15039062,0.04296875,-14.375,52.3125,-19.75,0.0,0.0,0.0
1695304374682,-1.1064453,0.13085938,-0.059570312,-63.46875,-88.5,-30.5625,0.0,0.0,0.0
1695304374743,-0.9580078,0.15625,-0.16992188,42.625,-98.21875,-12.5625,0.0,0.0,0.0
1695304374773,-1.1152344,-0.013671875,0.23925781,10.15625,36.5,-13.21875,-33.3125,6.9375,-120.375
1695304374803,-1.0234375,-0.072265625,0.09082031,-165.03125,-34.96875,-65.84375,0.0,0.0,0.0
1695304374864,-0.9580078,0.09277344,0.0,48.46875,-60.96875,-53.625,0.0,0.0,0.0
1695304374893,-1.0527344,-0.009765625,-0.0126953125,2.53125,-2.25,-27.625,0.0,0.0,0.0
1695304374923,-0.81640625,0.080078125,-0.09277344,20.15625,11.03125,-14.4375,0.0,0.0,0.0
1695304374982,-0.7998047,0.0078125,-0.15332031,26.75,52.3125,5.3125,0.0,0.0,0.0
1695304375012,-0.99902344,-0.1171875,0.4951172,-46.3125,29.84375,2.8125,0.0,0.0,0.0
1695304375044,-0.8964844,0.18457031,0.1015625,119.21875,-42.53125,16.5,0.0,0.0,0.0
1695304375162,-1.1611328,0.23535156,-0.07421875,31.625,5.78125,32.96875,0.0,0.0,0.0
1695304375164,-1.2597656,0.27929688,-0.045898438,-30.3125,-28.5625,48.65625,0.0,0.0,0.0
1695304375165,-1.1015625,-0.12695312,-0.23730469,115.90625,-6.03125,38.46875,0.0,0.0,0.0
1695304375224,-0.9863281,-0.14257812,-0.13769531,55.6875,33.1875,26.3125,0.0,0.0,0.0
1695304375253,-0.99316406,0.12597656,0.047851562,-96.0625,18.375,-6.4375,0.0,0.0,0.0
1695304375319,-1.0087891,0.19140625,-0.025390625,50.3125,8.25,5.875,-32.875,5.3125,-120.1875
1695304375374,-1.0751953,0.1328125,-0.08105469,80.875,-25.5,26.9375,0.0,0.0,0.0
1695304375376,-0.9765625,-0.07324219,-0.12695312,55.375,2.6875,31.03125,0.0,0.0,0.0
1695304375404,-0.9951172,-0.06347656,-0.068359375,7.15625,34.90625,26.6875,0.0,0.0,0.0
1695304375464,-1.0048828,-0.078125,-0.052734375,-21.78125,44.0,15.21875,0.0,0.0,0.0
1695304375494,-1.0087891,-0.0087890625,0.13378906,-48.375,6.84375,-24.40625,0.0,0.0,0.0
1695304375523,-1.03125,0.22851562,0.3388672,-80.5,-0.90625,-73.34375,0.0,0.0,0.0
1695304375584,-1.0341797,0.234375,0.047851562,8.625,-70.9375,-58.6875,0.0,0.0,0.0
1695304375616,-1.1513672,0.17871094,0.21777344,3.25,-31.6875,-41.65625,0.0,0.0,0.0
1695304375644,-1.0556641,0.055664062,0.033203125,-73.03125,-75.8125,-41.59375,0.0,0.0,0.0
1695304375703,-0.97265625,0.12890625,-0.1640625,8.9375,-17.8125,-25.625,0.0,0.0,0.0
1695304375765,-0.9951172,-0.0703125,-0.0126953125,29.125,29.46875,8.375,0.0,0.0,0.0
1695304375796,-0.9355469,-0.26660156,0.22949219,-110.59375,50.0,-16.59375,-33.625,0.9375,-117.0625
1695304375824,-0.81933594,0.16210938,-0.036132812,79.65625,-13.3125,8.25,0.0,0.0,0.0
1695304375854,-0.6738281,0.111328125,-0.047851562,76.125,17.09375,26.09375,0.0,0.0,0.0
1695304375945,-0.9189453,0.3564453,0.43164062,-9.375,48.40625,27.46875,0.0,0.0,0.0
1695304375947,-1.1396484,-0.0146484375,-0.061523438,42.5625,2.375,48.0,0.0,0.0,0.0
1695304375974,-1.5771484,0.203125,0.18652344,-4.25,45.15625,21.0625,0.0,0.0,0.0
1695304376003,-0.83496094,-0.1328125,-0.14941406,-67.125,-26.0,6.3125,0.0,0.0,0.0
1695304376064,-0.95214844,-0.09277344,-0.15429688,82.46875,-5.375,21.125,0.0,0.0,0.0
1695304376094,-1.0410156,-0.0029296875,-0.13378906,76.6875,17.09375,14.53125,0.0,0.0,0.0
1695304376183,-1.0439453,0.10546875,-0.13964844,51.03125,0.71875,0.3125,0.0,0.0,0.0
1695304376185,-1.0263672,0.1640625,-0.16210938,37.75,-18.25,2.09375,0.0,0.0,0.0
1695304376274,-0.9580078,0.15332031,-0.12011719,28.28125,14.46875,4.65625,0.0,0.0,0.0
1695304376278,-0.9785156,0.07910156,-0.049804688,-10.90625,31.90625,7.65625,0.0,0.0,0.0
1695304376304,-1.1806641,-0.19433594,0.5908203,-125.09375,67.625,-13.34375,-32.6875,4.375,-122.4375
1695304376334,-0.93847656,0.099609375,-0.08886719,13.6875,-71.09375,-44.96875,0.0,0.0,0.0
1695304376394,-1.0664062,0.16894531,0.013671875,32.53125,-16.53125,-41.65625,0.0,0.0,0.0
1695304376424,-1.3945312,0.08105469,0.4345703,-104.59375,-54.25,-65.90625,0.0,0.0,0.0
1695304376512,-0.91503906,0.19726562,-0.31054688,54.03125,-103.59375,-16.40625,0.0,0.0,0.0
1695304376516,-0.9628906,0.140625,-0.19335938,11.25,43.09375,6.96875,0.0,0.0,0.0
1695304376544,-0.9238281,-0.040039062,0.21289062,-157.28125,65.71875,-13.59375,0.0,0.0,0.0
1695304376573,-0.7421875,0.08203125,-0.072265625,105.84375,-0.90625,30.59375,0.0,0.0,0.0
1695304376633,-0.8232422,0.025390625,0.001953125,21.625,37.59375,31.5625,0.0,0.0,0.0
1695304376664,-0.93847656,0.033203125,0.1015625,8.125,-6.84375,11.0625,0.0,0.0,0.0
1695304376693,-1.296875,0.4169922,0.25878906,89.4375,-3.40625,24.3125,0.0,0.0,0.0
1695304376753,-1.0322266,0.087890625,-0.14453125,-55.46875,-45.78125,16.5,0.0,0.0,0.0
1695304376814,-1.140625,-0.041015625,-0.22167969,78.25,-20.75,33.40625,-32.875,5.0,-121.5625
1695304376820,-0.96191406,-0.12011719,-0.18261719,93.09375,-10.625,24.0,0.0,0.0,0.0
1695304376873,-0.9951172,0.06933594,-0.16992188,37.96875,0.59375,-4.4375,0.0,0.0,0.0
1695304376904,-1.03125,0.20605469,-0.13671875,-48.25,18.5625,-15.5,0.0,0.0,0.0
1695304376935,-0.9746094,0.12109375,-0.10839844,-77.375,37.84375,-2.375,0.0,0.0,0.0
1695304376994,-0.80566406,-0.015625,-0.053710938,-15.1875,45.84375,20.59375,0.0,0.0,0.0
1695304377023,-0.8876953,-0.064453125,0.3017578,35.84375,58.59375,12.03125,0.0,0.0,0.0
1695304377054,-0.9277344,0.28125,0.07519531,58.90625,-11.53125,-7.0,0.0,0.0,0.0
1695304377113,-1.2548828,0.328125,-0.017578125,-19.21875,-27.28125,-12.125,0.0,0.0,0.0
1695304377144,-1.2978516,0.14746094,-0.13378906,-59.90625,-25.75,-12.625,0.0,0.0,0.0
1695304377173,-1.1308594,0.013671875,0.055664062,-30.6875,16.21875,3.125,0.0,0.0,0.0
1695304377236,-1.0380859,0.14941406,0.05859375,18.25,-19.59375,-9.625,0.0,0.0,0.0
1695304377263,-0.9824219,0.22558594,0.0126953125,-25.9375,-37.96875,-15.0625,0.0,0.0,0.0
1695304377293,-0.8144531,0.18457031,-0.068359375,-40.4375,-29.0625,-21.90625,-33.875,5.5625,-122.0
1695304377353,-1.0371094,0.0029296875,0.42285156,-130.90625,39.90625,-36.96875,0.0,0.0,0.0
1695304377385,-0.87597656,0.18164062,-0.07910156,31.3125,-34.90625,-29.40625,0.0,0.0,0.0
1695304377413,-0.9453125,0.27539062,-0.14648438,43.21875,-27.21875,-0.59375,0.0,0.0,0.0
1695304377473,-0.88671875,0.0390625,-0.13574219,-11.53125,33.1875,6.5625,0.0,0.0,0.0
1695304377503,-0.86816406,-0.115234375,0.109375,-47.90625,54.6875,5.15625,0.0,0.0,0.0
1695304377535,-0.71484375,-0.02734375,-0.033203125,27.1875,7.6875,15.875,0.0,0.0,0.0
1695304377593,-1.3046875,-0.27929688,0.41015625,-54.375,-17.8125,0.625,0.0,0.0,0.0
1695304377624,-1.3232422,-0.009765625,-0.14160156,141.3125,-46.21875,7.71875,0.0,0.0,0.0
1695304377653,-0.97753906,0.34765625,0.20605469,-152.21875,-23.4375,5.21875,0.0,0.0,0.0
1695304377743,-1.0175781,-0.055664062,-0.20117188,135.15625,-39.1875,22.40625,0.0,0.0,0.0
1695304377746,-0.93847656,-0.15429688,-0.08984375,85.53125,19.03125,14.375,0.0,0.0,0.0
1695304377775,-1.0917969,0.11621094,0.0146484375,-45.625,23.8125,-23.1875,-33.125,3.5,-120.1875
1695304377833,-1.0244141,0.16308594,-0.052734375,-10.0,6.40625,-15.5,0.0,0.0,0.0
1695304377863,-0.9794922,0.20605469,-0.052734375,36.5625,0.5,0.3125,0.0,0.0,0.0
1695304377896,-1.0742188,0.14941406,-0.09472656,48.84375,-15.1875,15.53125,0.0,0.0,0.0
1695304377954,-1.0136719,-0.0029296875,-0.140625,60.3125,-17.6875,18.6875,0.0,0.0,0.0
1695304377985,-1.0126953,0.06542969,-0.091796875,13.5,6.34375,1.71875,0.0,0.0,0.0
1695304378013,-0.96777344,0.11621094,0.009765625,-57.0625,15.1875,-3.875,0.0,0.0,0.0
1695304378075,-0.9423828,-0.040039062,0.043945312,-6.5625,-7.875,4.78125,0.0,0.0,0.0
1695304378104,-1.0019531,-0.0703125,0.06933594,-29.46875,-7.3125,-4.25,0.0,0.0,0.0
1695304378133,-1.0234375,-0.044921875,0.056640625,-24.71875,-9.84375,-17.5,0.0,0.0,0.0
1695304378194,-1.0263672,0.27539062,0.1015625,-10.96875,3.0625,-25.25,0.0,0.0,0.0
1695304378224,-1.1416016,0.16113281,-0.061523438,-8.28125,-25.09375,-1.625,0.0,0.0,0.0
