# Sensor type: 'Thingy'
# Activity type: Standing
# Activity subtype: Normal
# Subject id: s1920896
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696247760221,-0.9873047,0.19238281,-0.17089844,-0.90625,-0.1875,0.28125,0.0,0.0,0.0
1696247760263,-0.98339844,0.1796875,-0.18164062,-1.03125,0.46875,0.6875,0.0,0.0,0.0
1696247760300,-0.99316406,0.18652344,-0.19042969,0.0,0.84375,0.75,0.0,0.0,0.0
1696247760341,-0.99121094,0.18945312,-0.16699219,-0.84375,0.46875,0.5625,-30.875,-9.25,-114.9375
1696247760381,-0.9902344,0.19042969,-0.16699219,-1.21875,0.1875,0.40625,0.0,0.0,0.0
1696247760421,-0.97558594,0.17871094,-0.16308594,-0.59375,-0.0625,-0.15625,0.0,0.0,0.0
1696247760460,-0.984375,0.18359375,-0.18261719,-0.53125,0.125,-0.03125,0.0,0.0,0.0
1696247760500,-0.9921875,0.18457031,-0.17675781,0.0625,0.125,0.21875,0.0,0.0,0.0
1696247760542,-0.99121094,0.19726562,-0.18066406,0.0625,0.53125,0.40625,0.0,0.0,0.0
1696247760581,-0.9951172,0.18554688,-0.18554688,0.0625,0.40625,0.15625,0.0,0.0,0.0
1696247760621,-0.98535156,0.19726562,-0.16210938,-0.46875,0.34375,0.15625,0.0,0.0,0.0
1696247760661,-0.9921875,0.18652344,-0.17382812,-0.125,0.78125,0.40625,0.0,0.0,0.0
1696247760702,-0.9951172,0.19140625,-0.17871094,0.4375,0.71875,0.34375,0.0,0.0,0.0
1696247760741,-0.9970703,0.1953125,-0.16992188,0.9375,0.53125,0.15625,0.0,0.0,0.0
1696247760781,-0.9824219,0.20507812,-0.18945312,0.4375,0.65625,0.6875,0.0,0.0,0.0
1696247760821,-0.9824219,0.18164062,-0.18066406,0.875,1.03125,0.6875,0.0,0.0,0.0
1696247760861,-0.9863281,0.20019531,-0.18554688,1.71875,0.84375,0.5,-29.125,-9.5625,-116.3125
1696247760902,-0.9921875,0.19824219,-0.18652344,0.875,0.84375,0.46875,0.0,0.0,0.0
1696247760941,-0.9902344,0.19140625,-0.171875,-0.0625,0.34375,0.34375,0.0,0.0,0.0
1696247760981,-0.9951172,0.19433594,-0.1953125,0.0625,0.1875,-0.09375,0.0,0.0,0.0
1696247761021,-0.9941406,0.19433594,-0.18652344,0.1875,-0.125,-0.34375,0.0,0.0,0.0
