,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696003343947,-0.61376953,-0.021057129,-0.7383423,0.625,-0.40625,0.78125,0
1,1696003343987,-0.61499023,-0.01763916,-0.74053955,0.484375,0.4375,0.859375,1
2,1696003344027,-0.6208496,-0.020568848,-0.7439575,0.375,0.5,0.765625,2
3,1696003344067,-0.6125488,-0.018127441,-0.7293091,0.65625,0.15625,0.90625,3
4,1696003344107,-0.61450195,-0.0178833,-0.7498169,0.46875,0.5,0.859375,4
5,1696003344147,-0.62109375,-0.021057129,-0.75665283,0.265625,0.234375,0.71875,5
6,1696003344187,-0.6166992,-0.016174316,-0.7476196,0.515625,-0.53125,0.96875,6
7,1696003344227,-0.6208496,-0.022033691,-0.73760986,0.484375,2.078125,0.984375,7
8,1696003344267,-0.6166992,-0.018371582,-0.7305298,0.890625,0.296875,0.46875,8
9,1696003344307,-0.6196289,-0.020324707,-0.74005127,0.53125,-0.453125,0.671875,9
10,1696003344347,-0.61816406,-0.027893066,-0.7359009,0.578125,0.234375,0.78125,10
11,1696003344387,-0.6230469,-0.016662598,-0.7451782,0.34375,0.265625,0.96875,11
12,1696003344427,-0.6164551,-0.01739502,-0.73223877,0.375,0.4375,0.9375,12
13,1696003344467,-0.61816406,-0.014953613,-0.7385864,0.34375,0.265625,0.90625,13
14,1696003344507,-0.6179199,-0.022277832,-0.73223877,0.078125,-0.171875,0.75,14
15,1696003344547,-0.61572266,-0.019104004,-0.72247314,-0.578125,-1.828125,0.71875,15
16,1696003344587,-0.6159668,-0.016662598,-0.7468872,-2.46875,-1.40625,1.015625,16
17,1696003344627,-0.62890625,-0.023742676,-0.7608032,-2.15625,3.453125,1.171875,17
18,1696003344667,-0.61816406,-0.036193848,-0.72125244,-2.109375,2.828125,0.859375,18
19,1696003344707,-0.62890625,-0.02545166,-0.72613525,-1.640625,1.578125,0.734375,19
20,1696003344747,-0.62524414,-0.028625488,-0.7293091,-2.34375,-0.25,0.625,20
21,1696003344787,-0.6308594,-0.031066895,-0.755188,-2.53125,0.015625,0.421875,21
22,1696003344827,-0.6279297,-0.038146973,-0.7385864,-1.875,0.578125,0.40625,22
23,1696003344867,-0.625,-0.034729004,-0.7131958,-1.6875,2.21875,0.0625,23
24,1696003344907,-0.626709,-0.041809082,-0.73394775,-1.625,-1.796875,0.0625,24
25,1696003344947,-0.6286621,-0.039367676,-0.7280884,-1.15625,-1.1875,0.0,25
26,1696003344987,-0.63427734,-0.042297363,-0.73638916,-0.0625,-2.03125,0.5625,26
27,1696003345027,-0.6323242,-0.043273926,-0.73638916,0.734375,-2.671875,0.703125,27
28,1696003345067,-0.62158203,-0.04449463,-0.73809814,1.421875,-2.984375,1.078125,28
29,1696003345107,-0.6184082,-0.04498291,-0.7449341,2.46875,-4.0,1.25,29
30,1696003345147,-0.6130371,-0.038879395,-0.74591064,3.609375,-4.359375,1.6875,30
31,1696003345187,-0.60546875,-0.03717041,-0.73687744,6.0,-4.90625,1.59375,31
32,1696003345227,-0.59887695,-0.031066895,-0.74420166,5.578125,-6.109375,1.078125,32
33,1696003345267,-0.60253906,-0.023498535,-0.769104,3.375,-2.703125,1.0,33
34,1696003345307,-0.59936523,-0.015197754,-0.7625122,1.875,1.09375,0.828125,34
35,1696003345347,-0.5917969,-0.018127441,-0.7468872,1.453125,1.53125,1.21875,35
36,1696003345387,-0.59814453,-0.012756348,-0.75567627,1.15625,0.90625,1.25,36
37,1696003345427,-0.5996094,-0.019104004,-0.75982666,0.859375,1.171875,1.171875,37
38,1696003345467,-0.6047363,-0.019592285,-0.75445557,0.953125,0.046875,1.203125,38
39,1696003345507,-0.6052246,-0.015930176,-0.75250244,0.578125,2.5,1.203125,39
40,1696003345547,-0.60131836,-0.023498535,-0.7390747,1.34375,1.4375,0.75,40
41,1696003345587,-0.59814453,-0.010803223,-0.7461548,0.875,0.25,0.484375,41
42,1696003345627,-0.60424805,-0.016906738,-0.7439575,0.8125,0.125,0.640625,42
43,1696003345667,-0.6081543,-0.010559082,-0.74542236,0.21875,0.171875,0.78125,43
44,1696003345707,-0.6020508,-0.010070801,-0.7437134,-0.578125,0.28125,0.765625,44
45,1696003345747,-0.60913086,-0.014953613,-0.7503052,-2.078125,1.265625,1.125,45
46,1696003345787,-0.61376953,-0.02154541,-0.7564087,-2.71875,2.5,1.234375,46
47,1696003345827,-0.61376953,-0.026184082,-0.7373657,-2.984375,2.5625,1.140625,47
48,1696003345867,-0.61499023,-0.02935791,-0.7439575,-2.78125,2.578125,0.75,48
49,1696003345907,-0.61572266,-0.034729004,-0.7349243,-2.859375,1.296875,0.5625,49
50,1696003345947,-0.62109375,-0.039611816,-0.72613525,-3.0,0.90625,0.0625,50
51,1696003345987,-0.6208496,-0.035949707,-0.73516846,-2.5625,0.921875,-0.109375,51
52,1696003346027,-0.6213379,-0.035705566,-0.73394775,-2.578125,-0.421875,-0.484375,52
53,1696003346067,-0.6201172,-0.04425049,-0.74176025,-1.328125,-1.8125,-0.296875,53
54,1696003346107,-0.6135254,-0.04425049,-0.7312622,-0.328125,-3.1875,0.0,54
55,1696003346147,-0.6171875,-0.047180176,-0.74591064,-0.359375,-1.234375,0.59375,55
56,1696003346187,-0.6105957,-0.042785645,-0.74053955,-0.3125,-3.25,0.71875,56
57,1696003346227,-0.61450195,-0.042541504,-0.7468872,0.4375,-2.640625,0.8125,57
58,1696003346267,-0.6088867,-0.043762207,-0.75201416,1.359375,-2.421875,0.984375,58
59,1696003346307,-0.6154785,-0.038635254,-0.7493286,1.96875,-2.625,1.453125,59
60,1696003346347,-0.6069336,-0.036193848,-0.7461548,4.65625,-4.640625,1.734375,60
61,1696003346387,-0.59033203,-0.035217285,-0.7456665,6.421875,-5.53125,1.671875,61
62,1696003346427,-0.5905762,-0.032043457,-0.7630005,3.703125,-3.4375,1.171875,62
63,1696003346467,-0.59228516,-0.024963379,-0.7698364,2.484375,-0.171875,0.765625,63
64,1696003346507,-0.59375,-0.021057129,-0.756897,1.953125,1.15625,0.71875,64
65,1696003346547,-0.58447266,-0.019104004,-0.75079346,1.53125,1.0625,1.0625,65
66,1696003346587,-0.5891113,-0.019836426,-0.7481079,1.3125,0.75,1.09375,66
67,1696003346627,-0.5983887,-0.020080566,-0.7637329,1.1875,1.0625,1.078125,67
68,1696003346667,-0.59643555,-0.019348145,-0.7468872,1.34375,0.578125,1.15625,68
69,1696003346707,-0.59643555,-0.022277832,-0.7505493,0.984375,1.46875,0.90625,69
70,1696003346747,-0.5998535,-0.020324707,-0.7510376,0.65625,1.5625,0.9375,70
71,1696003346787,-0.6040039,-0.011047363,-0.76104736,0.40625,0.375,0.78125,71
72,1696003346827,-0.607666,-0.019104004,-0.7476196,0.109375,3.25,0.8125,72
73,1696003346867,-0.5998535,-0.023498535,-0.7288208,0.21875,1.0625,0.390625,73
74,1696003346907,-0.5949707,-0.016662598,-0.7407837,-1.578125,-1.484375,0.65625,74
75,1696003346947,-0.61083984,-0.018127441,-0.76812744,-3.515625,0.765625,1.03125,75
76,1696003346987,-0.61499023,-0.019836426,-0.7481079,-4.734375,4.828125,1.0625,76
77,1696003347027,-0.6179199,-0.032287598,-0.7529907,-6.890625,8.015625,0.6875,77
78,1696003347067,-0.62231445,-0.03717041,-0.7163696,-4.421875,7.703125,0.71875,78
79,1696003347107,-0.63842773,-0.046691895,-0.7312622,-4.484375,2.1875,0.921875,79
80,1696003347147,-0.623291,-0.055725098,-0.71099854,-2.125,1.25,0.609375,80
81,1696003347187,-0.638916,-0.050354004,-0.72369385,-1.21875,-0.953125,0.59375,81
82,1696003347227,-0.63012695,-0.05279541,-0.7190552,-1.15625,-1.4375,0.40625,82
83,1696003347267,-0.6245117,-0.0491333,-0.72491455,-0.234375,-2.359375,0.1875,83
84,1696003347307,-0.62475586,-0.04888916,-0.7319946,-0.265625,-1.796875,-0.125,84
85,1696003347347,-0.6298828,-0.050109863,-0.7319946,0.1875,-2.953125,0.171875,85
86,1696003347387,-0.62280273,-0.049865723,-0.7398071,2.5625,-4.53125,0.359375,86
87,1696003347427,-0.6164551,-0.046936035,-0.7385864,2.734375,-6.015625,0.4375,87
88,1696003347467,-0.61938477,-0.046447754,-0.7642212,2.609375,-2.828125,0.875,88
89,1696003347507,-0.6022949,-0.043518066,-0.7241821,4.9375,-6.140625,1.203125,89
90,1696003347547,-0.59594727,-0.038146973,-0.7337036,6.390625,-9.890625,0.671875,90
91,1696003347587,-0.5913086,-0.029846191,-0.7749634,4.484375,-8.796875,0.125,91
92,1696003347627,-0.58740234,-0.021057129,-0.7854614,2.765625,-1.796875,0.671875,92
93,1696003347667,-0.58691406,-0.023498535,-0.7632446,2.421875,1.546875,1.015625,93
