# Sensor type: Respeck
# Activity type: Lying down on left
# Activity subtype: Singing
# Subject id: s1938615
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696004301490,-0.5744629,-0.018615723,-0.7752075,-0.21875,-0.21875,0.921875
1696004301520,-0.5690918,-0.028869629,-0.76885986,-0.09375,-0.609375,0.8125
1696004301579,-0.5710449,-0.0256958,-0.76812744,-0.46875,-0.59375,0.890625
1696004301607,-0.5720215,-0.022033691,-0.7647095,-0.578125,-0.40625,0.796875
1696004301637,-0.5756836,-0.02911377,-0.7744751,-0.765625,-0.5,0.703125
1696004301700,-0.5683594,-0.022766113,-0.7612915,-0.421875,-0.28125,0.84375
1696004301729,-0.5720215,-0.020324707,-0.77301025,-0.90625,-0.640625,0.765625
1696004301757,-0.57128906,-0.0256958,-0.7715454,-0.640625,-0.375,0.828125
1696004301817,-0.57592773,-0.0256958,-0.7756958,-0.875,-0.453125,0.875
1696004301848,-0.56884766,-0.027160645,-0.772522,-1.0,-0.4375,0.703125
1696004301879,-0.5698242,-0.032287598,-0.769104,-0.921875,-0.390625,0.671875
1696004301967,-0.5690918,-0.03302002,-0.7805786,-1.296875,-0.609375,0.46875
1696004301969,-0.5671387,-0.03302002,-0.7678833,-0.640625,-0.453125,0.671875
1696004302013,-0.564209,-0.031311035,-0.76446533,-0.8125,-0.703125,0.609375
1696004302026,-0.57006836,-0.038879395,-0.77008057,-1.015625,-0.140625,0.625
1696004302086,-0.56762695,-0.03765869,-0.7649536,-0.8125,0.0,0.484375
1696004302117,-0.5722656,-0.02935791,-0.7686157,-1.5625,-0.5,0.5625
1696004302192,-0.5744629,-0.039611816,-0.7727661,-1.15625,-0.0625,0.515625
1696004302195,-0.57055664,-0.04156494,-0.7720337,-1.171875,-0.1875,0.484375
1696004302238,-0.57055664,-0.039855957,-0.7715454,-0.75,-0.3125,0.625
1696004302282,-0.5649414,-0.04425049,-0.76568604,-1.375,-0.21875,0.6875
1696004302327,-0.5703125,-0.04815674,-0.77423096,-0.90625,-0.640625,0.484375
1696004302356,-0.56396484,-0.050842285,-0.77301025,-0.53125,-0.734375,0.625
1696004302387,-0.5690918,-0.051330566,-0.7737427,-0.171875,-0.90625,0.828125
1696004302417,-0.5673828,-0.04815674,-0.77423096,0.15625,-1.640625,0.875
1696004302477,-0.56518555,-0.04425049,-0.7827759,0.984375,-1.640625,0.78125
1696004302537,-0.56030273,-0.04864502,-0.76812744,2.03125,-2.296875,0.9375
1696004302541,-0.5595703,-0.045959473,-0.77911377,3.125,-3.703125,1.234375
1696004302597,-0.54907227,-0.038879395,-0.77008057,2.578125,-3.0625,0.59375
1696004302628,-0.5449219,-0.03692627,-0.8081665,1.046875,-3.65625,0.515625
1696004302657,-0.5480957,-0.03253174,-0.7803345,0.84375,0.234375,1.03125
1696004302717,-0.5517578,-0.029846191,-0.7637329,0.828125,-0.125,0.984375
1696004302747,-0.54296875,-0.039855957,-0.786438,0.171875,-0.34375,1.0625
