,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696004433847,0.31079102,-0.22808838,-0.8308716,0.359375,0.1875,0.515625,0
1,1696004433887,0.31958008,-0.22320557,-0.8442993,0.109375,0.265625,0.453125,1
2,1696004433927,0.32836914,-0.22735596,-0.8477173,0.21875,0.09375,0.625,2
3,1696004433967,0.32202148,-0.22808838,-0.8357544,0.359375,0.078125,0.65625,3
4,1696004434007,0.31860352,-0.2234497,-0.8428345,0.359375,0.046875,0.796875,4
5,1696004434047,0.31982422,-0.21881104,-0.8428345,0.53125,-0.125,0.71875,5
6,1696004434087,0.32202148,-0.22540283,-0.8464966,0.375,-0.125,0.453125,6
7,1696004434127,0.3215332,-0.22491455,-0.84210205,0.15625,-0.171875,0.640625,7
8,1696004434167,0.31958008,-0.22442627,-0.8362427,0.265625,-0.140625,0.75,8
9,1696004434207,0.32299805,-0.22515869,-0.8440552,0.078125,-0.09375,0.703125,9
10,1696004434247,0.32177734,-0.22369385,-0.83795166,0.0,0.109375,0.640625,10
11,1696004434287,0.32104492,-0.2263794,-0.8406372,-0.171875,0.171875,0.484375,11
12,1696004434327,0.3190918,-0.22515869,-0.83843994,-0.40625,0.453125,0.65625,12
13,1696004434367,0.31689453,-0.22467041,-0.8430786,-0.828125,0.890625,0.375,13
14,1696004434407,0.31420898,-0.23175049,-0.8394165,-0.828125,0.21875,0.40625,14
15,1696004434447,0.31933594,-0.23175049,-0.84698486,-1.078125,0.671875,0.25,15
16,1696004434487,0.31445312,-0.23590088,-0.8352661,-1.40625,0.859375,0.296875,16
17,1696004434527,0.32299805,-0.23858643,-0.8491821,-1.28125,1.078125,0.1875,17
18,1696004434567,0.31323242,-0.24102783,-0.8442993,-0.8125,0.59375,0.515625,18
19,1696004434607,0.31030273,-0.23590088,-0.81988525,-0.328125,0.265625,0.625,19
20,1696004434647,0.3125,-0.23883057,-0.84625244,-0.53125,0.53125,0.25,20
21,1696004434687,0.3100586,-0.24053955,-0.82647705,-0.9375,0.671875,0.3125,21
22,1696004434727,0.3071289,-0.24346924,-0.85113525,-0.359375,0.875,0.4375,22
23,1696004434767,0.30371094,-0.24737549,-0.84161377,-0.421875,0.203125,0.484375,23
24,1696004434807,0.30737305,-0.24859619,-0.8399048,-0.109375,0.25,0.640625,24
25,1696004434847,0.30566406,-0.24371338,-0.84698486,0.078125,0.0625,0.59375,25
26,1696004434887,0.3046875,-0.24420166,-0.8411255,0.015625,-0.015625,0.71875,26
27,1696004434927,0.30419922,-0.24639893,-0.83551025,0.3125,-0.4375,0.8125,27
28,1696004434967,0.3059082,-0.25201416,-0.8389282,0.015625,0.203125,0.5,28
29,1696004435007,0.30859375,-0.24615479,-0.84039307,0.3125,-0.328125,0.71875,29
30,1696004435047,0.31445312,-0.24713135,-0.8399048,0.71875,-0.671875,0.765625,30
