,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696003671697,-0.18286133,-0.9998169,0.20794678,-3.015625,4.46875,0.8125,0
1,1696003671737,-0.18847656,-0.97540283,0.20257568,-1.484375,4.140625,0.09375,1
2,1696003671777,-0.1809082,-0.98321533,0.19915771,-1.234375,2.859375,1.03125,2
3,1696003671817,-0.19018555,-0.9795532,0.19354248,-0.59375,3.484375,0.5,3
4,1696003671857,-0.18237305,-0.9898071,0.19647217,-1.296875,3.59375,-0.109375,4
5,1696003671897,-0.18701172,-0.98101807,0.19744873,-0.171875,2.34375,0.203125,5
6,1696003671937,-0.18798828,-0.989563,0.2111206,-0.84375,2.625,0.5,6
7,1696003671977,-0.17871094,-0.97003174,0.1906128,-2.28125,1.765625,-0.015625,7
8,1696003672017,-0.18603516,-0.9710083,0.22845459,-0.40625,0.84375,0.1875,8
9,1696003672057,-0.17260742,-0.98272705,0.14910889,-2.515625,1.546875,-0.0625,9
10,1696003672097,-0.17749023,-0.97442627,0.23260498,0.59375,-1.15625,0.515625,10
11,1696003672137,-0.1875,-0.9859009,0.20599365,-2.59375,0.109375,-0.328125,11
12,1696003672177,-0.17333984,-0.9714966,0.2423706,-1.34375,0.421875,-0.046875,12
13,1696003672217,-0.19433594,-0.960022,0.1930542,-0.859375,-2.015625,0.265625,13
14,1696003672257,-0.18676758,-0.97320557,0.2033081,0.84375,-3.03125,-0.078125,14
15,1696003672297,-0.19580078,-0.9841919,0.21282959,0.3125,-3.234375,0.34375,15
16,1696003672337,-0.19335938,-0.9651489,0.1852417,-0.484375,-3.546875,0.71875,16
17,1696003672377,-0.18847656,-0.9585571,0.184021,-0.28125,-2.6875,0.265625,17
18,1696003672417,-0.20996094,-0.9595337,0.19012451,1.9375,-5.921875,0.734375,18
19,1696003672457,-0.20800781,-0.9546509,0.20111084,4.203125,-12.703125,2.125,19
20,1696003672497,-0.19946289,-0.98931885,0.23040771,1.65625,-10.71875,1.328125,20
21,1696003672537,-0.20678711,-1.0042114,0.22235107,-3.71875,-3.796875,0.5,21
22,1696003672577,-0.19189453,-1.0147095,0.20794678,-0.609375,2.609375,0.3125,22
23,1696003672617,-0.18969727,-0.975647,0.19671631,0.65625,1.203125,0.59375,23
24,1696003672657,-0.18530273,-0.9727173,0.17279053,0.671875,-1.171875,0.78125,24
25,1696003672697,-0.2019043,-0.96051025,0.2267456,-0.515625,0.203125,0.515625,25
26,1696003672737,-0.20605469,-0.98809814,0.21990967,-0.578125,0.03125,0.671875,26
27,1696003672777,-0.20214844,-0.98223877,0.21551514,-2.078125,1.625,-0.015625,27
28,1696003672817,-0.18676758,-0.97613525,0.21502686,0.390625,0.90625,0.59375,28
29,1696003672857,-0.20996094,-0.9661255,0.20379639,-0.671875,0.703125,0.390625,29
30,1696003672897,-0.20141602,-0.9807739,0.22723389,-0.671875,0.65625,0.453125,30
31,1696003672937,-0.20092773,-0.97491455,0.23553467,0.375,0.3125,0.421875,31
32,1696003672977,-0.19750977,-0.97125244,0.21722412,-0.5625,0.328125,0.640625,32
33,1696003673017,-0.20654297,-0.96588135,0.2111206,0.03125,0.734375,0.859375,33
34,1696003673057,-0.20117188,-0.9758911,0.20501709,1.328125,0.671875,0.9375,34
35,1696003673097,-0.2084961,-0.98394775,0.21429443,1.90625,-0.109375,1.671875,35
36,1696003673137,-0.20239258,-0.9788208,0.21209717,0.9375,0.53125,1.15625,36
37,1696003673177,-0.20605469,-0.9846802,0.22943115,0.703125,-0.21875,0.9375,37
38,1696003673217,-0.2084961,-0.97784424,0.21673584,0.578125,-0.234375,0.734375,38
39,1696003673257,-0.2084961,-0.97662354,0.2033081,0.296875,-0.046875,1.15625,39
40,1696003673297,-0.19750977,-0.9795532,0.20965576,0.859375,0.46875,0.953125,40
41,1696003673337,-0.19995117,-0.9793091,0.21673584,0.484375,0.265625,1.140625,41
42,1696003673377,-0.19311523,-0.9714966,0.21282959,0.0625,0.21875,0.90625,42
43,1696003673417,-0.19384766,-0.9807739,0.18133545,-0.75,1.046875,0.984375,43
44,1696003673457,-0.20043945,-0.96343994,0.23406982,2.390625,-0.5,1.25,44
45,1696003673497,-0.18725586,-0.9883423,0.18621826,-0.671875,0.484375,0.53125,45
46,1696003673537,-0.19897461,-0.96710205,0.22528076,1.296875,1.046875,0.703125,46
47,1696003673577,-0.20483398,-0.9885864,0.22894287,2.359375,-0.28125,2.234375,47
48,1696003673617,-0.18774414,-0.97662354,0.21795654,1.015625,0.296875,1.09375,48
49,1696003673657,-0.19702148,-0.97540283,0.19891357,-0.125,0.125,0.46875,49
50,1696003673697,-0.1821289,-0.9824829,0.2062378,1.03125,-0.015625,0.578125,50
51,1696003673737,-0.19116211,-0.9817505,0.20159912,0.46875,-0.0625,0.65625,51
52,1696003673777,-0.19213867,-0.9678345,0.20233154,-0.703125,-0.234375,0.6875,52
53,1696003673817,-0.18725586,-0.9907837,0.21600342,0.28125,-0.375,0.84375,53
54,1696003673857,-0.18969727,-0.9783325,0.20697021,0.34375,-0.875,0.703125,54
55,1696003673897,-0.19555664,-0.9734497,0.19598389,0.546875,-1.265625,0.546875,55
56,1696003673937,-0.18920898,-0.98394775,0.199646,0.75,-1.671875,0.4375,56
57,1696003673977,-0.18945312,-0.97906494,0.21575928,2.1875,-0.125,0.609375,57
58,1696003674017,-0.20166016,-0.98101807,0.20697021,1.0,-0.328125,0.578125,58
59,1696003674057,-0.19091797,-0.9678345,0.19989014,0.625,-1.046875,0.78125,59
60,1696003674097,-0.19189453,-0.97784424,0.19866943,1.03125,-1.140625,1.0,60
61,1696003674137,-0.19750977,-0.98516846,0.20379639,1.09375,-1.265625,0.984375,61
62,1696003674177,-0.20263672,-0.9819946,0.19378662,0.5625,-1.609375,0.796875,62
63,1696003674217,-0.21411133,-0.99224854,0.19525146,-0.1875,-1.125,1.0625,63
64,1696003674257,-0.19018555,-0.9690552,0.2296753,1.859375,-0.6875,1.03125,64
65,1696003674297,-0.1965332,-0.98638916,0.18206787,-0.203125,-0.375,1.109375,65
66,1696003674337,-0.2097168,-0.97125244,0.20111084,-1.03125,0.625,0.578125,66
67,1696003674377,-0.20019531,-0.98443604,0.21502686,1.140625,0.484375,1.578125,67
68,1696003674417,-0.19628906,-0.9734497,0.20550537,0.265625,0.03125,0.859375,68
69,1696003674457,-0.19604492,-0.97125244,0.19525146,0.1875,0.703125,1.359375,69
70,1696003674497,-0.1953125,-0.9763794,0.20599365,0.734375,0.625,0.9375,70
71,1696003674537,-0.1940918,-0.9692993,0.18865967,1.03125,-0.4375,1.25,71
72,1696003674577,-0.19335938,-0.9751587,0.19451904,1.0,0.234375,0.96875,72
73,1696003674617,-0.18920898,-0.9829712,0.20135498,1.28125,-0.265625,0.953125,73
74,1696003674657,-0.19433594,-0.9841919,0.19403076,2.5,-0.921875,1.234375,74
75,1696003674697,-0.18823242,-0.9805298,0.19232178,2.5,-0.6875,1.5,75
76,1696003674737,-0.19580078,-0.9793091,0.19036865,1.25,0.015625,1.265625,76
77,1696003674777,-0.18115234,-0.9824829,0.18670654,0.796875,0.0,1.125,77
78,1696003674817,-0.18408203,-0.97784424,0.19158936,0.890625,-0.734375,0.875,78
79,1696003674857,-0.1887207,-0.98101807,0.19281006,1.0625,0.046875,1.328125,79
80,1696003674897,-0.18701172,-0.9800415,0.18621826,0.375,0.21875,0.96875,80
81,1696003674937,-0.18041992,-0.9783325,0.18133545,0.640625,-0.53125,1.0625,81
82,1696003674977,-0.18847656,-0.98272705,0.18890381,0.859375,-0.28125,1.0,82
83,1696003675017,-0.18920898,-0.9837036,0.18109131,-0.34375,-0.0625,0.6875,83
84,1696003675057,-0.19165039,-0.9924927,0.17034912,-0.359375,-0.75,0.296875,84
85,1696003675097,-0.1772461,-0.9636841,0.21038818,-0.171875,-0.796875,0.234375,85
86,1696003675137,-0.19873047,-0.98931885,0.1798706,-0.84375,-0.8125,0.21875,86
87,1696003675177,-0.1977539,-0.98687744,0.19866943,-4.828125,1.078125,-0.3125,87
88,1696003675217,-0.19628906,-0.9644165,0.18475342,-4.09375,-0.46875,-0.625,88
89,1696003675257,-0.20581055,-0.9849243,0.2008667,-4.921875,2.515625,-2.203125,89
90,1696003675297,-0.20263672,-0.9812622,0.21575928,-3.921875,3.828125,-1.625,90
91,1696003675337,-0.19335938,-0.99786377,0.2453003,-2.53125,2.515625,-0.453125,91
92,1696003675377,-0.20288086,-0.97491455,0.24188232,-3.28125,0.59375,-0.125,92
93,1696003675417,-0.2043457,-0.97198486,0.2411499,-2.78125,0.0625,-0.53125,93
94,1696003675457,-0.21020508,-0.9729614,0.23358154,-2.4375,0.078125,-0.4375,94
95,1696003675497,-0.2043457,-0.96881104,0.24041748,-2.34375,-0.671875,-0.46875,95
96,1696003675537,-0.21069336,-0.9690552,0.230896,-1.9375,-1.1875,0.09375,96
97,1696003675577,-0.19335938,-0.9651489,0.23602295,-0.71875,-1.5625,0.96875,97
98,1696003675617,-0.19726562,-0.96588135,0.22698975,1.09375,-1.765625,0.8125,98
99,1696003675657,-0.20214844,-0.96295166,0.21624756,3.46875,-1.28125,0.96875,99
100,1696003675697,-0.19360352,-0.9717407,0.22039795,4.828125,-1.59375,1.34375,100
101,1696003675737,-0.19848633,-0.98101807,0.21795654,5.140625,-4.34375,2.671875,101
102,1696003675777,-0.21484375,-0.9793091,0.23480225,4.375,-3.953125,2.421875,102
103,1696003675817,-0.20776367,-0.9795532,0.23529053,1.375,-1.0,2.0625,103
104,1696003675857,-0.21240234,-0.96295166,0.23602295,2.453125,-0.796875,1.859375,104
105,1696003675897,-0.19604492,-0.9692993,0.21551514,0.296875,-0.515625,1.59375,105
106,1696003675937,-0.20385742,-0.99005127,0.21478271,0.40625,-1.171875,1.296875,106
107,1696003675977,-0.18896484,-0.9668579,0.19866943,-1.734375,1.625,0.828125,107
108,1696003676017,-0.20898438,-0.98150635,0.23065186,0.859375,1.046875,1.21875,108
109,1696003676057,-0.203125,-0.9710083,0.21453857,-0.09375,0.515625,1.09375,109
