timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695388509447,-0.28930664,-0.89385986,0.015075684,3.1875,-10.921875,6.546875
1695388509492,-0.3623047,-1.0391235,0.046081543,7.953125,-6.421875,3.8125
1695388509523,-0.28393555,-0.9627075,-0.05328369,-5.46875,-7.640625,1.96875
1695388509567,-0.3942871,-0.9680786,-0.02154541,-9.015625,-6.203125,2.90625
1695388509642,-0.5266113,-0.9751587,0.09075928,-12.234375,-7.640625,-3.28125
1695388509646,-0.4008789,-0.9234009,-0.08306885,-5.53125,2.40625,-10.21875
1695388509687,-0.2644043,-0.9729614,0.031677246,-4.53125,-7.28125,-0.46875
1695388509719,-0.40698242,-0.9805298,0.011169434,-0.734375,0.03125,-0.453125
1695388509765,-0.31713867,-0.9121704,-0.012756348,-2.328125,0.953125,3.046875
1695388509807,-0.30737305,-0.99102783,0.035827637,-8.3125,-1.953125,3.390625
1695388509837,-0.36572266,-0.94317627,-0.028869629,-4.984375,0.234375,5.328125
1695388509884,-0.36499023,-0.92852783,0.020935059,-1.59375,0.015625,2.40625
1695388509927,-0.35327148,-0.96051025,0.038024902,-0.234375,0.015625,0.21875
1695388509957,-0.34985352,-0.9873657,0.035339355,-0.734375,0.046875,1.203125
1695388510003,-0.34033203,-0.9421997,0.04071045,-2.03125,-0.34375,1.046875
1695388510047,-0.34277344,-0.94122314,0.03289795,-2.65625,-0.4375,1.5
1695388510078,-0.36621094,-0.9668579,0.027526855,-2.515625,-0.078125,1.6875
1695388510122,-0.3310547,-0.9500122,0.024108887,-3.15625,1.0625,0.96875
1695388510167,-0.33691406,-0.9612427,0.026062012,-3.265625,0.125,-0.203125
1695388510197,-0.3232422,-0.95025635,0.035827637,-1.5625,0.265625,0.234375
1695388510242,-0.3251953,-0.9595337,0.0368042,-1.9375,1.875,-0.453125
1695388510287,-0.3466797,-0.9534302,0.04119873,-2.671875,3.375,0.03125
1695388510317,-0.35839844,-0.97247314,0.097351074,-2.90625,5.03125,0.234375
1695388510363,-0.36157227,-0.972229,0.10296631,-5.8125,7.046875,-0.734375
1695388510392,-0.36547852,-0.9717407,0.09051514,-6.53125,8.5625,-0.828125
1695388510438,-0.36694336,-0.9541626,0.07196045,-4.328125,4.625,-1.59375
1695388510482,-0.33862305,-0.9470825,0.06756592,0.390625,0.578125,0.03125
1695388510512,-0.30126953,-0.90093994,-0.042053223,7.609375,-9.71875,4.171875
1695388510558,-0.42358398,-0.98931885,0.043640137,14.28125,-15.71875,7.34375
1695388510602,-0.22802734,-0.9343872,-0.020324707,11.640625,0.078125,9.921875
1695388510632,-0.29492188,-1.0222778,0.07952881,-4.125,-1.5,-3.0625
1695388510677,-0.29711914,-0.9192505,0.028259277,-7.75,3.328125,-6.515625
1695388510723,-0.3305664,-0.9780884,0.04046631,-4.34375,4.21875,-5.171875
1695388510752,-0.37768555,-0.93634033,0.07659912,-3.375,5.359375,-4.0625
1695388510798,-0.37158203,-0.99786377,0.031433105,3.4375,-3.84375,2.078125
1695388510842,-0.53466797,-1.0567017,-0.012512207,5.40625,-8.078125,8.09375
1695388510872,-0.2421875,-0.9260864,0.08026123,-0.78125,3.109375,4.546875
1695388510917,-0.33666992,-0.9429321,0.032165527,-7.015625,5.75,-2.21875
1695388510962,-0.27368164,-0.93927,0.025817871,-7.09375,5.5,-4.359375
1695388510993,-0.2866211,-0.89190674,0.012634277,-7.265625,-0.1875,-3.90625
1695388511037,-0.28051758,-0.9187622,-0.04815674,1.109375,-7.046875,-0.359375
1695388511082,-0.37060547,-1.0130005,0.19989014,6.859375,-7.8125,1.6875
1695388511112,-0.38623047,-1.0737915,0.07269287,9.0625,-11.796875,8.421875
1695388511157,-0.39379883,-0.9981079,0.06341553,0.28125,-0.859375,3.296875
1695388511187,-0.33520508,-0.9390259,0.032409668,-5.546875,4.671875,0.671875
1695388511232,-0.3095703,-0.92071533,0.027038574,-10.5,8.59375,-2.078125
1695388511277,-0.28320312,-0.93951416,0.03289795,-13.171875,20.421875,-1.5
1695388511307,-0.29174805,-0.97613525,0.090026855,-5.9375,23.78125,-0.09375
1695388511353,-0.37768555,-1.0203247,0.15545654,2.359375,9.921875,2.859375
1695388511398,-0.35131836,-0.93927,0.011169434,4.015625,-6.828125,5.28125
1695388511428,-0.42919922,-0.8862915,-0.050109863,11.84375,-34.6875,9.359375
1695388511472,-0.14257812,-0.8467407,-0.026428223,1.578125,0.171875,8.328125
1695388511517,-0.36791992,-1.0427856,0.15423584,-2.5625,-9.78125,-2.609375
1695388511547,-0.28344727,-0.9182739,-0.0049438477,-6.40625,1.40625,-5.71875
1695388511592,-0.33740234,-0.9500122,0.066101074,-7.578125,6.5625,-8.46875
1695388511637,-0.33374023,-0.94122314,0.17449951,-4.21875,5.03125,-5.71875
1695388511668,-0.36523438,-1.0181274,0.06585693,4.34375,-9.46875,1.796875
1695388511712,-0.33862305,-1.0447388,0.05291748,-1.78125,-7.359375,5.890625
1695388511757,-0.33520508,-0.9624634,0.08319092,-4.4375,-0.171875,1.140625
1695388511788,-0.2836914,-0.93707275,0.06341553,-0.25,3.875,0.484375
1695388511832,-0.2697754,-0.94000244,0.016784668,-0.6875,0.015625,-3.515625
1695388511877,-0.3046875,-0.91485596,0.113464355,-2.890625,-0.359375,-2.859375
1695388511908,-0.31567383,-0.95684814,0.082214355,0.15625,-4.546875,-1.578125
1695388511952,-0.51953125,-1.0674438,0.0770874,5.015625,-17.703125,4.625
