,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,1695735036886,-0.9794922,-0.14257812,-0.07910156,1.25,-0.59375,0.5,0.0,0.0,0.0
1,1695735036968,-0.98535156,-0.14257812,-0.07910156,2.34375,2.0,0.15625,0.0,0.0,0.0
2,1695735036985,-0.99902344,-0.13183594,-0.06542969,3.4375,1.5625,1.25,0.0,0.0,0.0
3,1695735037027,-0.9941406,-0.13574219,-0.06933594,2.78125,1.3125,0.40625,0.0,0.0,0.0
4,1695735037086,-0.9892578,-0.1328125,-0.07519531,1.90625,0.03125,-0.15625,0.0,0.0,0.0
5,1695735037113,-0.9980469,-0.14355469,-0.057617188,1.0625,0.03125,-0.65625,0.0,0.0,0.0
6,1695735037147,-0.9863281,-0.15039062,-0.06640625,-1.6875,-0.6875,-0.71875,0.0,0.0,0.0
7,1695735037190,-0.9824219,-0.13574219,-0.07910156,-0.09375,-2.28125,0.03125,0.0,0.0,0.0
8,1695735037226,-0.99609375,-0.14453125,-0.06738281,1.125,-0.59375,0.34375,0.0,0.0,0.0
9,1695735037267,-0.984375,-0.15136719,-0.055664062,0.375,-0.34375,-0.59375,-34.3125,3.6875,-29.625
10,1695735037325,-0.98046875,-0.14160156,-0.07421875,-0.78125,-1.75,-0.9375,0.0,0.0,0.0
11,1695735037346,-0.9902344,-0.13867188,-0.06738281,2.59375,-1.1875,0.34375,0.0,0.0,0.0
12,1695735037387,-0.9873047,-0.15136719,-0.06738281,1.84375,-1.6875,0.4375,0.0,0.0,0.0
13,1695735037427,-0.9824219,-0.12695312,-0.07128906,-0.40625,-1.875,-0.40625,0.0,0.0,0.0
14,1695735037469,-0.9921875,-0.13378906,-0.072265625,1.3125,0.28125,0.09375,0.0,0.0,0.0
15,1695735037508,-0.9921875,-0.12695312,-0.07421875,0.5,-0.8125,0.28125,0.0,0.0,0.0
16,1695735037545,-0.98535156,-0.13183594,-0.07128906,0.875,-1.4375,0.03125,0.0,0.0,0.0
17,1695735037589,-0.99609375,-0.13867188,-0.047851562,0.4375,-0.6875,0.09375,0.0,0.0,0.0
18,1695735037628,-0.99121094,-0.12890625,-0.06347656,0.75,-0.46875,0.15625,0.0,0.0,0.0
19,1695735037666,-0.98339844,-0.12402344,-0.064453125,1.78125,-1.0,0.5,0.0,0.0,0.0
20,1695735037707,-0.9921875,-0.12890625,-0.05859375,1.59375,-1.0,0.5,0.0,0.0,0.0
21,1695735037747,-0.9794922,-0.13183594,-0.057617188,1.3125,-0.75,0.5,0.0,0.0,0.0
22,1695735037787,-0.9970703,-0.13867188,-0.06933594,0.9375,-0.34375,0.40625,-34.75,2.3125,-27.6875
23,1695735037832,-0.99316406,-0.125,-0.055664062,0.625,-0.03125,-0.03125,0.0,0.0,0.0
24,1695735037869,-0.99609375,-0.13476562,-0.07324219,0.25,-0.625,0.15625,0.0,0.0,0.0
25,1695735037907,-0.9970703,-0.13574219,-0.053710938,0.8125,-1.0,0.34375,0.0,0.0,0.0
26,1695735037946,-0.99316406,-0.1328125,-0.053710938,0.9375,-0.53125,0.21875,0.0,0.0,0.0
27,1695735037985,-0.9951172,-0.12597656,-0.05859375,1.0,-0.21875,0.15625,0.0,0.0,0.0
28,1695735038033,-0.9970703,-0.13769531,-0.0625,0.625,-0.625,0.03125,0.0,0.0,0.0
29,1695735038106,-0.99121094,-0.13378906,-0.064453125,0.03125,-1.25,0.21875,0.0,0.0,0.0
30,1695735038108,-0.9951172,-0.13378906,-0.05859375,0.25,-0.6875,0.09375,0.0,0.0,0.0
31,1695735038145,-0.99316406,-0.13378906,-0.048828125,-0.40625,-0.46875,-0.09375,0.0,0.0,0.0
32,1695735038246,-0.99902344,-0.14160156,-0.05859375,-0.53125,-0.8125,-0.28125,0.0,0.0,0.0
33,1695735038248,-0.984375,-0.13769531,-0.045898438,0.03125,-0.875,0.03125,0.0,0.0,0.0
34,1695735038265,-0.9951172,-0.140625,-0.060546875,0.09375,-0.8125,-0.15625,-34.75,5.625,-27.375
35,1695735038388,-0.9863281,-0.13085938,-0.059570312,0.25,-0.28125,-0.28125,0.0,0.0,0.0
36,1695735038390,-0.99609375,-0.13183594,-0.049804688,-0.65625,-0.9375,-0.09375,0.0,0.0,0.0
37,1695735038392,-0.98339844,-0.13574219,-0.055664062,0.03125,-0.8125,0.21875,0.0,0.0,0.0
38,1695735038425,-0.9873047,-0.140625,-0.043945312,-0.53125,-0.59375,-0.15625,0.0,0.0,0.0
39,1695735038466,-0.99902344,-0.13964844,-0.043945312,-0.34375,-0.875,-0.53125,0.0,0.0,0.0
40,1695735038506,-1.0,-0.13964844,-0.057617188,-0.71875,-0.875,-0.46875,0.0,0.0,0.0
41,1695735038545,-0.9921875,-0.13964844,-0.041992188,0.09375,-0.8125,-0.03125,0.0,0.0,0.0
42,1695735038586,-0.9863281,-0.13183594,-0.0546875,0.5,-0.09375,-0.09375,0.0,0.0,0.0
43,1695735038625,-0.9892578,-0.12695312,-0.045898438,0.375,0.21875,0.03125,0.0,0.0,0.0
44,1695735038668,-0.9892578,-0.140625,-0.048828125,0.375,0.46875,0.21875,0.0,0.0,0.0
45,1695735038705,-0.98828125,-0.12890625,-0.049804688,0.09375,0.28125,-0.09375,0.0,0.0,0.0
46,1695735038745,-0.99609375,-0.14257812,-0.061523438,0.15625,0.09375,-0.15625,0.0,0.0,0.0
47,1695735038787,-0.9892578,-0.140625,-0.06542969,-0.09375,-0.03125,-0.28125,-35.6875,3.6875,-28.0
48,1695735038853,-0.9873047,-0.13378906,-0.043945312,0.3125,0.21875,-0.28125,0.0,0.0,0.0
49,1695735038866,-0.9941406,-0.13671875,-0.049804688,-0.34375,-0.40625,-0.59375,0.0,0.0,0.0
50,1695735038927,-0.99316406,-0.1328125,-0.0546875,-0.21875,-0.15625,-0.46875,0.0,0.0,0.0
51,1695735038946,-0.9863281,-0.13964844,-0.0625,0.9375,0.28125,-0.40625,0.0,0.0,0.0
52,1695735038986,-0.99121094,-0.13183594,-0.053710938,-0.21875,-0.59375,-0.59375,0.0,0.0,0.0
53,1695735039025,-0.984375,-0.13867188,-0.061523438,-0.28125,-0.75,-0.40625,0.0,0.0,0.0
54,1695735039065,-0.9921875,-0.13183594,-0.056640625,0.15625,-0.21875,-0.15625,0.0,0.0,0.0
55,1695735039105,-0.9902344,-0.13867188,-0.048828125,-0.03125,0.15625,-0.21875,0.0,0.0,0.0
56,1695735039145,-0.99902344,-0.14257812,-0.06738281,-0.09375,-0.40625,-0.21875,0.0,0.0,0.0
57,1695735039185,-0.9873047,-0.1328125,-0.061523438,0.3125,-0.40625,0.03125,0.0,0.0,0.0
58,1695735039225,-0.98339844,-0.140625,-0.06542969,0.03125,-0.53125,-0.03125,0.0,0.0,0.0
59,1695735039265,-0.984375,-0.14746094,-0.046875,0.21875,-0.34375,-0.03125,-32.8125,2.1875,-28.3125
