,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695329636015,0.1652832,-0.99786377,-0.046691895,-3.703125,3.09375,13.375,61
1,1695329636055,0.1616211,-0.9180298,-0.061584473,1.890625,2.625,8.21875,62
2,1695329636095,0.20410156,-1.0505981,-0.03253174,5.90625,1.703125,5.328125,63
3,1695329636135,0.25463867,-1.0210571,-0.03326416,-0.21875,0.90625,8.75,64
4,1695329636175,0.23632812,-1.0508423,-0.08428955,0.5625,0.5625,5.09375,65
5,1695329636215,0.23339844,-0.95562744,-0.04034424,8.65625,3.78125,-1.53125,66
6,1695329636255,0.20727539,-0.99005127,-0.050842285,1.75,0.640625,1.921875,67
7,1695329636295,0.24658203,-0.9168091,-0.06304932,1.84375,3.75,4.734375,68
8,1695329636335,0.27124023,-0.92852783,-0.08502197,-1.953125,-0.421875,4.515625,69
9,1695329636375,0.26611328,-0.85528564,-0.062316895,3.8125,3.4375,2.671875,70
10,1695329636415,0.21582031,-0.92022705,-0.085998535,3.53125,-1.59375,5.4375,71
11,1695329636455,0.27416992,-0.9500122,-0.1026001,-1.453125,0.765625,5.1875,72
12,1695329636495,0.3088379,-0.9795532,-0.13092041,-2.453125,1.3125,6.09375,73
13,1695329636535,0.31958008,-0.9116821,-0.09259033,1.1875,4.5625,2.71875,74
14,1695329636575,0.31079102,-0.9651489,-0.057434082,-0.875,-1.640625,5.40625,75
15,1695329636615,0.31225586,-0.97662354,-0.07940674,-0.8125,-1.84375,4.46875,76
16,1695329636655,0.28979492,-0.9771118,-0.113586426,0.90625,-3.40625,0.859375,77
17,1695329636695,0.26586914,-0.93634033,-0.113586426,2.796875,1.234375,-5.234375,78
18,1695329636735,0.25048828,-0.91119385,-0.065979004,5.515625,0.84375,-1.46875,79
19,1695329636775,0.24511719,-0.9360962,-0.07525635,1.21875,-0.109375,-0.296875,80
20,1695329636815,0.2692871,-0.9475708,-0.08502197,-2.796875,1.234375,2.15625,81
21,1695329636855,0.30249023,-0.9595337,-0.09967041,-3.390625,2.109375,0.03125,82
22,1695329636895,0.31030273,-0.9163208,-0.062805176,2.25,4.671875,-1.34375,83
23,1695329636935,0.27929688,-0.9710083,-0.08258057,-1.03125,-2.640625,1.015625,84
24,1695329636975,0.30395508,-0.9741821,-0.086242676,0.109375,0.71875,-0.96875,85
25,1695329637015,0.30541992,-0.9727173,-0.12652588,-3.703125,0.03125,-1.78125,86
26,1695329637055,0.27954102,-0.9043579,-0.0869751,-1.265625,3.4375,-5.515625,87
27,1695329637095,0.25170898,-0.91851807,-0.073791504,0.390625,0.25,-2.875,88
28,1695329637135,0.27539062,-0.95098877,-0.06451416,-2.328125,0.078125,-1.453125,89
29,1695329637175,0.26000977,-0.94854736,-0.08648682,-3.359375,-0.90625,-1.90625,90
30,1695329637215,0.26757812,-0.95196533,-0.08428955,-0.46875,0.03125,-7.328125,91
31,1695329637255,0.25341797,-0.9439087,-0.049621582,0.40625,1.328125,-2.5625,92
32,1695329637295,0.22436523,-0.96881104,-0.05279541,-5.8125,1.046875,0.078125,93
33,1695329637335,0.22290039,-0.98272705,-0.05279541,-7.265625,1.828125,-3.546875,94
34,1695329637375,0.2175293,-0.9680786,0.019226074,-7.578125,4.0,-11.359375,95
35,1695329637415,0.15722656,-0.96099854,0.0211792,-8.421875,-1.625,-16.78125,96
36,1695329637455,0.15844727,-0.9924927,-0.085510254,1.453125,-0.765625,-12.5625,97
37,1695329637495,0.22753906,-1.0105591,-0.07867432,-3.046875,0.359375,-5.609375,98
38,1695329637535,0.25634766,-0.9414673,-0.09210205,-2.171875,1.6875,-4.453125,99
39,1695329637575,0.28125,-0.96466064,-0.12750244,5.015625,-3.53125,-2.171875,100
40,1695329637615,0.25756836,-1.0234985,-0.08502197,11.671875,2.34375,14.375,101
41,1695329637655,0.23901367,-1.0532837,0.059265137,-0.796875,4.625,17.0,102
42,1695329637695,0.07495117,-0.69244385,-0.0256958,-14.625,0.703125,4.109375,103
43,1695329637735,0.10083008,-1.0249634,-0.07110596,-0.71875,3.921875,-4.03125,104
44,1695329637775,0.18286133,-1.0454712,-0.0037231445,-5.28125,3.0625,1.71875,105
45,1695329637815,0.26879883,-1.0007935,-0.0017700195,-14.71875,6.375,2.5,106
46,1695329637855,0.22387695,-0.8765259,-0.018615723,-2.90625,-1.359375,-5.515625,107
47,1695329637895,0.18725586,-0.9939575,0.018493652,6.265625,-0.828125,-9.71875,108
48,1695329637935,0.18579102,-0.9907837,-0.0049438477,-1.4375,-3.109375,-4.125,109
49,1695329637975,0.13989258,-1.0227661,-0.028381348,-3.015625,-1.640625,-3.71875,110
50,1695329638015,0.13647461,-1.0166626,0.0048217773,1.6875,3.546875,-5.484375,111
51,1695329638055,0.13696289,-0.98101807,0.07318115,-2.890625,4.375,-3.96875,112
52,1695329638095,0.12817383,-0.95440674,0.059265137,6.359375,1.78125,-9.828125,113
53,1695329638135,0.1081543,-0.9956665,-0.034484863,3.03125,1.828125,-7.40625,114
