timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695403904333,-0.5744629,0.15228271,0.93133545,-0.25,1.0,0.09375
1695403904402,-0.5673828,0.15887451,0.9298706,-0.40625,1.0625,0.03125
1695403904406,-0.56396484,0.15472412,0.93255615,-0.265625,1.09375,0.109375
1695403904477,-0.57421875,0.15130615,0.93182373,-0.4375,1.34375,0.140625
1695403904494,-0.57470703,0.15374756,0.94085693,-0.40625,1.21875,0.171875
1695403904522,-0.5720215,0.15423584,0.93548584,-1.109375,1.59375,0.015625
1695403904598,-0.57055664,0.15374756,0.94207764,-0.546875,1.484375,0.171875
1695403904614,-0.579834,0.15496826,0.934021,-1.0625,1.5625,0.3125
1695403904653,-0.5710449,0.15301514,0.9332886,-1.421875,2.234375,-0.140625
1695403904717,-0.5673828,0.15887451,0.9364624,-1.3125,2.375,-0.15625
1695403904720,-0.5732422,0.1564331,0.9376831,-1.453125,2.09375,0.140625
1695403904793,-0.56689453,0.15814209,0.94158936,-1.125,2.234375,0.03125
1695403904811,-0.5625,0.15594482,0.9398804,-1.640625,2.4375,-0.140625
1695403904839,-0.56347656,0.15887451,0.9328003,-1.359375,2.015625,0.265625
1695403904916,-0.5671387,0.16937256,0.9369507,-1.015625,1.84375,0.0625
1695403904931,-0.56469727,0.16693115,0.9406128,-1.234375,2.21875,0.203125
1695403904961,-0.5632324,0.16131592,0.9413452,-1.625,2.5625,0.203125
1695403905032,-0.560791,0.1749878,0.94818115,-1.078125,1.984375,0.265625
1695403905034,-0.5500488,0.16595459,0.93548584,-1.265625,2.578125,0.21875
1695403905114,-0.5588379,0.17034912,0.947937,-0.578125,2.21875,0.453125
1695403905125,-0.5546875,0.16644287,0.9467163,-0.25,2.03125,0.625
1695403905153,-0.5593262,0.17401123,0.946228,-0.390625,1.578125,0.796875
1695403905228,-0.55200195,0.168396,0.9450073,-0.6875,2.453125,0.53125
1695403905246,-0.5515137,0.16619873,0.93573,-1.71875,3.5,-0.125
1695403905274,-0.55444336,0.16522217,0.947937,-1.421875,3.046875,0.03125
1695403905349,-0.5488281,0.17108154,0.94866943,-0.6875,3.46875,0.3125
1695403905364,-0.5444336,0.17010498,0.9472046,-0.203125,3.1875,0.265625
1695403905399,-0.5419922,0.16693115,0.95526123,-0.8125,3.203125,0.140625
1695403905468,-0.5407715,0.17547607,0.95355225,-0.203125,2.53125,0.25
1695403905471,-0.5332031,0.16986084,0.9611206,-0.59375,3.078125,-0.171875
1695403905549,-0.5270996,0.16107178,0.9508667,-1.5,3.3125,-0.140625
1695403905560,-0.5258789,0.17181396,0.9567261,-0.171875,2.640625,0.359375
1695403905591,-0.5300293,0.17132568,0.9550171,-0.375,2.4375,0.28125
1695403905664,-0.5307617,0.1762085,0.9616089,-0.109375,2.640625,0.4375
1695403905680,-0.52490234,0.17254639,0.95648193,-0.140625,2.46875,0.296875
1695403905710,-0.52856445,0.1696167,0.96551514,-0.234375,2.5,0.1875
1695403905783,-0.52197266,0.17132568,0.9723511,0.84375,2.8125,0.3125
1695403905788,-0.5180664,0.16815186,0.9603882,1.171875,3.09375,0.59375
1695403905859,-0.5144043,0.17132568,0.9616089,1.0,2.84375,0.578125
1695403905879,-0.515625,0.1708374,0.97528076,1.734375,2.265625,0.8125
1695403905904,-0.5090332,0.1671753,0.9540405,0.21875,2.828125,0.5
1695403905950,-0.5136719,0.17010498,0.9711304,0.109375,3.046875,0.25
1695403906024,-0.51123047,0.16082764,0.96795654,0.71875,2.859375,0.484375
1695403906028,-0.51220703,0.16400146,0.9725952,1.15625,2.640625,0.5625
1695403906100,-0.50341797,0.1618042,0.980896,0.375,2.65625,0.28125
1695403906107,-0.5097656,0.15789795,0.9779663,0.625,2.90625,0.203125
1695403906172,-0.5048828,0.16204834,0.98187256,0.78125,3.0625,0.265625
1695403906188,-0.49902344,0.15325928,0.97161865,0.390625,3.046875,0.171875
1695403906219,-0.4975586,0.15887451,0.9845581,1.1875,2.5,0.578125
1695403906295,-0.4951172,0.14837646,0.98358154,0.765625,1.90625,0.453125
1695403906369,-0.4909668,0.15228271,0.9779663,0.421875,2.03125,0.171875
1695403906374,-0.4946289,0.14788818,0.9796753,0.578125,1.171875,0.265625
1695403906383,-0.4897461,0.15447998,0.9862671,0.40625,1.875,-0.125
1695403906417,-0.4975586,0.14251709,0.9840698,0.609375,1.28125,0.1875
1695403906473,-0.4958496,0.14764404,0.9833374,1.609375,0.203125,0.484375
1695403906505,-0.49389648,0.14324951,0.9867554,1.921875,-0.015625,0.859375
1695403906549,-0.4970703,0.13641357,0.97772217,0.921875,0.265625,0.59375
1695403906579,-0.49243164,0.14056396,0.9767456,0.25,0.40625,0.5625
