timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,notes,recording_id
1695642428721,-0.028564453,-0.9981079,-0.074523926,4.140625,2.421875,-0.765625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642428761,-0.019042969,-0.9776001,-0.06524658,3.859375,3.203125,-0.265625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642428801,-0.016845703,-0.97857666,-0.101867676,1.40625,1.984375,0.09375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642428841,-0.025878906,-0.9741821,-0.10479736,-1.3125,0.78125,-1.359375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642428881,-0.010986328,-0.9546509,-0.06378174,-2.828125,-2.0625,-0.9375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642428921,-0.018066406,-1.0098267,-0.06402588,-4.46875,-2.921875,-0.453125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642428961,-0.020263672,-1.010315,-0.08404541,-3.578125,5.4375,3.0,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429001,-0.030029297,-1.0376587,-0.08917236,-0.171875,2.921875,2.046875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429041,-0.0107421875,-1.0523071,-0.08648682,4.3125,10.5625,3.03125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429081,0.001953125,-1.0178833,-0.057922363,10.484375,12.78125,2.265625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429121,-0.027832031,-0.956604,-0.070617676,7.328125,2.796875,1.421875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429161,-0.032714844,-0.96539307,-0.0947876,-1.828125,-0.046875,0.421875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429201,-0.03125,-1.0027466,-0.10601807,-2.8125,-2.640625,-0.8125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429241,-0.0017089844,-0.9819946,-0.105773926,-7.9375,-4.375,-0.90625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429281,0.010986328,-0.96173096,-0.1038208,-7.5625,-2.578125,-0.953125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429321,-0.029785156,-0.95269775,-0.1272583,-12.21875,-7.3125,-1.90625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429361,-0.0126953125,-1.0210571,-0.028869629,-9.234375,-6.625,-1.890625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429401,-0.044921875,-1.0200806,-0.006164551,-7.515625,5.328125,1.96875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429441,-0.0031738281,-1.008606,-0.09136963,-4.0,5.40625,1.359375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429481,-0.008056641,-1.0300903,-0.04107666,2.015625,6.234375,1.828125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429521,-0.0041503906,-1.0401001,-0.024963379,8.59375,21.859375,2.171875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429561,-0.03881836,-0.9776001,-0.045715332,7.71875,2.640625,-0.09375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429601,-0.026123047,-0.987854,-0.054748535,1.40625,-0.65625,-1.0,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429641,-0.041503906,-0.9932251,-0.07940674,-3.53125,-0.984375,-2.203125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429681,-0.020751953,-0.9807739,-0.069885254,-5.765625,-5.9375,-2.953125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429721,0.03100586,-0.9487915,-0.055480957,-8.265625,-4.484375,-0.96875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429761,-0.03149414,-0.9595337,-0.08673096,-3.203125,-3.28125,-2.65625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429801,-0.024169922,-1.0271606,-0.003479004,-0.734375,-9.5625,-1.9375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429841,-0.01928711,-0.99786377,-0.035949707,-1.71875,6.71875,2.84375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429881,-0.030273438,-1.008606,-0.07720947,-0.265625,3.59375,0.53125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429921,-0.032714844,-0.99420166,-0.04083252,-1.03125,-3.203125,1.96875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642429961,-0.02734375,-1.0288696,-0.014709473,5.1875,13.546875,3.046875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430001,-0.040771484,-1.0271606,-0.030578613,11.46875,11.3125,1.9375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430041,-0.053466797,-0.97784424,-0.06524658,5.953125,-4.71875,0.453125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430081,-0.017578125,-0.99884033,-0.09844971,-4.703125,1.53125,0.96875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430121,-0.031982422,-0.99591064,-0.051818848,-3.90625,-0.6875,-0.65625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430161,-0.038330078,-0.9949341,-0.059387207,-1.015625,-2.5625,-0.921875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430201,-0.01977539,-0.940979,-0.062561035,-0.90625,-2.09375,0.6875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430241,-0.029296875,-0.9819946,-0.062805176,2.375,-4.34375,-2.75,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430281,-0.016113281,-0.9973755,-0.030578613,-1.328125,-4.546875,-1.515625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430321,-0.029052734,-1.010315,-0.05621338,-3.5,1.4375,0.265625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430361,-0.028076172,-1.0159302,-0.035217285,-4.109375,1.984375,0.625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430401,-0.0034179688,-1.0037231,-0.07232666,-3.453125,8.6875,1.921875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430441,-0.032714844,-1.0215454,-0.09185791,6.8125,9.796875,2.8125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430481,-0.023925781,-1.0283813,-0.07891846,10.328125,9.75,2.0625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430521,-0.068847656,-0.9937134,-0.059143066,4.59375,-0.6875,-0.1875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430561,-0.009277344,-0.9807739,-0.05670166,-1.859375,1.125,1.25,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430601,-0.02758789,-0.9812622,-0.081604004,-4.546875,1.515625,0.6875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430641,-0.013427734,-0.986145,-0.049865723,-3.546875,-0.984375,0.53125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430681,-0.00390625,-0.96832275,-0.07989502,-2.15625,-0.359375,-0.125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430721,-0.009277344,-0.9570923,-0.06915283,-5.6875,-3.46875,-2.078125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430761,-0.016601562,-0.9741821,-0.07989502,-5.546875,-3.984375,-2.1875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430801,-0.040771484,-1.0261841,-0.028869629,-5.140625,-4.40625,-0.578125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430841,-0.022949219,-1.0012817,-0.049621582,-7.90625,2.328125,2.078125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430881,-0.044677734,-1.019104,-0.058654785,-5.5625,1.3125,2.078125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430921,-0.036865234,-1.0159302,0.006286621,2.71875,7.171875,2.984375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642430961,-0.01586914,-1.0151978,-0.006652832,8.171875,11.03125,2.46875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431001,-0.03100586,-0.9776001,-0.0335083,7.40625,-1.859375,1.484375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431041,-0.03491211,-0.9990845,-0.054016113,0.1875,1.734375,1.90625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431081,-0.016357422,-0.9907837,-0.05303955,-2.140625,-2.296875,0.53125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431121,-0.014892578,-0.98443604,-0.024963379,-1.734375,-5.890625,0.421875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431161,-0.037353516,-0.9944458,-0.06793213,-5.0,-2.078125,-1.765625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431201,-0.0087890625,-0.9495239,-0.058654785,-4.21875,-3.34375,0.46875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431241,-0.025634766,-1.0198364,-0.015686035,-6.625,-0.484375,0.171875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431281,-0.005126953,-1.003479,-0.03375244,-7.609375,0.53125,1.828125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431321,-0.010253906,-1.0108032,-0.012756348,-7.671875,2.453125,1.96875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431361,-0.028320312,-1.019104,0.0099487305,-0.90625,4.046875,2.203125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431401,0.018066406,-1.0178833,-0.007385254,6.328125,9.875,2.71875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431441,-0.043701172,-1.0083618,-0.018371582,11.921875,-1.09375,-0.28125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431481,-0.02709961,-0.9973755,-0.04058838,1.1875,-2.6875,0.40625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431521,-0.025634766,-0.9998169,-0.034484863,-2.796875,-0.078125,0.296875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431561,-0.020019531,-1.0083618,-0.023010254,1.1875,-1.375,0.34375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431601,-0.0087890625,-0.9873657,-0.062072754,-2.234375,-2.875,-1.171875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431641,0.0126953125,-0.9710083,-0.08917236,-5.453125,1.4375,-1.125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431681,-0.047607422,-0.9741821,-0.02154541,-11.046875,3.078125,-0.375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431721,0.0043945312,-1.0093384,-0.02178955,-7.875,-1.765625,-0.9375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431761,0.013916016,-1.0108032,0.0099487305,-5.640625,3.03125,2.21875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431801,-0.025634766,-1.017395,-0.0076293945,-2.3125,6.078125,1.25,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431841,-0.008544922,-1.0027466,-0.016418457,-0.921875,3.59375,1.171875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431881,-0.011474609,-1.0237427,-0.0020141602,8.734375,9.09375,2.28125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431921,0.020996094,-1.0169067,0.020202637,13.828125,7.90625,0.75,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642431961,-0.046142578,-0.9939575,-0.0076293945,10.125,-4.828125,-0.546875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432001,0.0,-0.9837036,-0.04107666,-6.25,0.125,0.765625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432041,-0.028320312,-0.9968872,-0.03302002,-1.484375,-3.375,0.125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432081,0.0075683594,-0.9937134,-0.038635254,-1.28125,-1.75,0.625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432121,0.0061035156,-0.98272705,-0.08331299,-2.15625,-0.453125,-0.328125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432161,-0.0021972656,-0.95977783,-0.06768799,-3.625,-2.734375,0.125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432201,0.01171875,-1.0166626,0.049743652,-1.765625,-0.421875,0.328125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432241,0.009277344,-0.9944458,-0.105041504,-5.546875,2.921875,0.328125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432281,-0.013183594,-1.0081177,-0.00079345703,-5.140625,0.109375,2.109375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432321,-0.0107421875,-1.0108032,-0.016906738,-0.625,4.640625,1.875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432361,0.005859375,-1.02594,-0.0134887695,6.6875,6.65625,1.78125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432401,0.021972656,-1.0054321,-0.024963379,9.625,5.828125,0.828125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432441,-0.025878906,-1.0110474,-0.022521973,3.96875,-2.75,-0.75,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432481,-0.009277344,-0.99005127,-0.009094238,-2.65625,-0.1875,0.765625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432521,-0.024169922,-0.99664307,-0.026916504,2.15625,-2.671875,0.40625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432561,0.010253906,-0.9846802,-0.06768799,-1.5625,-0.265625,1.25,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432601,-0.0061035156,-0.99176025,-0.035461426,-3.828125,-2.078125,-0.46875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432641,0.0009765625,-0.96051025,-0.07720947,-2.03125,-2.359375,0.453125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432681,0.009277344,-1.0125122,-0.06304932,2.125,2.046875,-1.03125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432721,0.005859375,-1.0054321,0.00970459,3.734375,-0.546875,2.3125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432761,-0.0107421875,-0.99542236,-0.07525635,5.359375,4.5,0.046875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432801,0.0041503906,-0.98883057,-0.06304932,6.453125,0.34375,1.859375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432841,0.0021972656,-1.010315,-0.024475098,10.984375,4.390625,1.765625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432881,0.026855469,-1.0181274,-0.09234619,10.5,0.53125,0.078125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432921,-0.052734375,-1.0112915,-0.07208252,3.46875,-5.40625,-0.734375,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642432961,-0.021240234,-0.9956665,-0.0803833,3.078125,-2.578125,-3.203125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642433001,-0.02709961,-0.97784424,-0.0869751,-1.1875,-3.53125,-2.46875,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642433041,0.0075683594,-0.97662354,-0.11505127,-0.984375,-2.578125,0.203125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642433081,-0.0034179688,-0.9841919,-0.10357666,-1.78125,-2.390625,-0.390625,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
1695642433121,0.01171875,-0.97247314,-0.13531494,-4.09375,1.28125,-1.203125,Respeck,Standing,s1975761,,Respeck_s1975761_Standing_25-09-2023_12-47-49
