,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695952057391,0.50390625,-0.13702393,0.8969116,0.0625,-1.140625,-0.1875,0
1,1695952057431,0.4958496,-0.13482666,0.9064331,0.53125,-1.328125,-0.171875,1
2,1695952057471,0.49487305,-0.14361572,0.88568115,-0.234375,-2.25,-0.46875,2
3,1695952057511,0.49169922,-0.13116455,0.87249756,-1.078125,-2.25,-0.65625,3
4,1695952057551,0.4880371,-0.1260376,0.8895874,-0.25,-1.046875,-0.390625,4
5,1695952057591,0.49267578,-0.12750244,0.9088745,0.90625,-2.8125,0.28125,5
6,1695952057631,0.49291992,-0.11651611,1.0314331,0.40625,-13.875,2.296875,6
7,1695952057671,0.4621582,-0.15289307,0.88397217,-9.953125,-7.328125,6.6875,7
8,1695952057711,0.4399414,-0.11383057,0.7157593,-15.359375,7.4375,3.578125,8
9,1695952057751,0.5144043,-0.051574707,0.88201904,5.921875,4.25,-3.140625,9
10,1695952057791,0.51171875,-0.089904785,0.8707886,2.921875,3.546875,-2.921875,10
11,1695952057831,0.517334,-0.120666504,0.92523193,4.109375,1.59375,2.0625,11
12,1695952057871,0.45898438,-0.15435791,0.94158936,-0.15625,-4.328125,4.015625,12
13,1695952057911,0.4267578,-0.097961426,0.9052124,3.828125,2.28125,2.703125,13
14,1695952057951,0.48120117,-0.10406494,0.92767334,10.578125,5.359375,0.53125,14
15,1695952057991,0.54052734,-0.15533447,0.8930054,6.265625,2.25,-1.8125,15
16,1695952058031,0.5498047,-0.12042236,0.8383179,-0.421875,1.390625,-0.59375,16
17,1695952058071,0.51293945,-0.09063721,0.8522339,4.0,4.84375,0.765625,17
18,1695952058111,0.5258789,-0.1560669,0.87957764,5.71875,3.609375,0.484375,18
19,1695952058151,0.5332031,-0.20904541,0.8734741,1.71875,0.28125,1.109375,19
20,1695952058191,0.52197266,-0.16607666,0.8986206,-2.453125,-3.203125,2.78125,20
21,1695952058231,0.49536133,-0.089904785,0.9310913,-3.359375,-8.328125,4.140625,21
22,1695952058271,0.4477539,-0.08770752,0.79486084,-7.8125,-5.15625,4.796875,22
23,1695952058311,0.5126953,-0.08135986,0.79315186,-1.359375,9.65625,1.71875,23
24,1695952058351,0.60839844,-0.13604736,0.8859253,6.59375,7.4375,0.59375,24
25,1695952058391,0.5852051,-0.15509033,0.8991089,1.15625,-5.265625,0.671875,25
26,1695952058431,0.55810547,-0.13189697,0.8788452,-0.296875,-10.640625,-0.296875,26
27,1695952058471,0.5253906,-0.11651611,0.82440186,0.28125,-2.84375,-0.765625,27
28,1695952058511,0.52441406,-0.11187744,0.87298584,6.3125,-1.6875,-0.75,28
29,1695952058551,0.5202637,-0.14849854,0.88446045,2.171875,-2.15625,0.140625,29
30,1695952058591,0.52905273,-0.15484619,0.8739624,0.859375,-1.453125,0.1875,30
31,1695952058631,0.5222168,-0.13922119,0.87542725,2.6875,-3.140625,-0.5625,31
32,1695952058671,0.501709,-0.14508057,0.86834717,0.375,-2.15625,-1.46875,32
33,1695952058711,0.49487305,-0.13433838,0.85565186,0.171875,0.625,-1.234375,33
34,1695952058751,0.5019531,-0.14093018,0.88201904,2.515625,2.15625,-0.59375,34
35,1695952058791,0.51831055,-0.15289307,0.91278076,2.78125,-1.96875,-0.0625,35
36,1695952058831,0.50512695,-0.15655518,0.8925171,-0.0625,-4.8125,-0.546875,36
37,1695952058871,0.49780273,-0.15289307,0.8571167,-1.234375,-0.234375,-0.265625,37
38,1695952058911,0.5180664,-0.13946533,0.85491943,0.4375,3.953125,-0.171875,38
39,1695952058951,0.5307617,-0.1519165,0.89056396,1.4375,-0.140625,0.53125,39
40,1695952058991,0.5217285,-0.1609497,0.90374756,-0.4375,-5.515625,0.140625,40
41,1695952059031,0.50146484,-0.15533447,0.8781128,-2.546875,-2.609375,1.1875,41
42,1695952059071,0.5036621,-0.14776611,0.83099365,-3.9375,-0.1875,1.859375,42
43,1695952059111,0.51831055,-0.12213135,0.85858154,0.171875,1.03125,0.125,43
44,1695952059151,0.51782227,-0.1272583,0.8859253,2.015625,-4.234375,1.703125,44
45,1695952059191,0.52612305,-0.15362549,0.86102295,0.390625,-0.796875,3.109375,45
46,1695952059231,0.532959,-0.13873291,0.87493896,-1.671875,-0.921875,1.375,46
47,1695952059271,0.5048828,-0.14971924,0.9179077,-4.921875,-7.171875,-0.640625,47
48,1695952059311,0.49804688,-0.12823486,0.8410034,-7.453125,0.0,-2.140625,48
49,1695952059351,0.5246582,-0.11920166,0.87298584,-0.484375,1.1875,-0.75,49
50,1695952059391,0.5214844,-0.10626221,0.888855,0.953125,-0.890625,-0.421875,50
51,1695952059431,0.51660156,-0.11993408,0.8817749,2.4375,-1.609375,-0.3125,51
52,1695952059471,0.52319336,-0.1651001,0.8866577,1.34375,-0.671875,-2.25,52
53,1695952059511,0.5251465,-0.17120361,0.90545654,-0.953125,1.796875,-5.125,53
54,1695952059551,0.4975586,-0.14996338,0.9154663,-0.984375,-7.234375,-4.203125,54
55,1695952059591,0.52685547,-0.12432861,0.86346436,-3.453125,-5.265625,-1.953125,55
56,1695952059631,0.47851562,-0.08868408,0.8456421,3.1875,9.6875,0.484375,56
57,1695952059671,0.48413086,-0.14093018,0.87786865,6.640625,1.34375,-1.515625,57
58,1695952059711,0.5246582,-0.16217041,0.8668823,-0.25,1.046875,-2.734375,58
59,1695952059751,0.55078125,-0.17266846,0.8800659,2.375,2.5625,-2.0,59
60,1695952059791,0.5437012,-0.17974854,0.8744507,0.890625,-2.25,-1.109375,60
61,1695952059831,0.51220703,-0.1326294,0.8695679,-2.609375,-4.265625,-1.296875,61
