timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,subject_id,recording_id
1695300627012,-0.9421387,-0.15875244,-0.3418579,-0.46875,0.359375,-0.125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627052,-0.9404297,-0.15826416,-0.34454346,0.0625,1.09375,-0.46875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627092,-0.94628906,-0.14776611,-0.33306885,0.25,-0.0625,-0.5,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627132,-0.9501953,-0.15802002,-0.34576416,-1.734375,0.15625,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627172,-0.95092773,-0.15362549,-0.34625244,-1.6875,0.140625,-0.046875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627212,-0.9433594,-0.15582275,-0.34259033,-0.21875,0.890625,-0.171875,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627252,-0.9506836,-0.15386963,-0.3418579,-2.15625,0.453125,-0.40625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627292,-0.9460449,-0.14849854,-0.3418579,-0.96875,0.375,-0.40625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627332,-0.939209,-0.16461182,-0.34014893,-1.359375,1.390625,0.28125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627372,-0.9477539,-0.1531372,-0.3411255,-0.75,1.5625,0.0,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627412,-0.9472656,-0.16558838,-0.33746338,-0.53125,1.421875,-0.15625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627452,-0.9394531,-0.16070557,-0.33087158,-0.234375,0.703125,-0.375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627492,-0.94311523,-0.16827393,-0.3255005,-0.03125,0.640625,-0.53125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627532,-0.94873047,-0.15509033,-0.33917236,-0.6875,0.359375,-0.234375,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627572,-0.95751953,-0.159729,-0.33551025,-0.59375,0.46875,-0.203125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627612,-0.95092773,-0.15216064,-0.33502197,-0.21875,0.875,-0.140625,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
1695300627652,-0.9458008,-0.14801025,-0.33135986,-0.59375,0.375,-0.203125,Respeck,Lying down on left,s2016022,Respeck_s2016022_Lying_down_on_left_Normal_unprocessed_21-09-2023_13-51-02
