# Sensor type: Thingy
# Activity type: Standing
# Activity subtype: Normal
# Subject id: s2026670
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695305378945,-1.0009766,-0.09082031,0.08105469,1.34375,0.15625,-0.40625,0.0,0.0,0.0
1695305378987,-0.99609375,-0.087890625,0.08203125,0.96875,-0.28125,-0.40625,0.0,0.0,0.0
1695305379030,-0.9970703,-0.0859375,0.095703125,0.46875,-0.40625,-0.59375,0.0,0.0,0.0
1695305379072,-0.9921875,-0.08300781,0.08984375,0.125,-0.40625,-0.53125,0.0,0.0,0.0
1695305379114,-0.9824219,-0.099609375,0.08105469,0.0625,0.28125,-0.53125,-62.5625,-6.125,-70.6875
1695305379156,-1.0,-0.10449219,0.08691406,0.59375,0.75,-0.34375,0.0,0.0,0.0
1695305379200,-0.9921875,-0.10449219,0.064453125,1.625,0.40625,-0.40625,0.0,0.0,0.0
1695305379241,-1.0019531,-0.09472656,0.08496094,2.25,-0.21875,-0.84375,0.0,0.0,0.0
1695305379286,-0.99609375,-0.078125,0.08105469,2.375,-0.84375,-0.34375,0.0,0.0,0.0
1695305379307,-0.99902344,-0.08203125,0.080078125,0.84375,-0.46875,-0.28125,0.0,0.0,0.0
1695305379347,-0.9970703,-0.08203125,0.08984375,-1.0,-0.40625,-0.21875,0.0,0.0,0.0
1695305379392,-0.99316406,-0.080078125,0.08300781,-1.59375,-0.78125,-0.03125,0.0,0.0,0.0
1695305379435,-0.9970703,-0.091796875,0.078125,-2.75,-0.71875,-0.34375,0.0,0.0,0.0
1695305379476,-0.9902344,-0.10839844,0.08105469,-2.5,-0.84375,-0.09375,0.0,0.0,0.0
1695305379539,-0.9980469,-0.10546875,0.076171875,-1.09375,-0.46875,-0.21875,0.0,0.0,0.0
1695305379560,-0.9824219,-0.10546875,0.09375,-0.5,-0.53125,-0.21875,0.0,0.0,0.0
1695305379604,-0.9951172,-0.10058594,0.07714844,0.40625,-0.40625,-0.21875,-63.0,-6.875,-71.4375
1695305379625,-0.9941406,-0.09472656,0.08203125,1.21875,-0.21875,-0.15625,0.0,0.0,0.0
1695305379667,-0.9863281,-0.08984375,0.08300781,2.1875,0.21875,-0.09375,0.0,0.0,0.0
1695305379710,-0.9970703,-0.09667969,0.08300781,2.1875,0.40625,-0.28125,0.0,0.0,0.0
1695305379753,-0.9902344,-0.099609375,0.0859375,2.625,-0.03125,-0.15625,0.0,0.0,0.0
1695305379794,-0.9970703,-0.09863281,0.08300781,3.28125,-0.40625,-0.53125,0.0,0.0,0.0
1695305379838,-0.9951172,-0.08691406,0.09375,2.6875,-0.875,-0.46875,0.0,0.0,0.0
1695305379901,-0.99316406,-0.08984375,0.08300781,1.75,-0.65625,-0.28125,0.0,0.0,0.0
1695305379922,-0.9921875,-0.08691406,0.08691406,0.90625,-0.53125,-0.15625,0.0,0.0,0.0
1695305379946,-1.0058594,-0.080078125,0.08496094,0.0625,-0.78125,-0.09375,0.0,0.0,0.0
