timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696157888924,0.90185547,-0.094055176,0.4706421,3.796875,-2.796875,-1.9375
1696157888964,0.87353516,-0.061340332,0.54901123,0.0,-7.390625,-1.953125
1696157889004,0.8498535,-0.0803833,0.43597412,-2.796875,3.484375,1.34375
1696157889044,0.88134766,-0.10357666,0.50042725,0.515625,-2.984375,-0.1875
1696157889084,0.9133301,-0.12652588,0.51312256,-14.296875,-18.578125,1.390625
1696157889124,0.828125,-0.027160645,0.5158081,-11.546875,-7.5,1.609375
1696157889164,0.8432617,-0.009338379,0.4899292,-5.6875,-2.59375,0.96875
1696157889204,0.86621094,-0.07672119,0.51727295,-0.234375,3.125,0.984375
1696157889244,0.84106445,-0.06304932,0.4935913,-8.015625,-6.890625,1.765625
1696157889284,0.85180664,-0.043273926,0.44281006,-9.390625,-12.734375,2.296875
1696157889324,0.8112793,-0.0049438477,0.56292725,0.359375,-1.015625,-1.859375
1696157889364,0.81103516,-0.02520752,0.4743042,6.859375,5.390625,-1.890625
1696157889404,0.8898926,-0.11260986,0.5023804,-2.421875,4.34375,1.640625
1696157889444,0.87109375,-0.039855957,0.4586792,-5.921875,-8.0625,0.109375
1696157889484,0.83740234,-0.018127441,0.51898193,-1.0625,-1.078125,0.25
1696157889524,0.8894043,-0.06915283,0.5709839,2.4375,5.265625,0.03125
1696157889564,0.78564453,0.0036010742,0.46844482,-3.84375,-1.375,2.59375
1696157889604,0.8691406,-0.0037231445,0.4557495,13.40625,17.578125,-2.359375
1696157889644,0.8894043,-0.004699707,0.4171753,-8.28125,-9.671875,0.0625
1696157889684,0.8273926,-0.020568848,0.57562256,0.390625,0.46875,-0.734375
1696157889724,0.85668945,-0.10992432,0.5890503,6.625,-0.953125,-1.515625
1696157889764,0.8359375,-0.042297363,0.46966553,-12.546875,-12.640625,2.46875
1696157889804,0.8195801,-0.018859863,0.50286865,-4.984375,-11.828125,-0.546875
1696157889844,0.8322754,-0.06378174,0.4882202,-1.4375,-12.828125,-0.5
1696157889884,0.77905273,-0.03741455,0.5223999,7.296875,11.125,-3.34375
1696157889924,0.8522949,-0.11578369,0.52801514,-9.265625,-19.765625,-1.328125
1696157889964,0.80444336,-0.093811035,0.48651123,-16.28125,-16.390625,-1.296875
1696157890004,0.7922363,-0.04156494,0.5421753,0.3125,-3.359375,-0.640625
1696157890044,0.7915039,-0.0635376,0.5675659,-3.75,-1.515625,-0.15625
1696157890084,0.8413086,-0.06744385,0.5463257,13.453125,14.453125,0.5
1696157890124,0.7788086,-0.042541504,0.54364014,-3.859375,9.796875,1.421875
1696157890164,0.8713379,-0.0635376,0.5560913,-1.515625,2.28125,0.390625
1696157890204,0.8601074,-0.051818848,0.4713745,-2.53125,11.171875,0.71875
1696157890244,0.89086914,-0.0713501,0.5001831,3.46875,8.5,0.96875
1696157890284,0.8449707,-0.050109863,0.47210693,1.703125,13.21875,1.734375
