timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1696104736310,0.036132812,0.7294922,-0.70410156,-0.21875,-0.03125,0.0625,0.0,0.0,0.0
1696104736350,0.0390625,0.72558594,-0.70410156,-0.03125,0.03125,0.0625,0.0,0.0,0.0
1696104736390,0.038085938,0.7294922,-0.6953125,0.03125,-0.09375,-0.0625,0.0,0.0,0.0
1696104736430,0.04296875,0.7207031,-0.69433594,0.1875,0.09375,-0.1875,0.0,0.0,0.0
1696104736470,0.03125,0.72265625,-0.7050781,0.25,0.5,0.0625,0.0,0.0,0.0
1696104736510,0.036132812,0.73046875,-0.70703125,0.0625,0.5625,0.34375,0.0,0.0,0.0
1696104736550,0.037109375,0.7285156,-0.70410156,0.03125,0.3125,0.15625,0.0,0.0,0.0
1696104736590,0.029296875,0.7285156,-0.6972656,-0.03125,0.09375,0.0,0.0,0.0,0.0
1696104736630,0.030273438,0.7158203,-0.6933594,-0.03125,-0.15625,-0.125,0.0,0.0,0.0
1696104736670,0.032226562,0.7314453,-0.6933594,-0.03125,-0.03125,-0.125,0.0,0.0,0.0
1696104736710,0.029296875,0.72753906,-0.6875,-0.09375,-0.03125,0.0,0.0,0.0,0.0
1696104736750,0.033203125,0.71777344,-0.69628906,0.03125,0.1875,0.0625,0.0,0.0,0.0
1696104736790,0.037109375,0.73046875,-0.68847656,-0.03125,0.15625,0.15625,0.0,0.0,0.0
1696104736830,0.026367188,0.7158203,-0.69628906,-0.03125,0.09375,0.125,0.0,0.0,0.0
1696104736870,0.0390625,0.73046875,-0.7138672,0.125,0.09375,0.0625,0.0,0.0,0.0
1696104736910,0.041015625,0.7236328,-0.6953125,0.1875,0.09375,0.0,0.0,0.0,0.0
1696104736950,0.03515625,0.7265625,-0.70996094,0.25,-0.09375,-0.1875,0.0,0.0,0.0
1696104736990,0.036132812,0.7167969,-0.6923828,0.03125,0.09375,0.0625,0.0,0.0,0.0
1696104737030,0.036132812,0.72753906,-0.68652344,0.03125,0.1875,0.0625,0.0,0.0,0.0
1696104737070,0.024414062,0.72265625,-0.68847656,-0.21875,0.09375,0.125,0.0,0.0,0.0
1696104737110,0.03515625,0.72558594,-0.7050781,-0.09375,0.03125,0.0625,0.0,0.0,0.0
1696104737150,0.03125,0.7236328,-0.6982422,-0.21875,-0.09375,0.15625,0.0,0.0,0.0
1696104737190,0.038085938,0.71972656,-0.6953125,-0.09375,-0.28125,-0.0625,0.0,0.0,0.0
1696104737230,0.034179688,0.72558594,-0.7011719,-0.03125,-0.09375,-0.0625,0.0,0.0,0.0
1696104737270,0.033203125,0.7236328,-0.6982422,0.0625,0.09375,0.0625,0.0,0.0,0.0
1696104737310,0.044921875,0.72265625,-0.70703125,-0.03125,0.09375,0.125,0.0,0.0,0.0
1696104737350,0.040039062,0.7285156,-0.7109375,-0.15625,0.03125,0.0625,0.0,0.0,0.0
1696104737390,0.044921875,0.73046875,-0.70214844,-0.15625,0.09375,0.21875,0.0,0.0,0.0
1696104737430,0.0390625,0.7207031,-0.7001953,-0.21875,-0.09375,0.0625,0.0,0.0,0.0
1696104737470,0.030273438,0.7246094,-0.68847656,-0.28125,-0.28125,-0.0625,0.0,0.0,0.0
