timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
1695400693268,-0.9453125,-0.16699219,-0.24121094,1.09375,0.125,-0.09375,0.0,0.0,0.0,0
1695400693308,-0.9589844,-0.16699219,-0.23339844,-1.21875,-0.21875,0.0625,0.0,0.0,0.0,1
1695400693348,-0.9609375,-0.17773438,-0.23730469,-0.71875,1.53125,0.0625,0.0,0.0,0.0,2
1695400693388,-0.9580078,-0.18652344,-0.22265625,0.0,1.46875,0.0625,0.0,0.0,0.0,3
1695400693428,-0.96484375,-0.17675781,-0.2265625,-0.3125,-1.21875,-0.53125,0.0,0.0,0.0,4
1695400693468,-0.9560547,-0.16503906,-0.25683594,0.5625,-1.34375,-0.46875,0.0,0.0,0.0,5
1695400693508,-0.94921875,-0.16699219,-0.24609375,0.5625,1.40625,0.25,0.0,0.0,0.0,6
1695400693548,-0.94921875,-0.1875,-0.2265625,-0.25,1.0,0.25,0.0,0.0,0.0,7
1695400693588,-0.95703125,-0.18066406,-0.25,1.34375,-0.09375,-0.28125,0.0,0.0,0.0,8
1695400693628,-0.9589844,-0.16699219,-0.23632812,0.25,0.1875,-0.40625,0.0,0.0,0.0,9
1695400693668,-0.953125,-0.17675781,-0.24414062,1.03125,0.375,0.125,0.0,0.0,0.0,10
1695400693708,-0.94433594,-0.16601562,-0.24023438,1.09375,0.1875,0.0,-70.5,-1.1875,-28.5625,11
1695400693748,-0.9453125,-0.18164062,-0.2548828,1.03125,0.0625,-0.0625,0.0,0.0,0.0,12
1695400693788,-0.9550781,-0.17773438,-0.24707031,0.1875,1.0,0.3125,0.0,0.0,0.0,13
1695400693828,-0.9580078,-0.17089844,-0.23925781,0.25,0.3125,0.1875,0.0,0.0,0.0,14
1695400693868,-0.9580078,-0.16699219,-0.24414062,0.3125,-0.46875,-0.0625,0.0,0.0,0.0,15
1695400693908,-0.9472656,-0.16699219,-0.23925781,1.28125,-0.28125,0.25,0.0,0.0,0.0,16
1695400693948,-0.9433594,-0.17382812,-0.25195312,0.5,0.375,0.5625,0.0,0.0,0.0,17
1695400693988,-0.93847656,-0.18066406,-0.24804688,0.6875,0.25,0.125,0.0,0.0,0.0,18
1695400694028,-0.95996094,-0.17285156,-0.24023438,0.5,-0.53125,0.0625,0.0,0.0,0.0,19
1695400694068,-0.95996094,-0.16894531,-0.2529297,0.0,-0.34375,0.875,0.0,0.0,0.0,20
1695400694108,-0.96191406,-0.1796875,-0.24707031,-0.125,-0.53125,0.625,0.0,0.0,0.0,21
1695400694148,-0.94628906,-0.16503906,-0.23828125,-0.40625,-0.78125,0.3125,0.0,0.0,0.0,22
1695400694188,-0.9433594,-0.18164062,-0.24707031,1.03125,-0.53125,0.375,-69.875,-2.1875,-25.875,23
1695400694228,-0.9375,-0.18066406,-0.23925781,0.25,0.25,0.125,0.0,0.0,0.0,24
1695400694268,-0.95214844,-0.16796875,-0.22753906,-0.53125,-0.53125,0.0,0.0,0.0,0.0,25
1695400694308,-0.9501953,-0.16113281,-0.23925781,0.25,-0.96875,0.375,0.0,0.0,0.0,26
1695400694348,-0.95410156,-0.16894531,-0.23535156,0.75,0.5,0.8125,0.0,0.0,0.0,27
1695400694388,-0.9501953,-0.18066406,-0.23535156,1.21875,1.46875,0.5625,0.0,0.0,0.0,28
1695400694428,-0.94628906,-0.1796875,-0.23144531,0.875,-1.21875,-0.65625,0.0,0.0,0.0,29
1695400694468,-0.9511719,-0.16210938,-0.25390625,1.34375,-1.625,-0.78125,0.0,0.0,0.0,30
