timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1696268519848,-0.17236328,-0.98028564,0.15716553,0.078125,-0.75,-0.65625,0
1696268519888,-0.18774414,-0.99005127,0.16033936,0.59375,-0.046875,-0.03125,1
1696268519928,-0.18457031,-0.9963989,0.1552124,0.515625,-0.53125,0.5625,2
1696268519968,-0.18261719,-0.99346924,0.15863037,0.484375,-0.4375,0.421875,3
1696268520008,-0.18017578,-0.98760986,0.15667725,0.203125,-0.234375,-0.046875,4
1696268520048,-0.18237305,-0.9961548,0.15081787,0.359375,-0.515625,-0.046875,5
1696268520088,-0.18164062,-0.9920044,0.15740967,1.1875,-0.09375,0.28125,6
1696268520128,-0.18041992,-0.9927368,0.1515503,0.359375,-0.421875,-0.015625,7
1696268520168,-0.18579102,-0.9924927,0.15301514,0.390625,-1.125,-0.1875,8
1696268520208,-0.17993164,-0.9956665,0.16351318,1.078125,-0.0625,-0.171875,9
1696268520248,-0.17626953,-0.9915161,0.15057373,1.0,-0.640625,-0.109375,10
1696268520288,-0.17675781,-0.98931885,0.15423584,-0.34375,-0.296875,0.046875,11
1696268520328,-0.18139648,-0.991272,0.15374756,0.125,-1.09375,-0.28125,12
1696268520368,-0.18334961,-1.0056763,0.17059326,1.5625,-0.53125,0.046875,13
1696268520408,-0.17749023,-0.9883423,0.14959717,-0.0625,-0.140625,-0.359375,14
1696268520448,-0.1772461,-0.9837036,0.15301514,0.4375,-1.359375,-0.484375,15
1696268520488,-0.18920898,-0.9898071,0.16107178,0.71875,-0.59375,0.234375,16
1696268520528,-0.18823242,-0.9902954,0.15789795,-0.375,-0.96875,-0.34375,17
1696268520568,-0.18115234,-0.99298096,0.15203857,0.09375,-1.1875,-0.453125,18
1696268520608,-0.18334961,-0.9854126,0.16522217,0.0,-1.015625,-0.53125,19
1696268520648,-0.18945312,-0.9829712,0.15423584,-0.203125,-1.125,-0.359375,20
1696268520688,-0.19067383,-0.9963989,0.16082764,0.71875,-1.328125,-0.09375,21
1696268520728,-0.18701172,-0.99298096,0.15545654,0.40625,-1.0625,-0.375,22
1696268520768,-0.18579102,-0.98687744,0.16278076,0.171875,-0.5625,-0.109375,23
1696268520808,-0.19042969,-0.9768677,0.16644287,0.546875,-0.765625,0.15625,24
1696268520848,-0.18237305,-0.99224854,0.16864014,0.640625,-0.5,-0.125,25
