timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
1695671915471,-0.1328125,0.1640625,-0.96972656,0.1875,-0.21875,0.34375,0.0,0.0,0.0,196
1695671915511,-0.13378906,0.16699219,-0.9863281,-0.0625,-0.09375,0.28125,3.3125,-13.1875,-119.0,197
1695671915551,-0.13574219,0.15820312,-0.9736328,-0.0625,-0.03125,0.28125,0.0,0.0,0.0,198
1695671915591,-0.13378906,0.1640625,-0.99121094,0.125,0.15625,0.40625,0.0,0.0,0.0,199
1695671915631,-0.14355469,0.16503906,-0.96972656,0.0,0.34375,0.4375,0.0,0.0,0.0,200
1695671915671,-0.12011719,0.16699219,-0.9951172,0.125,0.28125,0.40625,0.0,0.0,0.0,201
1695671915711,-0.1328125,0.16601562,-0.97753906,0.1875,0.21875,0.34375,0.0,0.0,0.0,202
1695671915751,-0.13867188,0.17382812,-0.9863281,0.375,-0.03125,0.28125,0.0,0.0,0.0,203
1695671915791,-0.13867188,0.17089844,-0.9863281,0.25,-0.15625,0.28125,0.0,0.0,0.0,204
1695671915831,-0.12597656,0.1640625,-0.9951172,0.0,-0.15625,0.34375,0.0,0.0,0.0,205
1695671915871,-0.12988281,0.16601562,-1.0,0.125,0.15625,0.34375,0.0,0.0,0.0,206
1695671915911,-0.13574219,0.16210938,-0.98046875,0.125,0.03125,0.28125,0.0,0.0,0.0,207
1695671915951,-0.13769531,0.1640625,-0.9921875,0.25,0.03125,0.21875,0.0,0.0,0.0,208
1695671915991,-0.12988281,0.16210938,-0.9902344,0.1875,0.15625,0.28125,4.8125,-13.1875,-120.8125,209
1695671916031,-0.13769531,0.15625,-0.9941406,0.1875,0.40625,0.34375,0.0,0.0,0.0,210
1695671916071,-0.12988281,0.16210938,-0.99121094,0.375,-0.09375,0.21875,0.0,0.0,0.0,211
1695671916111,-0.13769531,0.16210938,-0.9873047,0.5625,-0.28125,0.15625,0.0,0.0,0.0,212
1695671916151,-0.12988281,0.16308594,-0.984375,0.5625,-0.21875,0.15625,0.0,0.0,0.0,213
1695671916191,-0.14160156,0.15429688,-1.0058594,0.625,-0.15625,0.28125,0.0,0.0,0.0,214
1695671916231,-0.13671875,0.15722656,-0.97753906,0.3125,0.15625,0.21875,0.0,0.0,0.0,215
1695671916271,-0.13183594,0.16308594,-0.9921875,0.25,0.03125,0.21875,0.0,0.0,0.0,216
1695671916311,-0.1328125,0.15039062,-0.98339844,0.125,0.34375,0.34375,0.0,0.0,0.0,217
1695671916351,-0.12988281,0.16015625,-0.9785156,0.3125,0.8125,0.4375,0.0,0.0,0.0,218
1695671916391,-0.11816406,0.16113281,-0.9863281,0.4375,1.25,0.28125,0.0,0.0,0.0,219
1695671916431,-0.1328125,0.16113281,-0.9824219,0.625,0.75,0.4375,0.0,0.0,0.0,220
1695671916471,-0.13671875,0.16699219,-0.99316406,0.5,0.40625,0.21875,0.0,0.0,0.0,221
1695671916511,-0.13574219,0.1640625,-0.9921875,0.5,-0.15625,0.21875,4.9375,-12.5625,-120.5,222
1695671916551,-0.12597656,0.15039062,-0.9921875,0.3125,-0.40625,0.28125,0.0,0.0,0.0,223
1695671916591,-0.13671875,0.16308594,-0.98828125,0.375,-0.03125,0.21875,0.0,0.0,0.0,224
1695671916631,-0.13085938,0.16210938,-0.9736328,-0.1875,0.875,0.4375,0.0,0.0,0.0,225
1695671916671,-0.1328125,0.15429688,-0.99121094,0.25,-0.46875,0.28125,0.0,0.0,0.0,226
1695671916711,-0.13574219,0.16308594,-0.9892578,0.0,-0.34375,0.34375,0.0,0.0,0.0,227
1695671916751,-0.13183594,0.15625,-0.9794922,-0.1875,-0.21875,0.34375,0.0,0.0,0.0,228
1695671916791,-0.13671875,0.15722656,-0.9980469,-0.1875,-0.03125,-0.03125,0.0,0.0,0.0,229
1695671916831,-0.13574219,0.16113281,-0.9794922,-0.0625,-0.03125,-0.09375,0.0,0.0,0.0,230
1695671916871,-0.1328125,0.15722656,-0.9785156,-0.125,-0.09375,0.03125,0.0,0.0,0.0,231
1695671916911,-0.140625,0.15332031,-0.9707031,0.0625,0.03125,-0.03125,0.0,0.0,0.0,232
1695671916951,-0.13378906,0.15429688,-0.9794922,0.0625,-0.03125,0.09375,0.0,0.0,0.0,233
1695671916991,-0.13769531,0.15332031,-0.9814453,-0.0625,0.15625,0.03125,5.125,-12.4375,-120.375,234
1695671917031,-0.13476562,0.15917969,-0.9902344,-0.25,-0.40625,-0.03125,0.0,0.0,0.0,235
1695671917071,-0.125,0.15917969,-0.9921875,-0.625,-0.34375,0.03125,0.0,0.0,0.0,236
1695671917111,-0.14355469,0.16015625,-0.9863281,-0.625,-0.40625,0.03125,0.0,0.0,0.0,237
1695671917151,-0.12597656,0.15136719,-0.9794922,-0.5,-0.34375,0.03125,0.0,0.0,0.0,238
1695671917191,-0.13964844,0.16699219,-0.97753906,-0.6875,-0.46875,0.09375,0.0,0.0,0.0,239
1695671917231,-0.13867188,0.16308594,-0.9824219,-0.3125,-0.21875,-0.09375,0.0,0.0,0.0,240
1695671917271,-0.13671875,0.16210938,-0.98535156,-0.5625,-0.46875,-0.03125,0.0,0.0,0.0,241
1695671917311,-0.1328125,0.15820312,-0.99609375,-0.4375,-0.09375,0.03125,0.0,0.0,0.0,242
1695671917351,-0.13085938,0.16113281,-0.98339844,-0.6875,0.3125,0.15625,0.0,0.0,0.0,243
1695671917391,-0.12890625,0.14648438,-0.9736328,-0.3125,0.4375,0.15625,0.0,0.0,0.0,244
1695671917431,-0.13183594,0.16796875,-0.9794922,-0.25,0.03125,0.09375,0.0,0.0,0.0,245
1695671917471,-0.13476562,0.15917969,-1.0019531,-0.25,-0.28125,0.09375,0.0,0.0,0.0,246
1695671917511,-0.12890625,0.15917969,-1.0,0.0,-0.15625,-0.03125,4.625,-13.75,-120.1875,247
1695671917551,-0.1328125,0.15625,-0.9863281,0.0,-0.21875,0.09375,0.0,0.0,0.0,248
1695671917591,-0.14355469,0.15722656,-0.9921875,-0.125,0.03125,0.09375,0.0,0.0,0.0,249
1695671917631,-0.140625,0.16015625,-0.9814453,-0.1875,0.3125,0.15625,0.0,0.0,0.0,250
1695671917671,-0.13964844,0.14941406,-0.97558594,-0.5,-0.03125,0.21875,0.0,0.0,0.0,251
1695671917711,-0.1328125,0.15917969,-0.9814453,-0.4375,-0.09375,0.03125,0.0,0.0,0.0,252
1695671917751,-0.125,0.15429688,-0.9824219,-0.75,-0.21875,0.15625,0.0,0.0,0.0,253
1695671917791,-0.13769531,0.17089844,-0.9785156,-0.1875,-0.09375,0.03125,0.0,0.0,0.0,254
1695671917831,-0.13574219,0.16015625,-0.9873047,-0.3125,0.03125,0.15625,0.0,0.0,0.0,255
1695671917871,-0.14355469,0.15917969,-0.9863281,-0.1875,-0.03125,0.09375,0.0,0.0,0.0,256
1695671917911,-0.13671875,0.16113281,-0.9892578,-0.0625,0.03125,-0.09375,0.0,0.0,0.0,257
1695671917951,-0.13085938,0.15234375,-0.9873047,0.125,0.03125,-0.09375,0.0,0.0,0.0,258
1695671917991,-0.13378906,0.15332031,-0.9970703,0.3125,-0.40625,-0.09375,3.875,-12.25,-118.5625,259
1695671918031,-0.13867188,0.16308594,-1.0019531,-0.0625,0.09375,-0.03125,0.0,0.0,0.0,260
1695671918071,-0.1328125,0.15136719,-0.9873047,-0.0625,0.5,0.03125,0.0,0.0,0.0,261
1695671918111,-0.13085938,0.15917969,-0.9863281,-0.375,-0.09375,0.03125,0.0,0.0,0.0,262
1695671918151,-0.13671875,0.15917969,-0.9736328,-0.0625,-0.21875,-0.09375,0.0,0.0,0.0,263
1695671918191,-0.13671875,0.17089844,-0.9892578,-0.125,-0.15625,-0.03125,0.0,0.0,0.0,264
1695671918231,-0.12792969,0.15527344,-0.9863281,0.125,-0.46875,-0.03125,0.0,0.0,0.0,265
1695671918271,-0.1328125,0.16015625,-0.9921875,-0.3125,-0.28125,-0.15625,0.0,0.0,0.0,266
1695671918311,-0.14160156,0.16503906,-0.98339844,0.125,0.03125,-0.03125,0.0,0.0,0.0,267
1695671918351,-0.12988281,0.16308594,-0.9902344,-0.125,0.1875,0.09375,0.0,0.0,0.0,268
1695671918391,-0.1328125,0.15234375,-0.9863281,0.125,-0.15625,-0.03125,0.0,0.0,0.0,269
1695671918431,-0.13867188,0.15722656,-0.98828125,-0.3125,-0.21875,-0.15625,0.0,0.0,0.0,270
1695671918471,-0.13867188,0.1640625,-0.99609375,0.125,-0.15625,-0.09375,0.0,0.0,0.0,271
1695671918511,-0.123046875,0.15722656,-0.9863281,0.0625,-0.09375,-0.09375,3.875,-11.9375,-120.1875,272
1695671918551,-0.1328125,0.16601562,-0.99121094,-0.1875,-0.34375,-0.21875,0.0,0.0,0.0,273
1695671918591,-0.13085938,0.15917969,-0.9902344,-0.125,-0.09375,0.03125,0.0,0.0,0.0,274
1695671918631,-0.13085938,0.16210938,-0.99121094,0.125,0.03125,-0.03125,0.0,0.0,0.0,275
1695671918671,-0.13183594,0.15332031,-0.98535156,-0.1875,-0.09375,0.03125,0.0,0.0,0.0,276
1695671918711,-0.1328125,0.16699219,-0.99121094,0.0,0.03125,0.03125,0.0,0.0,0.0,277
1695671918751,-0.13867188,0.16015625,-0.9921875,-0.0625,0.09375,-0.15625,0.0,0.0,0.0,278
