# Sensor type: Thingy
# Activity type: Miscellaneous movements
# Activity subtype: Normal
# Subject id: s2030861
# Notes: spinning
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695653693795,-1.0615234,-0.0625,0.015625,23.125,1.75,-2.34375,0.0,0.0,0.0
1695653693822,-0.9560547,-0.119140625,0.01953125,37.875,-0.0625,0.28125,0.0,0.0,0.0
1695653693854,-0.9746094,-0.109375,-0.0048828125,41.65625,-0.5625,-3.6875,0.0,0.0,0.0
1695653693913,-0.98535156,-0.111328125,-0.07910156,64.625,13.21875,-9.84375,0.0,0.0,0.0
1695653693943,-1.0888672,0.047851562,-0.055664062,78.96875,15.4375,-15.03125,-37.8125,54.8125,-116.125
1695653693979,-1.0625,0.16015625,0.045898438,111.6875,24.46875,-5.4375,0.0,0.0,0.0
1695653694037,-1.0761719,0.16992188,-0.0234375,128.03125,17.1875,2.90625,0.0,0.0,0.0
1695653694064,-1.0136719,-0.091796875,-0.052734375,62.90625,0.90625,10.46875,0.0,0.0,0.0
1695653694094,-1.0224609,-0.10839844,-0.16210938,107.65625,2.96875,-1.40625,0.0,0.0,0.0
1695653694159,-1.0195312,-0.125,-0.26171875,65.34375,17.125,-9.0,0.0,0.0,0.0
1695653694184,-1.1132812,0.02734375,-0.15722656,28.625,37.59375,-2.34375,0.0,0.0,0.0
1695653694213,-1.2519531,-0.08496094,-0.018554688,63.15625,72.1875,3.09375,0.0,0.0,0.0
1695653694272,-1.0273438,0.21289062,-0.37890625,134.09375,157.40625,10.53125,0.0,0.0,0.0
1695653694304,-1.1074219,0.22167969,-0.12207031,284.59375,256.5625,21.96875,0.0,0.0,0.0
1695653694335,-1.0527344,-0.15039062,0.021484375,60.65625,149.75,12.875,0.0,0.0,0.0
1695653694393,-1.1435547,0.017578125,-0.23242188,116.75,103.0,57.40625,0.0,0.0,0.0
1695653694424,-0.9355469,0.028320312,-0.14257812,55.21875,50.21875,82.03125,-28.5,47.0,-144.625
