,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695383736999,0.4519043,-0.8291626,0.40081787,8.8125,12.703125,8.734375,0
1,1695383737039,0.39038086,-0.7529907,0.37078857,-0.328125,12.359375,8.140625,1
2,1695383737079,0.4267578,-0.7617798,0.39154053,0.078125,4.859375,2.96875,2
3,1695383737119,0.43359375,-0.7781372,0.35614014,1.453125,1.578125,0.546875,3
4,1695383737159,0.44140625,-0.7793579,0.35272217,3.984375,-4.140625,-0.046875,4
5,1695383737199,0.51660156,-0.862854,0.28826904,-6.296875,-10.296875,6.234375,5
6,1695383737239,0.39916992,-0.565979,0.59783936,11.734375,-32.65625,-0.921875,6
7,1695383737279,0.52001953,-0.8765259,0.44256592,-5.8125,-11.875,-9.46875,7
8,1695383737319,0.44921875,-0.8389282,0.434021,3.515625,3.796875,-2.0625,8
9,1695383737359,0.43530273,-0.817688,0.48724365,-1.640625,8.6875,-1.640625,9
10,1695383737399,0.4260254,-0.7962036,0.3312378,5.28125,-5.265625,-3.578125,10
11,1695383737439,0.39501953,-0.7588501,0.44354248,-5.03125,-8.953125,-5.515625,11
12,1695383737479,0.41674805,-0.77716064,0.44500732,6.140625,-4.609375,-1.5625,12
13,1695383737519,0.37963867,-0.8328247,0.32659912,0.046875,-11.5625,-3.0,13
14,1695383737559,0.44384766,-0.8123169,0.4389038,1.640625,-8.296875,-2.25,14
15,1695383737599,0.38745117,-0.8467407,0.4381714,1.640625,-0.625,0.53125,15
16,1695383737639,0.35302734,-0.7683716,0.44696045,-2.125,7.8125,0.75,16
17,1695383737679,0.39282227,-0.8167114,0.41864014,-2.125,4.265625,0.5,17
18,1695383737719,0.37768555,-0.8584595,0.4039917,-1.40625,-6.078125,2.421875,18
19,1695383737759,0.42163086,-0.8362427,0.42132568,-3.890625,-4.40625,1.8125,19
20,1695383737799,0.4609375,-0.80963135,0.3834839,-6.765625,-6.578125,-0.328125,20
21,1695383737839,0.42578125,-0.8110962,0.47821045,-5.875,-0.609375,-1.5,21
22,1695383737879,0.38208008,-0.75616455,0.4364624,-3.890625,7.8125,-2.203125,22
23,1695383737919,0.38745117,-0.7991333,0.40960693,-1.65625,-3.84375,-0.21875,23
24,1695383737959,0.4091797,-0.7893677,0.51434326,3.921875,-1.015625,0.140625,24
25,1695383737999,0.38916016,-0.786438,0.4315796,1.765625,-4.09375,1.8125,25
26,1695383738039,0.4140625,-0.8274536,0.47332764,-4.421875,-3.359375,2.0625,26
27,1695383738079,0.40600586,-0.7974243,0.43060303,-2.125,0.5625,2.546875,27
28,1695383738119,0.3708496,-0.7839966,0.4537964,-1.265625,2.375,-0.625,28
29,1695383738159,0.39672852,-0.7979126,0.46868896,-1.0625,1.984375,-4.890625,29
30,1695383738199,0.40942383,-0.8076782,0.4413452,2.265625,9.265625,-5.53125,30
31,1695383738239,0.42016602,-0.83184814,0.4725952,2.328125,16.453125,-2.515625,31
32,1695383738279,0.40576172,-0.8257446,0.40081787,3.5,8.25,3.296875,32
33,1695383738319,0.3959961,-0.84698486,0.38201904,0.5,9.75,5.359375,33
34,1695383738359,0.42285156,-0.817688,0.39422607,-0.34375,7.25,7.640625,34
35,1695383738399,0.45532227,-0.7822876,0.3829956,1.078125,8.84375,5.921875,35
36,1695383738439,0.4633789,-0.7996216,0.37420654,4.109375,8.34375,2.234375,36
37,1695383738479,0.44189453,-0.77545166,0.36346436,4.515625,3.09375,1.109375,37
38,1695383738519,0.4206543,-0.8687134,0.23968506,7.0,-11.75,4.953125,38
39,1695383738559,0.5678711,-0.66729736,0.38641357,-24.46875,-23.625,4.28125,39
40,1695383738599,0.39941406,-0.8303833,0.44207764,11.390625,-10.15625,-4.09375,40
41,1695383738639,0.46289062,-0.8452759,0.36810303,3.46875,-2.890625,-0.5625,41
42,1695383738679,0.47509766,-0.8960571,0.38909912,-10.109375,11.75,6.6875,42
43,1695383738719,0.40795898,-0.77667236,0.39715576,3.71875,8.765625,2.1875,43
44,1695383738759,0.39892578,-0.7000122,0.35247803,-0.078125,-2.8125,-2.03125,44
45,1695383738799,0.36645508,-0.68878174,0.4491577,-0.953125,-3.375,-5.21875,45
46,1695383738839,0.513916,-0.8362427,0.47576904,3.6875,-5.25,-7.703125,46
47,1695383738879,0.517334,-0.9002075,0.35394287,2.875,-6.203125,0.578125,47
48,1695383738919,0.47070312,-0.89019775,0.3307495,-4.65625,-8.9375,5.171875,48
49,1695383738959,0.43896484,-0.82232666,0.4159546,-1.046875,4.0625,3.0625,49
50,1695383738999,0.38085938,-0.65631104,0.36419678,1.234375,3.046875,-0.25,50
51,1695383739039,0.3774414,-0.7073364,0.3751831,-3.015625,-6.015625,-5.40625,51
52,1695383739079,0.49731445,-0.85479736,0.52093506,1.890625,-4.34375,-5.359375,52
53,1695383739119,0.4650879,-0.8596802,0.41156006,4.390625,-4.453125,-1.890625,53
54,1695383739159,0.4621582,-0.8899536,0.35198975,-6.015625,-7.375,7.109375,54
55,1695383739199,0.42822266,-0.8496704,0.4208374,-3.96875,4.5,5.15625,55
56,1695383739239,0.41015625,-0.6885376,0.35272217,0.359375,13.21875,0.28125,56
57,1695383739279,0.34399414,-0.74005127,0.2982788,2.140625,-6.671875,-2.109375,57
58,1695383739319,0.48413086,-0.83258057,0.56829834,-0.53125,-3.0,-6.0625,58
59,1695383739359,0.49243164,-0.83306885,0.4303589,1.34375,-4.3125,-3.375,59
60,1695383739399,0.4777832,-0.84259033,0.37786865,-8.15625,-8.28125,4.8125,60
61,1695383739439,0.42773438,-0.8518677,0.43988037,-7.34375,9.671875,4.328125,61
62,1695383739479,0.42236328,-0.6904907,0.37835693,2.015625,14.640625,2.203125,62
63,1695383739519,0.32788086,-0.74298096,0.2982788,-1.109375,-6.046875,2.0625,63
64,1695383739559,0.50683594,-0.85284424,0.5206909,-2.890625,-12.546875,-3.234375,64
65,1695383739599,0.4975586,-0.7798462,0.44891357,-1.4375,-8.390625,-1.609375,65
66,1695383739639,0.4555664,-0.8723755,0.3986206,-7.859375,-10.515625,2.03125,66
67,1695383739679,0.40307617,-0.8106079,0.45184326,-5.234375,12.109375,3.03125,67
68,1695383739719,0.41577148,-0.7197876,0.34173584,7.375,-0.46875,0.375,68
69,1695383739759,0.39038086,-0.7451782,0.38519287,-4.890625,-1.953125,-3.359375,69
70,1695383739799,0.4897461,-0.850647,0.53948975,10.65625,-14.0,-6.296875,70
71,1695383739839,0.48583984,-0.77130127,0.4491577,-9.5625,-7.984375,-0.828125,71
72,1695383739879,0.39282227,-0.85113525,0.46307373,-6.515625,4.953125,6.125,72
73,1695383739919,0.40234375,-0.7764282,0.45965576,-2.046875,14.40625,3.515625,73
74,1695383739959,0.38964844,-0.6506958,0.41351318,8.703125,19.375,-1.828125,74
75,1695383739999,0.32910156,-0.79034424,0.3361206,1.796875,12.5,-6.8125,75
76,1695383740039,0.4543457,-0.88775635,0.46258545,4.0,25.3125,-9.71875,76
77,1695383740079,0.56469727,-0.87872314,0.34857178,14.046875,13.375,2.109375,77
78,1695383740119,0.54467773,-0.8779907,0.3480835,-1.390625,-3.09375,11.359375,78
79,1695383740159,0.4650879,-0.78692627,0.32806396,-7.796875,-3.953125,9.53125,79
80,1695383740199,0.43359375,-0.7251587,0.3414917,1.78125,2.34375,3.734375,80
81,1695383740239,0.42089844,-0.72125244,0.33465576,3.734375,1.40625,-1.5625,81
82,1695383740279,0.45043945,-0.79473877,0.3554077,-3.25,-4.59375,-3.359375,82
83,1695383740319,0.5288086,-0.8748169,0.29266357,-5.4375,-14.859375,0.46875,83
84,1695383740359,0.5605469,-0.7612915,0.4586792,-26.40625,-46.09375,4.84375,84
85,1695383740399,0.47045898,-0.75787354,0.44207764,12.125,-10.640625,-0.671875,85
86,1695383740439,0.37158203,-0.8118286,0.4413452,-7.140625,8.921875,-0.875,86
87,1695383740479,0.41015625,-0.7022095,0.4796753,-0.265625,12.796875,0.453125,87
88,1695383740519,0.4440918,-0.72125244,0.38568115,-2.34375,-2.4375,-2.28125,88
89,1695383740559,0.44458008,-0.8789673,0.46429443,-7.0,-11.96875,-1.609375,89
90,1695383740599,0.52783203,-0.79107666,0.4442749,7.796875,-19.5,2.234375,90
91,1695383740639,0.47705078,-0.8308716,0.42645264,-8.203125,-11.59375,2.5,91
92,1695383740679,0.4050293,-0.87823486,0.45770264,-2.3125,1.953125,7.9375,92
93,1695383740719,0.3762207,-0.68756104,0.44744873,0.171875,12.546875,1.8125,93
94,1695383740759,0.4013672,-0.65338135,0.3444214,-1.546875,-11.859375,-1.53125,94
95,1695383740799,0.44140625,-0.817688,0.56414795,-7.71875,-3.71875,-2.84375,95
96,1695383740839,0.49902344,-0.76031494,0.5001831,4.25,-7.203125,-6.3125,96
