timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695494784634,-0.75219727,-0.13433838,-0.6026001,0.328125,-0.1875,0.671875
1695494784674,-0.75634766,-0.14385986,-0.5960083,0.46875,-0.1875,0.859375
1695494784714,-0.75146484,-0.14630127,-0.59625244,0.390625,-0.265625,0.75
1695494784754,-0.7565918,-0.1404419,-0.59820557,0.453125,-0.09375,0.859375
1695494784794,-0.75927734,-0.13653564,-0.600647,0.28125,0.03125,0.921875
1695494784834,-0.7585449,-0.14019775,-0.6001587,0.296875,-0.125,0.78125
1695494784874,-0.7558594,-0.13995361,-0.60284424,0.234375,-0.28125,0.8125
1695494784914,-0.75024414,-0.14190674,-0.59332275,0.515625,0.515625,0.703125
1695494784954,-0.7609863,-0.14093018,-0.598938,-0.15625,-0.328125,0.71875
1695494784994,-0.7504883,-0.14654541,-0.6033325,-0.109375,-0.046875,0.71875
1695494785034,-0.7597656,-0.14849854,-0.60235596,-0.03125,-0.140625,0.796875
1695494785074,-0.75512695,-0.14117432,-0.60235596,0.375,0.28125,0.65625
1695494785114,-0.7573242,-0.14215088,-0.59991455,0.375,0.3125,0.703125
1695494785154,-0.7595215,-0.14019775,-0.598938,0.40625,0.125,0.703125
1695494785194,-0.7648926,-0.13873291,-0.6008911,0.125,0.21875,0.921875
1695494785234,-0.75146484,-0.1416626,-0.5913696,0.140625,0.28125,0.78125
1695494785274,-0.7570801,-0.1404419,-0.5913696,0.21875,0.3125,0.8125
1695494785314,-0.763916,-0.14337158,-0.5906372,0.3125,-0.3125,0.75
1695494785354,-0.76220703,-0.13531494,-0.5930786,0.375,-0.234375,0.890625
1695494785394,-0.75683594,-0.14385986,-0.59503174,0.453125,-0.3125,0.6875
1695494785434,-0.7573242,-0.14312744,-0.60406494,0.34375,-0.03125,0.6875
1695494785474,-0.76293945,-0.14093018,-0.5991821,0.234375,-0.046875,0.796875
1695494785514,-0.763916,-0.14190674,-0.6013794,0.171875,0.125,0.765625
1695494785554,-0.76000977,-0.14141846,-0.5930786,0.265625,-0.1875,0.84375
1695494785594,-0.7570801,-0.14459229,-0.5845337,0.71875,0.59375,0.78125
1695494785634,-0.7648926,-0.14678955,-0.597229,0.078125,-0.453125,0.71875
1695494785674,-0.7602539,-0.1453247,-0.59747314,-0.15625,0.0625,0.734375
1695494785714,-0.76342773,-0.14581299,-0.59820557,0.296875,-0.109375,0.921875
1695494785754,-0.7619629,-0.13946533,-0.5899048,0.515625,0.03125,0.640625
1695494785794,-0.75805664,-0.1453247,-0.59161377,0.296875,-0.046875,0.78125
1695494785834,-0.7675781,-0.14337158,-0.5991821,0.171875,-0.484375,0.9375
1695494785874,-0.76708984,-0.1362915,-0.5964966,0.078125,-0.3125,1.046875
