,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1695817639459,0.3269043,0.24188232,-0.9077759,-0.484375,-0.28125,-0.1875,0
1,1695817639499,0.33422852,0.24603271,-0.90216064,-0.21875,-0.296875,-0.046875,1
2,1695817639539,0.33203125,0.24212646,-0.91070557,-0.5,-0.25,-0.015625,2
3,1695817639579,0.3293457,0.24578857,-0.9031372,-0.484375,0.046875,-0.078125,3
4,1695817639619,0.33422852,0.24359131,-0.9104614,-0.359375,0.46875,-0.046875,4
5,1695817639659,0.33129883,0.24017334,-0.9133911,-0.28125,0.59375,0.046875,5
6,1695817639699,0.3256836,0.2411499,-0.9146118,-0.328125,0.265625,-0.0625,6
7,1695817639739,0.32421875,0.24798584,-0.9138794,-0.25,0.3125,-0.140625,7
8,1695817639779,0.33081055,0.2399292,-0.91241455,-0.453125,0.0625,-0.1875,8
9,1695817639819,0.328125,0.24090576,-0.90948486,-0.828125,-0.796875,-0.140625,9
10,1695817639859,0.32763672,0.24139404,-0.91070557,-0.671875,-1.5625,-0.1875,10
11,1695817639899,0.328125,0.24212646,-0.90753174,-0.78125,-1.265625,-0.203125,11
12,1695817639939,0.3347168,0.23846436,-0.91192627,-0.453125,-0.953125,-0.078125,12
13,1695817639979,0.33007812,0.23724365,-0.9092407,-0.140625,-0.90625,0.03125,13
14,1695817640019,0.3293457,0.24578857,-0.90997314,0.0625,0.125,0.125,14
15,1695817640059,0.32763672,0.24261475,-0.9158325,-0.34375,0.453125,0.078125,15
16,1695817640099,0.3305664,0.23284912,-0.9126587,-0.609375,0.296875,0.09375,16
17,1695817640139,0.32958984,0.24481201,-0.92559814,-0.78125,-0.59375,0.125,17
18,1695817640179,0.33422852,0.23699951,-0.9175415,-0.421875,-0.875,-0.03125,18
19,1695817640219,0.3305664,0.24456787,-0.9116821,-0.03125,-0.421875,0.09375,19
