,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,0,0.052490234,-0.98883057,-0.0025024414,-0.34375,-0.484375,1.5625,0
1,40,0.055664062,-0.9780884,-6.1035156e-05,0.15625,-1.0,0.796875,1
2,80,0.052734375,-0.99102783,0.0072631836,-0.296875,0.28125,1.8125,2
3,120,0.05493164,-0.9807739,0.007019043,0.375,0.109375,1.15625,3
4,160,0.064208984,-0.9829712,-0.0015258789,0.046875,-0.109375,1.125,4
5,200,0.05883789,-0.9927368,0.0036010742,0.0,0.8125,1.78125,5
6,240,0.061279297,-0.9939575,0.0016479492,-0.84375,1.109375,1.453125,6
7,280,0.059570312,-0.987854,0.018005371,0.234375,1.265625,1.1875,7
8,320,0.07470703,-0.9800415,-0.0044555664,-1.3125,0.59375,0.3125,8
9,360,0.07421875,-0.97906494,0.010192871,-0.15625,1.828125,1.109375,9
10,400,0.06665039,-0.9985962,0.012145996,-0.390625,0.984375,0.84375,10
11,440,0.07128906,-0.9763794,0.010192871,-0.34375,0.40625,0.609375,11
12,480,0.061767578,-0.99346924,0.015563965,-0.25,0.140625,0.40625,12
13,520,0.061279297,-0.99102783,0.020202637,0.234375,-0.078125,0.5625,13
14,560,0.05810547,-0.99053955,0.0067749023,0.28125,0.1875,0.453125,14
15,600,0.076416016,-0.9819946,0.012390137,0.03125,-0.421875,-0.078125,15
16,640,0.06323242,-0.9819946,-0.0049438477,-0.796875,-0.640625,-0.328125,16
17,680,0.06665039,-0.98809814,0.010437012,0.5,-0.75,-0.046875,17
18,720,0.07519531,-0.98321533,0.0014038086,1.25,-0.734375,-0.84375,18
19,760,0.0690918,-0.975647,0.0026245117,1.0,-1.390625,-0.78125,19
20,800,0.0625,-0.98760986,-6.1035156e-05,0.796875,-1.375,-1.328125,20
21,840,0.07397461,-0.9890747,-0.0020141602,0.265625,-1.34375,-1.015625,21
22,880,0.064208984,-0.97906494,0.0048217773,0.625,-1.3125,-1.03125,22
23,920,0.057373047,-0.9859009,0.0033569336,0.875,-1.625,-1.359375,23
24,960,0.056884766,-0.98638916,-0.012268066,0.453125,-1.265625,-1.125,24
25,1000,0.07080078,-0.972229,0.009460449,1.453125,-1.53125,-1.859375,25
26,1040,0.04345703,-0.9883423,0.0006713867,-0.328125,-2.640625,-2.078125,26
27,1080,0.051757812,-0.9763794,-0.012023926,-0.203125,-1.8125,-1.828125,27
28,1120,0.024902344,-0.9937134,0.002380371,0.21875,-2.34375,-2.015625,28
29,1160,0.04248047,-0.97662354,0.0006713867,0.171875,-2.09375,-1.546875,29
30,1200,0.03173828,-0.9846802,0.0004272461,0.53125,-1.53125,-1.390625,30
31,1240,0.030029297,-0.9854126,-0.00079345703,0.828125,-1.375,-1.046875,31
32,1280,0.029785156,-0.98321533,-0.008361816,0.640625,-2.1875,-0.5625,32
33,1320,0.032226562,-0.9961548,-0.0029907227,0.765625,-1.796875,-0.59375,33
34,1360,0.028808594,-1.0066528,-0.00982666,0.453125,-1.234375,-0.15625,34
35,1400,0.03173828,-0.987854,0.0004272461,0.625,-0.671875,0.4375,35
36,1440,0.025878906,-0.98321533,-0.012268066,-0.25,-0.6875,0.484375,36
37,1480,0.03564453,-0.98272705,-0.0032348633,0.0625,-0.625,0.796875,37
38,1520,0.037841797,-0.97662354,-0.007385254,-0.1875,0.125,0.84375,38
39,1560,0.027832031,-0.9915161,-0.005432129,-0.015625,0.296875,1.109375,39
40,1600,0.038085938,-0.9841919,-0.0022583008,0.0,0.484375,1.296875,40
41,1640,0.04345703,-0.9741821,-0.0068969727,0.109375,-0.203125,1.265625,41
42,1680,0.043945312,-0.9902954,-0.0017700195,0.125,-0.140625,1.109375,42
43,1720,0.040771484,-0.987854,-0.0076293945,-1.296875,0.125,0.75,43
44,1760,0.040527344,-0.9780884,0.0028686523,-1.1875,0.0,0.25,44
45,1800,0.05493164,-0.973938,-0.008850098,-1.703125,1.25,0.234375,45
46,1840,0.052978516,-0.99468994,0.014587402,-0.390625,1.0625,0.15625,46
47,1880,0.049804688,-0.96539307,-0.011779785,-0.234375,0.4375,0.015625,47
48,1920,0.03466797,-0.9907837,0.0067749023,0.296875,0.390625,-0.109375,48
49,1960,0.038330078,-1.0032349,0.0048217773,-0.578125,2.109375,1.5625,49
50,2000,0.04638672,-0.97906494,0.005554199,0.453125,2.28125,1.5625,50
51,2040,0.041503906,-0.9837036,0.0004272461,-0.6875,1.125,0.984375,51
52,2080,0.041259766,-0.9932251,0.0014038086,0.1875,0.640625,1.046875,52
53,2120,0.041748047,-0.9783325,0.0036010742,0.390625,0.671875,1.15625,53
54,2160,0.052490234,-0.97906494,0.009460449,-0.375,-0.171875,0.734375,54
55,2200,0.052490234,-0.9817505,-0.0005493164,-0.296875,-0.796875,-0.5,55
56,2240,0.042236328,-0.9944458,-0.0071411133,-0.09375,-0.671875,-0.578125,56
57,2280,0.052490234,-0.9763794,-0.0012817383,0.015625,-0.671875,-0.265625,57
58,2320,0.053222656,-0.9841919,-0.0071411133,-0.296875,-1.03125,-0.578125,58
59,2360,0.048828125,-0.98394775,0.00018310547,0.265625,-1.21875,-0.765625,59
60,2400,0.049804688,-0.9807739,-0.0010375977,0.671875,-1.15625,-0.296875,60
61,2440,0.048339844,-0.9883423,-0.0015258789,0.015625,-1.796875,-0.953125,61
62,2480,0.03930664,-0.9902954,0.0038452148,0.3125,-1.453125,-0.578125,62
63,2520,0.033203125,-0.9812622,-0.0017700195,-0.0625,-0.921875,-0.609375,63
64,2560,0.041015625,-0.98394775,0.007507324,0.703125,-1.09375,-0.484375,64
65,2600,0.028320312,-0.98516846,-0.0076293945,0.40625,-1.109375,-0.53125,65
66,2640,0.03564453,-0.99005127,-0.002746582,0.015625,-1.015625,-0.734375,66
67,2680,0.05102539,-0.972229,0.0033569336,0.390625,-1.0625,-0.828125,67
68,2720,0.022460938,-0.98516846,-0.008117676,-0.625,-1.03125,-0.734375,68
69,2760,0.041259766,-0.97540283,-0.015930176,0.875,-0.546875,-0.484375,69
70,2800,0.026123047,-0.9907837,-0.005432129,-0.15625,-0.296875,-0.734375,70
71,2840,0.029296875,-0.9951782,-0.013977051,-1.84375,0.46875,-0.046875,71
72,2880,0.025634766,-0.9993286,0.017028809,-1.6875,0.6875,0.015625,72
73,2920,0.020507812,-0.98687744,-0.0010375977,-1.96875,-0.703125,-0.078125,73
74,2960,0.0234375,-0.9898071,0.022155762,-2.375,-1.84375,-0.21875,74
75,3000,0.026367188,-1.000061,0.015319824,-1.25,-1.84375,-0.015625,75
76,3040,0.01586914,-0.9805298,0.015319824,0.328125,-1.40625,0.390625,76
77,3080,0.021728516,-0.9763794,0.0099487305,0.484375,-1.328125,1.03125,77
78,3120,0.028808594,-0.97979736,0.008483887,0.859375,-1.328125,0.71875,78
79,3160,0.03100586,-0.9795532,0.0048217773,1.265625,-0.28125,1.640625,79
80,3200,0.02734375,-0.9807739,0.0038452148,2.015625,-0.859375,1.5625,80
81,3240,0.041503906,-0.9885864,0.00970459,1.671875,-0.875,0.875,81
82,3280,0.037841797,-0.9866333,-0.007873535,1.09375,-0.21875,1.390625,82
83,3320,0.040039062,-0.98638916,-0.0005493164,1.28125,-0.703125,0.71875,83
84,3360,0.041503906,-0.99224854,-0.0010375977,0.890625,-0.625,0.453125,84
85,3400,0.03930664,-0.98272705,-0.009338379,0.09375,-0.25,0.265625,85
86,3440,0.04272461,-0.99713135,0.0018920898,0.03125,0.03125,0.390625,86
87,3480,0.049072266,-0.9714966,-0.00982666,-0.953125,1.46875,0.359375,87
88,3520,0.03930664,-0.991272,0.012634277,1.3125,0.6875,0.46875,88
89,3560,0.040771484,-0.98565674,-0.02178955,-0.75,0.03125,0.375,89
90,3600,0.033935547,-0.9873657,0.0018920898,-0.1875,0.90625,0.578125,90
91,3640,0.03540039,-0.98443604,-0.00079345703,0.515625,0.109375,0.53125,91
92,3680,0.04296875,-0.9783325,-0.0032348633,0.140625,0.140625,0.171875,92
93,3720,0.036376953,-0.99053955,-0.0022583008,0.375,-0.078125,0.265625,93
94,3760,0.052246094,-0.9795532,-0.007873535,0.890625,-1.0625,0.484375,94
95,3800,0.020996094,-0.97784424,0.010925293,1.40625,-0.5,0.5625,95
96,3840,0.02758789,-0.9883423,-0.0037231445,-0.453125,-0.078125,0.546875,96
97,3880,0.030273438,-0.987854,0.0006713867,1.015625,-0.484375,0.421875,97
98,3920,0.037353516,-0.9873657,-0.012512207,0.546875,-0.6875,0.421875,98
99,3960,0.03564453,-0.9854126,-0.0071411133,-0.390625,-0.65625,0.328125,99
100,4000,0.041992188,-0.99468994,-0.014221191,-0.203125,-0.59375,0.34375,100
101,4040,0.046142578,-0.98321533,-0.013000488,-0.515625,-0.671875,0.171875,101
102,4080,0.04296875,-0.9902954,-0.004699707,-0.21875,-0.015625,0.15625,102
103,4120,0.04345703,-0.97784424,-0.0005493164,-0.484375,-0.78125,-0.09375,103
104,4160,0.04663086,-0.9841919,-0.007385254,0.09375,-1.296875,0.078125,104
105,4200,0.03857422,-0.9915161,-0.0032348633,0.078125,-0.734375,0.078125,105
