,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695479507578,-0.1171875,0.059570312,1.0078125,0.15625,-0.03125,-0.0625,0.0,0.0,0.0,0
1,1695479507609,-0.109375,0.05859375,0.99609375,0.0625,0.25,0.0625,0.0,0.0,0.0,1
2,1695479507638,-0.11035156,0.06640625,0.9970703,0.53125,0.125,0.1875,0.0,0.0,0.0,2
3,1695479507698,-0.1171875,0.072265625,1.0126953,0.34375,0.03125,-0.09375,0.0,0.0,0.0,3
4,1695479507728,-0.11621094,0.055664062,1.0126953,-0.125,0.125,-0.28125,0.0,0.0,0.0,4
5,1695479507759,-0.11816406,0.07128906,0.9902344,0.125,0.125,-0.21875,0.0,0.0,0.0,5
6,1695479507818,-0.109375,0.068359375,0.9941406,0.0,0.03125,0.0625,0.0,0.0,0.0,6
7,1695479507848,-0.11035156,0.06738281,1.0039062,-0.125,-0.03125,-0.0625,-15.125,3.8125,4.875,7
8,1695479507880,-0.1171875,0.07128906,0.99316406,-0.1875,-0.15625,0.0625,0.0,0.0,0.0,8
9,1695479507939,-0.11230469,0.061523438,0.9980469,-0.3125,-0.03125,0.0625,0.0,0.0,0.0,9
10,1695479507968,-0.107421875,0.07421875,0.98535156,0.0,0.125,-0.15625,0.0,0.0,0.0,10
11,1695479507999,-0.11230469,0.068359375,1.0048828,0.71875,0.1875,-0.0625,0.0,0.0,0.0,11
12,1695479508058,-0.109375,0.0625,1.0,-0.25,0.0625,0.0,0.0,0.0,0.0,12
13,1695479508088,-0.11621094,0.059570312,1.0009766,-0.1875,0.03125,0.0625,0.0,0.0,0.0,13
14,1695479508119,-0.11328125,0.05859375,1.0068359,-0.1875,-0.09375,0.125,0.0,0.0,0.0,14
15,1695479508179,-0.11328125,0.07910156,0.9941406,0.0,0.03125,-0.0625,0.0,0.0,0.0,15
16,1695479508208,-0.11621094,0.064453125,1.0,0.15625,0.125,-0.09375,0.0,0.0,0.0,16
17,1695479508239,-0.11816406,0.06933594,1.0048828,-0.1875,-0.0625,-0.0625,0.0,0.0,0.0,17
18,1695479508298,-0.11230469,0.056640625,1.0009766,-0.0625,-0.0625,-0.125,0.0,0.0,0.0,18
19,1695479508328,-0.12207031,0.06347656,1.0058594,-0.3125,0.0625,-0.125,-16.0625,3.9375,5.8125,19
20,1695479508360,-0.119140625,0.06738281,1.0097656,-0.0625,-0.125,-0.125,0.0,0.0,0.0,20
21,1695479508418,-0.12109375,0.06347656,0.99609375,0.1875,0.1875,-0.0625,0.0,0.0,0.0,21
22,1695479508478,-0.10839844,0.068359375,1.0019531,0.53125,0.0,-0.0625,0.0,0.0,0.0,22
23,1695479508481,-0.119140625,0.06542969,1.0058594,0.1875,0.125,-0.25,0.0,0.0,0.0,23
24,1695479508538,-0.119140625,0.05859375,1.0029297,-0.4375,-0.125,-0.3125,0.0,0.0,0.0,24
25,1695479508569,-0.119140625,0.052734375,1.0009766,-0.0625,0.125,-0.25,0.0,0.0,0.0,25
26,1695479508599,-0.12207031,0.061523438,0.9970703,0.4375,-0.125,-0.125,0.0,0.0,0.0,26
27,1695479508658,-0.12207031,0.0625,0.99609375,-0.3125,0.0,0.125,0.0,0.0,0.0,27
28,1695479508689,-0.11816406,0.056640625,0.9902344,-0.3125,0.0,0.0625,0.0,0.0,0.0,28
29,1695479508719,-0.111328125,0.0625,0.9941406,0.1875,0.0,0.0625,0.0,0.0,0.0,29
30,1695479508778,-0.119140625,0.0625,0.99316406,0.0,0.125,-0.125,0.0,0.0,0.0,30
31,1695479508808,-0.11328125,0.064453125,1.0039062,0.125,-0.0625,-0.125,0.0,0.0,0.0,31
