,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,0,-0.923584,-0.13800049,-0.37017822,2.203125,-4.296875,1.65625,0
1,40,-0.9399414,-0.1350708,-0.39874268,1.765625,-1.71875,-0.390625,1
2,80,-0.93896484,-0.121154785,-0.37677002,0.0,1.890625,-1.828125,2
3,120,-0.93115234,-0.11920166,-0.36627197,0.703125,0.90625,-0.578125,3
4,160,-0.91674805,-0.13043213,-0.3550415,0.703125,-1.25,2.265625,4
5,200,-0.9265137,-0.12310791,-0.35064697,1.796875,-1.796875,1.015625,5
6,240,-0.95214844,-0.13922119,-0.40655518,4.8125,-5.421875,2.5625,6
7,280,-0.9328613,-0.1272583,-0.3711548,-0.734375,1.375,1.09375,7
8,320,-0.9238281,-0.13043213,-0.36480713,2.734375,-2.09375,-1.390625,8
9,360,-0.9243164,-0.124572754,-0.37213135,3.1875,-4.6875,-0.8125,9
10,400,-0.92871094,-0.13043213,-0.39630127,2.4375,-4.3125,0.359375,10
11,440,-0.93237305,-0.12359619,-0.40509033,-0.34375,-0.34375,0.71875,11
12,480,-0.92578125,-0.12677002,-0.41485596,-2.78125,6.859375,-0.453125,12
13,520,-0.920166,-0.120666504,-0.36187744,-4.359375,7.484375,-1.84375,13
14,560,-0.9160156,-0.11871338,-0.33380127,-1.953125,3.3125,0.265625,14
15,600,-0.9304199,-0.12921143,-0.34039307,2.375,-7.09375,3.125,15
16,640,-0.935791,-0.13873291,-0.3880005,3.078125,-6.609375,3.453125,16
17,680,-0.9367676,-0.14361572,-0.4192505,0.953125,-1.203125,0.5625,17
18,720,-0.9213867,-0.13018799,-0.37872314,-0.953125,1.15625,-1.921875,18
19,760,-0.9284668,-0.11798096,-0.36065674,0.765625,-1.046875,-1.515625,19
20,800,-0.91967773,-0.1272583,-0.3789673,0.25,-5.21875,2.09375,20
21,840,-0.9272461,-0.12945557,-0.40093994,0.0,-3.25,3.8125,21
22,880,-0.92163086,-0.13800049,-0.4204712,-1.75,2.984375,0.21875,22
23,920,-0.91674805,-0.11407471,-0.3604126,-1.90625,6.3125,-2.53125,23
24,960,-0.9284668,-0.13922119,-0.36627197,2.1875,-1.1875,1.21875,24
25,1000,-0.91552734,-0.13800049,-0.3591919,0.8125,-5.09375,2.28125,25
26,1040,-0.9301758,-0.13995361,-0.41168213,4.234375,-7.890625,1.65625,26
27,1080,-0.93066406,-0.12823486,-0.40826416,0.78125,1.1875,-1.890625,27
28,1120,-0.91381836,-0.12213135,-0.3862915,0.84375,1.03125,-1.515625,28
29,1160,-0.91918945,-0.12579346,-0.38946533,0.296875,-0.828125,0.640625,29
30,1200,-0.9160156,-0.12628174,-0.39752197,-1.96875,-1.921875,3.28125,30
31,1240,-0.9187012,-0.13482666,-0.4048462,-0.734375,0.140625,1.890625,31
32,1280,-0.92456055,-0.13067627,-0.38824463,-0.328125,3.515625,0.140625,32
33,1320,-0.91308594,-0.13946533,-0.37286377,0.734375,-1.640625,0.1875,33
34,1360,-0.92211914,-0.13214111,-0.37774658,2.78125,-4.25,-0.484375,34
35,1400,-0.92333984,-0.120910645,-0.41485596,2.0,-3.859375,-0.296875,35
36,1440,-0.921875,-0.13116455,-0.40704346,0.203125,-0.765625,-0.015625,36
37,1480,-0.9165039,-0.120910645,-0.40655518,-0.9375,1.140625,0.0,37
38,1520,-0.9157715,-0.128479,-0.38970947,-1.25,0.046875,1.125,38
39,1560,-0.920166,-0.13092041,-0.4019165,-2.109375,0.625,1.703125,39
40,1600,-0.9177246,-0.14312744,-0.411438,-3.015625,2.53125,1.5625,40
41,1640,-0.9121094,-0.13848877,-0.36871338,0.015625,3.484375,-0.34375,41
42,1680,-0.9301758,-0.12335205,-0.3665161,-0.109375,0.640625,-0.25,42
43,1720,-0.92211914,-0.14630127,-0.37261963,2.625,-6.109375,1.5625,43
44,1760,-0.9267578,-0.13922119,-0.41436768,3.390625,-4.4375,-0.328125,44
45,1800,-0.9265137,-0.120666504,-0.4192505,-0.015625,1.015625,-1.15625,45
46,1840,-0.91967773,-0.12896729,-0.38946533,-1.96875,3.90625,-1.15625,46
47,1880,-0.9187012,-0.12896729,-0.37091064,-2.046875,2.390625,-0.09375,47
48,1920,-0.91967773,-0.13726807,-0.3731079,-0.078125,-2.0,1.578125,48
49,1960,-0.9199219,-0.13824463,-0.39996338,-0.375,-1.328125,1.125,49
50,2000,-0.9394531,-0.1404419,-0.39385986,-1.0625,2.34375,0.328125,50
51,2040,-0.92285156,-0.13482666,-0.38311768,-1.90625,3.9375,-0.375,51
52,2080,-0.9255371,-0.13140869,-0.35699463,0.234375,2.21875,-1.046875,52
53,2120,-0.9238281,-0.13458252,-0.36553955,1.40625,-1.890625,0.328125,53
54,2160,-0.92285156,-0.13775635,-0.3711548,2.171875,-5.015625,1.109375,54
55,2200,-0.92163086,-0.13140869,-0.4024048,1.15625,-2.890625,0.265625,55
56,2240,-0.92529297,-0.12554932,-0.39483643,0.4375,-0.15625,-0.578125,56
57,2280,-0.92822266,-0.13067627,-0.38189697,-0.203125,1.734375,-0.578125,57
58,2320,-0.9238281,-0.12677002,-0.38946533,-2.359375,1.328125,1.046875,58
59,2360,-0.92211914,-0.13995361,-0.3821411,-1.640625,-0.96875,2.1875,59
60,2400,-0.92529297,-0.1326294,-0.37945557,-2.40625,2.0,0.984375,60
61,2440,-0.9243164,-0.1482544,-0.3682251,0.96875,-0.84375,2.375,61
62,2480,-0.9272461,-0.13922119,-0.37408447,0.546875,-0.9375,0.375,62
63,2520,-0.9289551,-0.14434814,-0.3850708,0.8125,-0.21875,0.28125,63
64,2560,-0.93237305,-0.13165283,-0.3682251,0.921875,1.421875,-0.515625,64
65,2600,-0.93115234,-0.1404419,-0.3814087,-0.546875,-0.765625,0.53125,65
66,2640,-0.9211426,-0.15020752,-0.36993408,0.28125,-1.203125,0.453125,66
67,2680,-0.9243164,-0.13800049,-0.38433838,0.421875,-0.46875,-0.5,67
68,2720,-0.9255371,-0.14263916,-0.3796997,0.421875,0.125,-0.375,68
69,2760,-0.9284668,-0.14019775,-0.3718872,-0.1875,0.71875,-0.140625,69
70,2800,-0.92211914,-0.14117432,-0.3772583,-0.265625,0.640625,0.75,70
71,2840,-0.9238281,-0.13848877,-0.3657837,-1.375,1.375,1.015625,71
72,2880,-0.9267578,-0.14239502,-0.36480713,0.3125,0.921875,1.34375,72
73,2920,-0.9301758,-0.1404419,-0.37921143,-0.171875,0.3125,1.328125,73
74,2960,-0.9157715,-0.14752197,-0.3604126,0.03125,1.921875,0.140625,74
75,3000,-0.94091797,-0.13702393,-0.3665161,-0.890625,0.390625,1.546875,75
76,3040,-0.9187012,-0.15924072,-0.37384033,-1.734375,-0.796875,1.78125,76
77,3080,-0.93310547,-0.15582275,-0.3477173,1.9375,-0.234375,-0.421875,77
78,3120,-0.9416504,-0.1416626,-0.37579346,-1.171875,0.375,-0.921875,78
79,3160,-0.93408203,-0.15264893,-0.35528564,0.65625,-1.546875,0.625,79
80,3200,-0.93310547,-0.13970947,-0.37213135,0.484375,-0.3125,-0.734375,80
81,3240,-0.9338379,-0.14117432,-0.36383057,-0.046875,-0.515625,0.4375,81
82,3280,-0.9304199,-0.1482544,-0.3652954,0.21875,-0.65625,0.84375,82
83,3320,-0.9309082,-0.14605713,-0.35845947,0.625,-0.6875,0.46875,83
84,3360,-0.9326172,-0.14556885,-0.35968018,0.71875,-2.140625,1.640625,84
85,3400,-0.9248047,-0.15289307,-0.38555908,-0.578125,-0.5,0.78125,85
86,3440,-0.9333496,-0.15093994,-0.3579712,1.15625,0.1875,-0.1875,86
87,3480,-0.9326172,-0.14898682,-0.37213135,0.4375,-1.1875,-0.390625,87
88,3520,-0.92529297,-0.144104,-0.36749268,0.3125,0.671875,-0.859375,88
