# Sensor type: Thingy
# Activity type: Normal walking
# Activity subtype: Normal
# Subject id: s2068159
# Notes: thingy 1.31
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695987797214,-0.9394531,-0.47265625,-0.022460938,-12.1875,-45.9375,-24.65625,0.0,0.0,0.0
1695987797252,-0.87890625,-0.5371094,-0.11328125,-12.125,-25.125,-33.15625,0.0,0.0,0.0
1695987797293,-0.8261719,-0.5517578,-0.11035156,3.875,-1.90625,-30.15625,0.0,0.0,0.0
1695987797333,-0.85058594,-0.54785156,0.0107421875,12.03125,-1.5,-38.46875,0.0,0.0,0.0
1695987797372,-0.8486328,-0.40722656,0.013671875,70.6875,22.5625,-30.71875,0.0,0.0,0.0
1695987797406,-0.86816406,-0.3408203,0.024414062,73.8125,24.625,-25.65625,0.0,0.0,0.0
1695987797450,-0.84765625,-0.3388672,0.115234375,53.3125,15.34375,-25.9375,0.0,0.0,0.0
1695987797495,-0.82421875,-0.34765625,0.111328125,27.3125,9.0,-20.40625,-37.8125,-11.3125,19.6875
1695987797529,-0.74316406,-0.38964844,0.083984375,13.5625,5.46875,-10.1875,0.0,0.0,0.0
1695987797574,-0.71484375,-0.50683594,0.06738281,10.40625,9.5,-2.03125,0.0,0.0,0.0
1695987797608,-0.7167969,-0.5527344,0.020507812,23.40625,21.9375,5.53125,0.0,0.0,0.0
1695987797653,-0.7949219,-0.5234375,0.029296875,37.6875,28.46875,11.40625,0.0,0.0,0.0
1695987797687,-0.90527344,-0.58203125,0.17480469,36.03125,22.5,20.875,0.0,0.0,0.0
1695987797734,-0.8847656,-0.6689453,0.109375,29.0625,24.6875,18.90625,0.0,0.0,0.0
1695987797769,-0.8730469,-0.453125,-0.0087890625,26.09375,38.4375,26.71875,0.0,0.0,0.0
1695987797814,-1.0,-0.26464844,-0.115234375,40.6875,50.28125,38.375,0.0,0.0,0.0
1695987797844,-1.7080078,-0.5566406,0.21386719,10.53125,66.875,25.6875,0.0,0.0,0.0
1695987797889,-0.6689453,-0.40429688,-0.041992188,-4.125,-22.90625,15.75,0.0,0.0,0.0
1695987797934,-0.57910156,-0.09667969,-0.140625,64.0,79.8125,15.375,0.0,0.0,0.0
1695987797968,-1.0136719,-0.15625,-0.26464844,53.0625,51.5,40.40625,0.0,0.0,0.0
1695987798032,-0.8955078,-0.22265625,-0.25097656,51.53125,10.46875,34.96875,-43.9375,-4.5625,11.75
1695987798048,-0.89941406,-0.23046875,-0.2939453,41.03125,2.34375,17.03125,0.0,0.0,0.0
1695987798092,-0.7734375,-0.2841797,-0.29101562,-15.71875,14.1875,-0.1875,0.0,0.0,0.0
1695987798127,-0.76171875,-0.33789062,-0.31933594,-26.71875,25.5,-6.84375,0.0,0.0,0.0
1695987798170,-0.8486328,-0.4140625,-0.33007812,-0.15625,66.9375,5.125,0.0,0.0,0.0
1695987798204,-0.8339844,-0.421875,-0.24511719,3.25,106.25,9.375,0.0,0.0,0.0
1695987798250,-0.8486328,-0.3017578,-0.20019531,-18.40625,104.90625,1.40625,0.0,0.0,0.0
1695987798294,-1.046875,-0.2548828,-0.072265625,-59.59375,78.21875,7.0,0.0,0.0,0.0
1695987798328,-0.8935547,-0.2841797,-0.020507812,-31.65625,14.8125,18.65625,0.0,0.0,0.0
1695987798408,-0.88964844,-0.3935547,-0.21679688,7.21875,26.09375,18.375,0.0,0.0,0.0
