timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id,ind
1695291746673,0.34399414,0.26727295,0.94525146,-1.0625,-0.5,0.0,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,0
1695291746713,0.33374023,0.28485107,0.96795654,-5.1875,-4.328125,0.296875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,1
1695291746753,0.33496094,0.3287964,1.0250854,-4.5,-2.140625,0.59375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,2
1695291746793,0.33422852,0.2736206,0.9804077,0.109375,2.046875,0.140625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,3
1695291746833,0.34155273,0.25628662,0.95599365,-0.375,2.53125,-0.3125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,4
1695291746873,0.35058594,0.2999878,0.9845581,-1.59375,0.375,0.125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,5
1695291746913,0.37158203,0.2975464,0.9833374,1.34375,2.890625,0.453125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,6
1695291746953,0.35473633,0.2682495,0.9437866,0.734375,1.359375,-0.1875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,7
1695291746993,0.3635254,0.29022217,0.96551514,-2.859375,-2.015625,0.015625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,8
1695291747033,0.34594727,0.3131714,0.9928589,-2.375,-0.765625,-0.515625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,9
1695291747073,0.33081055,0.28704834,0.98236084,1.0625,0.796875,0.28125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,10
1695291747113,0.3251953,0.25579834,0.95770264,1.15625,-0.25,2.28125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,11
1695291747153,0.33496094,0.28778076,0.98651123,-0.921875,-0.375,3.03125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,12
1695291747193,0.34716797,0.2909546,0.9840698,1.984375,4.0,1.1875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,13
1695291747233,0.34326172,0.26141357,0.9364624,-0.375,1.875,-0.0625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,14
1695291747273,0.3425293,0.28997803,0.98480225,-2.75,-1.265625,0.578125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,15
1695291747313,0.34765625,0.29559326,0.9953003,0.984375,2.828125,0.546875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,16
1695291747353,0.3552246,0.28070068,0.9857788,-0.328125,2.1875,-0.515625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,17
1695291747393,0.32861328,0.27703857,0.93426514,1.28125,2.796875,-0.734375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,18
1695291747433,0.33935547,0.3036499,0.9735718,-2.625,-2.546875,0.171875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,19
1695291747473,0.33203125,0.30950928,0.996521,-0.484375,0.140625,0.96875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,20
1695291747513,0.3190918,0.30389404,0.9940796,0.84375,4.828125,0.796875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,21
1695291747553,0.34375,0.28289795,0.96698,4.515625,5.5625,1.140625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,22
1695291747593,0.35839844,0.2682495,0.94744873,1.984375,2.4375,1.0625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,23
1695291747633,0.3527832,0.28460693,0.9833374,-1.421875,-0.5,0.984375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,24
1695291747673,0.36791992,0.27825928,0.9684448,-1.4375,0.90625,0.390625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,25
1695291747713,0.36401367,0.27044678,0.96990967,-0.875,2.09375,-0.53125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,26
1695291747753,0.35009766,0.28240967,0.96551514,-1.265625,1.265625,-0.65625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,27
1695291747793,0.3466797,0.26654053,0.97039795,-2.28125,-0.28125,-0.296875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,28
1695291747833,0.34375,0.2892456,0.97210693,-2.671875,-1.140625,-0.6875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,29
1695291747873,0.3388672,0.31903076,0.98773193,-2.40625,0.921875,-1.46875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,30
1695291747913,0.34594727,0.2929077,0.9755249,0.015625,2.96875,-0.359375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,31
1695291747953,0.3474121,0.27703857,0.95233154,-0.4375,0.828125,0.234375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,32
1695291747993,0.34228516,0.28167725,0.96746826,-1.234375,0.984375,-0.578125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,33
1695291748033,0.3515625,0.29730225,0.9730835,-1.203125,1.296875,-0.5,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,34
1695291748073,0.34570312,0.29852295,0.96502686,-0.453125,1.0625,-0.46875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,35
1695291748113,0.34033203,0.2897339,0.96307373,-0.640625,0.65625,-0.375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,36
1695291748153,0.3190918,0.2880249,0.96429443,-1.265625,1.53125,0.28125,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,37
1695291748193,0.29711914,0.2687378,0.951355,-0.40625,0.390625,2.40625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,38
1695291748233,0.33789062,0.29388428,0.9928589,-4.140625,-0.875,2.921875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,39
1695291748273,0.4165039,0.33416748,1.0031128,-2.046875,2.65625,2.09375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,40
1695291748313,0.34765625,0.29901123,0.9242554,1.171875,1.046875,0.1875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,41
1695291748353,0.35327148,0.3283081,0.9989624,-2.71875,2.34375,0.15625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,42
1695291748393,0.36083984,0.30169678,0.96698,1.15625,6.046875,0.0,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,43
1695291748433,0.37329102,0.27850342,0.9528198,3.0,3.546875,-0.71875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,44
1695291748473,0.3395996,0.28485107,0.9467163,-0.1875,1.359375,-0.9375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,45
1695291748513,0.35888672,0.2999878,0.9579468,-0.640625,0.84375,-0.90625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,46
1695291748553,0.3635254,0.30682373,1.0084839,-0.4375,3.4375,0.171875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,47
1695291748593,0.34228516,0.29412842,0.9640503,4.5,8.75,0.234375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,48
1695291748633,0.36035156,0.27142334,0.91278076,6.78125,8.515625,0.546875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,49
1695291748673,0.38916016,0.29852295,0.9525757,0.515625,-2.296875,2.765625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,50
1695291748713,0.38867188,0.30096436,0.9579468,-0.5625,-2.640625,1.625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,51
1695291748753,0.3708496,0.2772827,0.9581909,-2.5625,0.71875,-0.9375,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,52
1695291748793,0.37182617,0.2880249,0.9520874,-3.265625,0.984375,-1.0,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,53
1695291748833,0.35498047,0.29656982,0.9935913,-3.546875,-1.25,-0.546875,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,54
1695291748873,0.36328125,0.2909546,0.9591675,-0.421875,-0.25,0.40625,Respeck,Lying down back,-1,s2077148,,s2077148_unprocessed\Respeck_s2077148_Lying down back_Talking_unprocessed_21-09-2023_11-23-04,55
