timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id,ind
1695290258512,-0.018310547,-0.08087158,-0.95758057,-0.765625,0.734375,-0.21875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,91
1695290258552,-0.016357422,-0.085510254,-0.954895,-2.40625,-0.203125,-0.484375,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,92
1695290258592,-0.016601562,-0.09552002,-0.95513916,-3.359375,-1.625,-0.46875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,93
1695290258632,-0.0043945312,-0.093811035,-0.95098877,-1.890625,-0.46875,-0.21875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,94
1695290258672,-0.013671875,-0.101623535,-0.95806885,-0.71875,0.984375,0.0625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,95
1695290258712,-0.016113281,-0.09527588,-0.95562744,-0.578125,0.890625,-0.015625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,96
1695290258752,-0.010498047,-0.09161377,-0.95098877,-1.4375,0.015625,-0.03125,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,97
1695290258792,-0.0087890625,-0.105773926,-0.95318604,-2.03125,-0.484375,-0.40625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,98
1695290258832,0.0012207031,-0.10772705,-0.95440674,-2.125,-0.421875,-0.890625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,99
1695290258872,-0.0007324219,-0.11553955,-0.9573364,-2.015625,0.203125,-0.96875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,100
1695290258912,-0.001953125,-0.10845947,-0.95440674,-1.8125,0.46875,-1.765625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,101
1695290258952,-0.004638672,-0.10015869,-0.9522095,-0.53125,1.109375,0.0,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,102
1695290258992,-0.0048828125,-0.117248535,-0.95684814,0.5,1.421875,0.234375,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,103
1695290259032,-0.0031738281,-0.11480713,-0.9578247,0.359375,1.328125,0.421875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,104
1695290259072,-0.0078125,-0.10870361,-0.960022,0.484375,1.609375,0.390625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,105
1695290259112,-0.008544922,-0.10455322,-0.95391846,0.671875,1.6875,0.328125,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,106
1695290259152,-0.0075683594,-0.10992432,-0.95196533,0.96875,1.859375,0.5625,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,107
1695290259192,-0.005859375,-0.097229004,-0.95684814,2.234375,2.59375,0.796875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,108
1695290259232,-0.0075683594,-0.10235596,-0.95635986,2.734375,3.40625,0.796875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,109
1695290259272,-0.009521484,-0.09112549,-0.9487915,1.734375,3.15625,0.859375,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,110
1695290259312,-0.0107421875,-0.085754395,-0.9529419,1.125,2.765625,0.921875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,111
1695290259352,-0.011962891,-0.09112549,-0.95635986,1.015625,2.59375,0.953125,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,112
1695290259392,-0.018066406,-0.08746338,-0.9534302,0.609375,2.046875,0.6875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,113
1695290259432,-0.018554688,-0.08477783,-0.96051025,0.109375,1.53125,0.234375,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,114
1695290259472,-0.014892578,-0.09429932,-0.9541626,-0.96875,1.03125,-0.21875,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,115
1695290259512,-0.018798828,-0.097229004,-0.95318604,-2.3125,-0.625,-0.359375,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,116
1695290259552,-0.017089844,-0.093322754,-0.9507446,-2.953125,-2.03125,-0.203125,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,117
1695290259592,-0.010986328,-0.10064697,-0.960022,-2.234375,-1.3125,-0.234375,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,118
1695290259632,-0.0063476562,-0.09893799,-0.95269775,-0.84375,1.0,-0.078125,Respeck,Lying down on stomach,-1,s2077148,Dylan,s2077148_unprocessed\Respeck_s2077148_Lying down on stomach_Hyperventilating_unprocessed_21-09-2023_10-58-11,119
