,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,0,1695829635584,-0.72143555,0.15374756,0.68182373,0.1875,-0.703125,0.03125,0,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
1,1,1695829635624,-0.7272949,0.1605835,0.68963623,0.3125,-1.15625,-0.15625,1,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
2,2,1695829635664,-0.7180176,0.1564331,0.6832886,-0.03125,-0.78125,-0.34375,2,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
3,3,1695829635704,-0.72436523,0.15545654,0.680603,0.375,-0.71875,-0.171875,3,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
4,4,1695829635744,-0.7302246,0.15545654,0.6893921,0.453125,-0.859375,0.125,4,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
5,5,1695829635784,-0.7302246,0.15081787,0.6810913,-0.140625,-0.390625,0.0625,5,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
6,6,1695829635824,-0.72387695,0.15960693,0.69036865,0.109375,-0.8125,-0.03125,6,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
7,7,1695829635864,-0.71777344,0.15374756,0.6766968,-0.65625,-0.375,-0.390625,7,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
8,8,1695829635904,-0.7294922,0.1552124,0.68573,0.578125,-1.171875,0.015625,8,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
9,9,1695829635944,-0.73168945,0.1408081,0.68548584,0.171875,-0.4375,-0.15625,9,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
10,10,1695829635984,-0.7307129,0.14593506,0.6859741,-0.03125,-0.71875,-0.015625,10,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
11,11,1695829636024,-0.72802734,0.15106201,0.6803589,-0.25,-0.578125,-0.109375,11,,,-1,,,Respeck_s2090495_Lying down back_Normal_trimmed_27-09-2023_17-10-46
