,Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,0,1695833637688,-0.18261719,-0.031799316,-0.98638916,-0.578125,-0.4375,-0.171875,0,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
1,1,1695833637728,-0.18701172,-0.023986816,-0.97857666,-0.515625,-0.546875,-0.109375,1,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
2,2,1695833637768,-0.18603516,-0.03302002,-0.98565674,-0.625,-0.453125,-0.125,2,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
3,3,1695833637808,-0.1899414,-0.03253174,-0.9890747,-0.46875,-0.640625,-0.21875,3,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
4,4,1695833637848,-0.18432617,-0.030334473,-0.99420166,-0.484375,-0.53125,-0.03125,4,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
5,5,1695833637888,-0.18139648,-0.028869629,-0.99420166,-0.546875,-0.375,-0.09375,5,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
6,6,1695833637928,-0.18701172,-0.027160645,-0.9907837,-0.5,-0.4375,-0.1875,6,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
7,7,1695833637968,-0.18530273,-0.028869629,-0.98638916,-0.25,-0.34375,-0.015625,7,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
8,8,1695833638008,-0.18603516,-0.030334473,-0.9859009,-0.40625,-0.34375,-0.171875,8,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
9,9,1695833638048,-0.18310547,-0.027893066,-0.9866333,-0.5625,-0.46875,-0.109375,9,,,-1,,,Respeck_s2090495_Lying down on left_Singing_trimmed_27-09-2023_17-54-39
