timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
1696249198551,0.040527344,-0.09429932,-1.0025024,-0.421875,-0.5625,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249198599,0.040527344,-0.08453369,-0.99664307,-0.515625,-0.4375,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249198627,0.03515625,-0.085510254,-1.0025024,-0.53125,-0.171875,-0.21875,Respeck,Lying down on stomach,-1,s2091784,
1696249198672,0.033691406,-0.08453369,-0.9956665,-0.6875,0.015625,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249198747,0.032958984,-0.08892822,-1.0044556,-1.078125,-0.0625,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249198749,0.038085938,-0.08917236,-0.975647,-0.4375,-0.046875,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249198791,0.027832031,-0.09161377,-1.0320435,-1.25,-0.796875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249198821,0.038330078,-0.08746338,-0.9976196,-0.328125,-0.609375,0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249198876,0.029052734,-0.09234619,-0.99298096,-0.28125,-0.703125,-0.171875,Respeck,Lying down on stomach,-1,s2091784,
1696249198911,0.03149414,-0.09088135,-0.9981079,-0.390625,-0.875,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249198983,0.035888672,-0.09259033,-0.99468994,-0.203125,-0.703125,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249199003,0.036621094,-0.08746338,-0.9973755,-0.390625,-0.796875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249199031,0.03466797,-0.09039307,-1.0010376,-0.09375,-0.546875,-0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249199061,0.03466797,-0.086242676,-1.0022583,-0.421875,-0.40625,-0.28125,Respeck,Lying down on stomach,-1,s2091784,
1696249199107,0.03540039,-0.09210205,-0.991272,-0.21875,-0.375,-0.25,Respeck,Lying down on stomach,-1,s2091784,
1696249199151,0.038085938,-0.086242676,-0.9951782,-0.046875,-0.515625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249199181,0.036376953,-0.08770752,-0.9985962,-0.1875,-0.21875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249199227,0.03466797,-0.08868408,-0.99835205,0.046875,-0.4375,-0.15625,Respeck,Lying down on stomach,-1,s2091784,
1696249199271,0.032470703,-0.09112549,-1.0032349,-0.328125,-0.34375,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249199301,0.037841797,-0.08746338,-0.9944458,-0.328125,-0.609375,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249199346,0.032470703,-0.08917236,-0.9944458,-0.484375,-0.546875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249199392,0.025878906,-0.09429932,-1.005188,-0.265625,-0.984375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249199421,0.036865234,-0.08428955,-0.9871216,-0.546875,-0.6875,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249199467,0.028808594,-0.089416504,-1.0037231,-0.59375,-0.84375,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249199563,0.036865234,-0.089904785,-1.0005493,-0.265625,-0.734375,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249199565,0.037353516,-0.085998535,-0.9990845,-0.578125,-0.84375,0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249199590,0.033691406,-0.08721924,-1.0037231,-0.59375,-0.96875,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249199618,0.037841797,-0.08843994,-0.99542236,-0.75,-0.828125,0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249199666,0.036376953,-0.089904785,-0.99835205,-0.953125,-0.828125,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249199714,0.04296875,-0.09210205,-1.006897,-1.15625,-0.859375,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249199736,0.041259766,-0.09552002,-1.0012817,-0.9375,-1.078125,-0.3125,Respeck,Lying down on stomach,-1,s2091784,
1696249199781,0.042236328,-0.089904785,-1.0039673,-1.1875,-0.765625,0.046875,Respeck,Lying down on stomach,-1,s2091784,
1696249199826,0.03955078,-0.097229004,-0.99420166,-1.25,-0.578125,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249199856,0.039794922,-0.09063721,-0.9873657,-0.734375,-0.890625,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249199901,0.038085938,-0.097961426,-1.0071411,-0.75,-1.296875,0.078125,Respeck,Lying down on stomach,-1,s2091784,
1696249199946,0.041992188,-0.097961426,-1.0012817,-0.796875,-1.109375,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249199976,0.045898438,-0.10089111,-0.99102783,-0.609375,-1.140625,-0.109375,Respeck,Lying down on stomach,-1,s2091784,
1696249200021,0.046142578,-0.09625244,-1.0015259,-1.28125,-0.890625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
1696249200066,0.04711914,-0.09649658,-1.006897,-0.953125,-0.765625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249200096,0.044677734,-0.097473145,-0.9944458,-1.3125,-0.546875,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249200142,0.05053711,-0.09991455,-1.0039673,-1.28125,-0.84375,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249200186,0.045654297,-0.101867676,-0.99346924,-1.421875,-0.734375,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249200217,0.050048828,-0.10284424,-0.99591064,-1.078125,-1.171875,-0.09375,Respeck,Lying down on stomach,-1,s2091784,
1696249200261,0.045654297,-0.09967041,-0.9998169,-0.90625,-0.875,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249200336,0.048095703,-0.09844971,-0.99786377,-1.078125,-0.90625,-0.1875,Respeck,Lying down on stomach,-1,s2091784,
1696249200337,0.051513672,-0.1026001,-0.9981079,-1.25,-0.6875,-0.25,Respeck,Lying down on stomach,-1,s2091784,
1696249200382,0.048828125,-0.10430908,-0.9907837,-0.6875,-0.84375,-0.015625,Respeck,Lying down on stomach,-1,s2091784,
1696249200411,0.05102539,-0.09844971,-0.9990845,-0.953125,-0.640625,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249200458,0.0546875,-0.10479736,-0.99346924,-0.578125,-0.640625,-0.03125,Respeck,Lying down on stomach,-1,s2091784,
1696249200501,0.05102539,-0.10699463,-0.9866333,-0.578125,-0.578125,-0.203125,Respeck,Lying down on stomach,-1,s2091784,
1696249200531,0.046875,-0.10357666,-0.9993286,-0.609375,-0.53125,-0.0625,Respeck,Lying down on stomach,-1,s2091784,
1696249200576,0.047607422,-0.10284424,-1.0046997,-0.640625,-0.40625,-0.125,Respeck,Lying down on stomach,-1,s2091784,
1696249200621,0.053466797,-0.10430908,-0.9849243,-0.203125,-0.6875,-0.140625,Respeck,Lying down on stomach,-1,s2091784,
