timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
1696250172822,0.10864258,-0.082092285,-0.9976196,-0.5,-0.53125,0.078125,Respeck,Lying down on stomach,-1,s2091784,,76
1696250172862,0.10595703,-0.086242676,-0.9968872,-0.578125,-0.5625,-0.046875,Respeck,Lying down on stomach,-1,s2091784,,77
1696250172902,0.109375,-0.08087158,-0.9907837,-0.578125,-0.59375,-0.0625,Respeck,Lying down on stomach,-1,s2091784,,78
1696250172942,0.11010742,-0.078186035,-0.99884033,-0.5,-0.375,-0.078125,Respeck,Lying down on stomach,-1,s2091784,,79
1696250172982,0.111083984,-0.082336426,-0.9961548,-0.875,-0.421875,-0.0625,Respeck,Lying down on stomach,-1,s2091784,,80
1696250173022,0.10986328,-0.08843994,-0.9961548,-0.734375,-0.4375,-0.15625,Respeck,Lying down on stomach,-1,s2091784,,81
1696250173062,0.111816406,-0.08795166,-0.99468994,-0.78125,-0.4375,-0.125,Respeck,Lying down on stomach,-1,s2091784,,82
1696250173102,0.1105957,-0.08746338,-0.9841919,-0.265625,-0.421875,-0.09375,Respeck,Lying down on stomach,-1,s2091784,,83
1696250173142,0.111816406,-0.08892822,-0.99102783,-0.078125,-0.484375,-0.046875,Respeck,Lying down on stomach,-1,s2091784,,84
1696250173182,0.114990234,-0.08306885,-0.99468994,-0.390625,-0.53125,-0.046875,Respeck,Lying down on stomach,-1,s2091784,,85
1696250173222,0.119628906,-0.09185791,-0.99420166,-0.609375,-0.4375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,,86
1696250173262,0.11010742,-0.08868408,-0.9944458,-0.328125,-0.5625,-0.109375,Respeck,Lying down on stomach,-1,s2091784,,87
1696250173302,0.109375,-0.08917236,-0.9939575,-0.34375,-0.65625,-0.140625,Respeck,Lying down on stomach,-1,s2091784,,88
1696250173342,0.11035156,-0.089416504,-0.98443604,-0.40625,-0.609375,-0.09375,Respeck,Lying down on stomach,-1,s2091784,,89
1696250173382,0.10498047,-0.089904785,-0.9932251,-0.328125,-0.5,-0.0625,Respeck,Lying down on stomach,-1,s2091784,,90
1696250173422,0.11669922,-0.082336426,-0.99591064,-0.59375,-0.453125,-0.078125,Respeck,Lying down on stomach,-1,s2091784,,91
1696250173462,0.10913086,-0.0803833,-0.99102783,-0.1875,-0.59375,-0.234375,Respeck,Lying down on stomach,-1,s2091784,,92
1696250173502,0.11694336,-0.08306885,-1.0029907,-0.5,-0.375,-0.015625,Respeck,Lying down on stomach,-1,s2091784,,93
1696250173542,0.10620117,-0.082336426,-0.9932251,-0.375,-0.484375,-0.203125,Respeck,Lying down on stomach,-1,s2091784,,94
1696250173582,0.10595703,-0.08892822,-0.9949341,-0.703125,-0.375,-0.203125,Respeck,Lying down on stomach,-1,s2091784,,95
1696250173622,0.10961914,-0.08502197,-0.9902954,-0.078125,-0.484375,-0.140625,Respeck,Lying down on stomach,-1,s2091784,,96
1696250173662,0.10864258,-0.085510254,-0.987854,-0.34375,-0.359375,-0.15625,Respeck,Lying down on stomach,-1,s2091784,,97
1696250173702,0.110839844,-0.089904785,-0.9976196,-0.46875,-0.4375,-0.046875,Respeck,Lying down on stomach,-1,s2091784,,98
1696250173742,0.10986328,-0.0869751,-0.9920044,-0.46875,-0.640625,-0.015625,Respeck,Lying down on stomach,-1,s2091784,,99
1696250173782,0.11401367,-0.08453369,-1.00177,-0.3125,-0.53125,-0.046875,Respeck,Lying down on stomach,-1,s2091784,,100
1696250173822,0.107177734,-0.08477783,-0.99298096,-0.53125,-0.53125,-0.0625,Respeck,Lying down on stomach,-1,s2091784,,101
1696250173862,0.10473633,-0.08502197,-0.9944458,-0.328125,-0.578125,-0.046875,Respeck,Lying down on stomach,-1,s2091784,,102
1696250173902,0.11035156,-0.082336426,-0.9924927,-0.328125,-0.375,-0.03125,Respeck,Lying down on stomach,-1,s2091784,,103
1696250173942,0.110839844,-0.07989502,-0.9985962,-0.515625,-0.390625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,,104
1696250173982,0.10888672,-0.08746338,-0.9907837,-0.421875,-0.375,-0.125,Respeck,Lying down on stomach,-1,s2091784,,105
1696250174022,0.107910156,-0.08843994,-0.9915161,-0.515625,-0.484375,-0.015625,Respeck,Lying down on stomach,-1,s2091784,,106
1696250174062,0.11206055,-0.09112549,-0.98931885,-0.328125,-0.421875,-0.140625,Respeck,Lying down on stomach,-1,s2091784,,107
1696250174102,0.107177734,-0.078430176,-0.989563,-0.234375,-0.46875,-0.09375,Respeck,Lying down on stomach,-1,s2091784,,108
1696250174142,0.10839844,-0.08917236,-0.991272,-0.375,-0.546875,0.046875,Respeck,Lying down on stomach,-1,s2091784,,109
1696250174182,0.115478516,-0.082336426,-0.99102783,-0.515625,-0.40625,-0.015625,Respeck,Lying down on stomach,-1,s2091784,,110
1696250174222,0.114746094,-0.09039307,-0.9949341,-0.578125,-0.484375,-0.140625,Respeck,Lying down on stomach,-1,s2091784,,111
1696250174262,0.111083984,-0.077941895,-0.9985962,-0.328125,-0.359375,-0.1875,Respeck,Lying down on stomach,-1,s2091784,,112
1696250174302,0.11401367,-0.09112549,-0.99957275,-0.734375,-0.40625,-0.1875,Respeck,Lying down on stomach,-1,s2091784,,113
1696250174342,0.107666016,-0.08062744,-1.0025024,-0.734375,-0.359375,0.015625,Respeck,Lying down on stomach,-1,s2091784,,114
1696250174382,0.10839844,-0.08917236,-0.9949341,-0.421875,-0.4375,0.0,Respeck,Lying down on stomach,-1,s2091784,,115
1696250174422,0.110839844,-0.08648682,-0.9885864,-0.03125,-0.515625,-0.09375,Respeck,Lying down on stomach,-1,s2091784,,116
1696250174462,0.111572266,-0.08770752,-0.99664307,-0.53125,-0.265625,-0.125,Respeck,Lying down on stomach,-1,s2091784,,117
1696250174502,0.10229492,-0.08282471,-0.9985962,-0.671875,-0.546875,-0.0625,Respeck,Lying down on stomach,-1,s2091784,,118
1696250174542,0.114990234,-0.08526611,-0.9924927,-0.109375,-0.609375,-0.109375,Respeck,Lying down on stomach,-1,s2091784,,119
1696250174582,0.10839844,-0.08306885,-0.9937134,-0.4375,-0.40625,-0.109375,Respeck,Lying down on stomach,-1,s2091784,,120
1696250174622,0.11279297,-0.085998535,-0.9890747,-0.34375,-0.375,-0.09375,Respeck,Lying down on stomach,-1,s2091784,,121
1696250174662,0.110839844,-0.08721924,-0.9985962,-0.46875,-0.515625,-0.109375,Respeck,Lying down on stomach,-1,s2091784,,122
