timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,ind
1696242743764,0.040039062,0.18945312,-0.01171875,44.0625,30.78125,45.34375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,46
1696242743804,0.41992188,-0.041015625,0.044921875,-14.71875,-54.09375,201.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,47
1696242743844,-0.040039062,-0.028320312,-0.018554688,58.53125,-107.34375,250.78125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,48
1696242743884,-1.9912109,0.421875,-0.59277344,188.40625,87.625,-172.78125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,49
1696242743924,-1.5634766,0.5498047,-0.4951172,260.78125,20.25,77.75,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,50
1696242743964,-1.4082031,0.76171875,-0.6533203,100.8125,-121.71875,27.03125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,51
1696242744004,-1.4619141,0.34277344,-0.81347656,34.34375,-75.46875,136.96875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,52
1696242744044,-1.1552734,-0.125,-0.7207031,215.0625,-65.6875,182.125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,53
1696242744084,-0.8232422,0.07324219,-0.3076172,322.0625,98.375,133.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,54
1696242744124,-0.4560547,0.7529297,0.8847656,135.3125,198.15625,-0.625,-98.6875,13.5625,-125.75,Thingy,Running,-1,s2091784,,55
1696242744164,-0.56152344,-0.12109375,-0.3154297,-999.40625,61.875,-284.0625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,56
1696242744204,-0.28808594,-0.7519531,0.21289062,166.5,41.15625,96.125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,57
1696242744244,-0.31152344,-0.21875,0.08203125,61.625,-127.40625,188.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,58
1696242744284,-1.0175781,-0.00390625,-0.4189453,70.53125,-139.125,-135.6875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,59
1696242744324,-1.9912109,0.3251953,-0.9169922,-249.53125,-140.09375,-521.375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,60
1696242744364,-1.9912109,0.89746094,-0.5595703,-225.78125,321.125,-326.90625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,61
1696242744404,-1.609375,1.6367188,1.7539062,-428.84375,354.78125,-125.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,62
1696242744444,-1.1328125,0.13574219,-0.12890625,142.3125,-45.625,97.40625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,63
1696242744484,-0.23242188,0.1171875,-0.14550781,96.90625,-41.46875,134.28125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,64
1696242744524,0.17382812,0.0107421875,-0.109375,94.90625,3.9375,157.59375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,65
1696242744564,0.034179688,-0.001953125,-0.087890625,103.25,-27.625,127.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,66
1696242744604,-0.25878906,-0.060546875,-0.095703125,56.125,-36.78125,92.84375,-102.0,8.125,-117.8125,Thingy,Running,-1,s2091784,,67
1696242744644,-1.9912109,0.171875,-0.3671875,108.3125,-14.75,-37.1875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,68
1696242744684,-1.5244141,0.5019531,-0.40234375,154.96875,4.78125,-39.96875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,69
1696242744724,-1.5732422,0.72753906,-0.77441406,110.40625,-136.6875,-25.9375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,70
1696242744764,-1.3066406,0.36328125,-0.72558594,-47.875,-23.65625,71.96875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,71
1696242744804,-1.1103516,0.0146484375,-0.5595703,106.75,-116.65625,146.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,72
1696242744844,-0.984375,0.32421875,-0.4482422,215.75,37.3125,123.40625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,73
1696242744884,-0.75097656,0.068359375,-0.15625,64.3125,203.53125,79.15625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,74
1696242744924,-0.6376953,-0.24316406,-0.46972656,-1024.0,34.625,-125.0625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,75
1696242744964,-0.3046875,-0.38671875,-0.0859375,252.125,-121.78125,104.375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,76
1696242745004,-0.53027344,-0.05859375,-0.005859375,202.8125,-80.15625,106.0,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,77
1696242745044,-1.1796875,0.15234375,-0.44433594,121.9375,-187.34375,-246.78125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,78
1696242745084,-1.9912109,0.48632812,-0.70214844,-460.78125,-217.75,-421.5,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,79
1696242745124,-1.2138672,1.4306641,0.5,-215.46875,454.3125,-273.1875,-103.5,3.625,-102.0625,Thingy,Running,-1,s2091784,,80
1696242745164,-1.1328125,0.5126953,0.18066406,101.3125,-77.375,50.53125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,81
1696242745204,-0.53222656,0.27734375,-0.10839844,125.28125,-2.28125,115.21875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,82
1696242745244,-0.19628906,0.17871094,-0.038085938,69.5625,35.625,118.09375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,83
1696242745284,-0.18164062,-0.09082031,-0.09765625,-128.3125,2.71875,146.65625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,84
1696242745324,-0.060546875,-0.14746094,-0.076171875,153.5,-55.5625,97.03125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,85
1696242745364,-1.0683594,-0.1171875,-0.15820312,12.9375,94.5625,135.8125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,86
1696242745404,-1.9912109,0.18945312,-0.3095703,78.71875,22.5625,-137.40625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,87
1696242745444,-0.7910156,0.43652344,-0.22167969,38.9375,-48.90625,-124.625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,88
1696242745484,-1.9912109,0.79785156,-0.86328125,108.875,-11.5,-75.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,89
1696242745524,-0.92578125,0.20800781,-0.6796875,51.9375,-130.15625,104.71875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,90
1696242745564,-1.140625,0.21972656,-0.6015625,291.625,-127.46875,171.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,91
1696242745604,-0.7890625,0.28710938,-0.38476562,-42.6875,-2.40625,82.875,-99.3125,10.0625,-110.3125,Thingy,Running,-1,s2091784,,92
1696242745644,-0.6972656,0.0087890625,-0.18066406,-14.0625,192.28125,68.53125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,93
1696242745684,-1.0888672,0.44726562,1.9707031,-30.78125,211.75,112.53125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,94
1696242745724,-0.63671875,-0.8144531,0.16113281,-25.28125,85.3125,-26.5625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,95
1696242745764,-0.6328125,-0.048828125,-0.15625,194.9375,-188.6875,44.0625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,96
1696242745804,-1.9042969,0.1875,-0.671875,104.84375,-145.46875,-258.5,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,97
1696242745844,-1.9912109,0.5722656,-0.5371094,-257.8125,-86.53125,-330.5,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,98
1696242745884,-1.5527344,1.6386719,0.36132812,-420.375,381.75,-263.5,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,99
1696242745924,-1.0898438,0.44140625,-0.022460938,141.65625,-75.96875,36.1875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,100
1696242745964,-0.4609375,0.27539062,-0.16992188,132.90625,-7.96875,89.40625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,101
1696242746004,-0.17578125,0.19628906,-0.080078125,90.4375,7.1875,102.96875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,102
1696242746044,0.11328125,0.07714844,0.24804688,-29.125,61.1875,146.28125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,103
1696242746084,-0.078125,-0.08886719,-0.08300781,2.5625,-57.53125,122.25,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,104
1696242746124,-0.9628906,-0.038085938,-0.08203125,46.375,18.46875,77.4375,-101.5625,7.8125,-109.875,Thingy,Running,-1,s2091784,,105
1696242746164,-1.9912109,0.12988281,-0.5,172.03125,153.09375,-154.375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,106
1696242746204,-1.0595703,0.47460938,-0.24316406,84.9375,-34.21875,-100.53125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,107
1696242746244,-1.9912109,0.828125,-0.9404297,144.875,-22.84375,2.625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,108
1696242746284,-0.9472656,0.25683594,-0.52734375,15.6875,-106.65625,104.65625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,109
1696242746324,-1.0244141,0.19824219,-0.5839844,177.28125,-215.0,149.65625,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,110
1696242746364,-0.94433594,0.421875,-0.48828125,139.5,-100.0625,113.03125,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,111
1696242746404,-0.80859375,0.005859375,-0.19824219,45.21875,214.09375,60.34375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,112
1696242746444,-0.8408203,-0.051757812,-0.13476562,29.34375,276.71875,98.4375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,113
1696242746484,-0.6826172,-0.2998047,-0.043945312,-1024.0,134.0625,-136.84375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,114
1696242746524,-0.5419922,-0.24023438,-0.14941406,230.6875,-184.40625,162.34375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,115
1696242746564,-1.0664062,0.022460938,-0.4091797,356.5625,-133.09375,-156.875,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,116
1696242746604,-1.9912109,0.30371094,-0.7314453,-281.5625,-222.125,-375.5625,-93.125,20.125,-111.375,Thingy,Running,-1,s2091784,,117
1696242746644,-1.9912109,0.6894531,-0.41503906,-415.46875,177.71875,-365.84375,0.0,0.0,0.0,Thingy,Running,-1,s2091784,,118
