,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
15,1696242395092,-0.76000977,-0.3118286,0.6847534,0.046875,-0.5625,0.453125,15
16,1696242395132,-0.75146484,-0.28570557,0.6959839,-0.21875,-1.453125,-0.59375,16
17,1696242395172,-0.7253418,-0.2793579,0.682312,-1.265625,-0.5625,-0.296875,17
18,1696242395212,-0.72143555,-0.26153564,0.67596436,-1.265625,0.015625,0.28125,18
19,1696242395252,-0.73095703,-0.26275635,0.6845093,0.953125,0.359375,1.71875,19
20,1696242395292,-0.703125,-0.24859619,0.58636475,-3.40625,-0.796875,1.875,20
21,1696242395332,-0.7182617,-0.25616455,0.6481323,-14.109375,-5.015625,-7.03125,21
22,1696242395372,-0.6933594,-0.21173096,0.62323,2.828125,-3.609375,-13.96875,22
23,1696242395412,-0.6821289,-0.25616455,0.6815796,-8.21875,4.8125,-12.203125,23
24,1696242395452,-0.88378906,-0.26885986,0.83807373,2.828125,1.984375,-6.59375,24
25,1696242395492,-0.828125,-0.3040161,0.7399292,-2.984375,4.875,0.8125,25
26,1696242395532,-0.763916,-0.26812744,0.7206421,-4.734375,3.78125,0.515625,26
27,1696242395572,-0.7380371,-0.22418213,0.6881714,-7.40625,7.46875,2.421875,27
28,1696242395612,-0.7219238,-0.24884033,0.69207764,-3.390625,2.765625,-0.9375,28
29,1696242395652,-0.7097168,-0.20465088,0.696228,-1.140625,1.234375,-1.75,29
30,1696242395692,-0.7277832,-0.19342041,0.6835327,-1.90625,1.078125,0.375,30
31,1696242395732,-0.7727051,-0.21832275,0.72088623,-0.78125,2.9375,-0.75,31
32,1696242395772,-0.77001953,-0.2420044,0.7362671,0.34375,2.453125,1.125,32
33,1696242395812,-0.7619629,-0.23175049,0.71795654,0.921875,0.46875,2.421875,33
34,1696242395852,-0.7414551,-0.24151611,0.7614136,0.328125,3.796875,3.625,34
35,1696242395892,-0.7687988,-0.27471924,0.72406006,3.265625,-0.375,5.75,35
36,1696242395932,-0.80322266,-0.27301025,0.7411499,2.3125,-3.03125,6.296875,36
37,1696242395972,-0.7163086,-0.23760986,0.7020874,0.609375,0.375,5.609375,37
38,1696242396012,-0.71435547,-0.23175049,0.68182373,2.34375,-2.234375,7.109375,38
39,1696242396052,-0.70654297,-0.26593018,0.6742554,2.078125,2.078125,4.734375,39
40,1696242396092,-0.70288086,-0.22808838,0.6793823,4.25,-0.828125,3.25,40
41,1696242396132,-0.7282715,-0.25152588,0.6898804,4.09375,0.984375,3.125,41
42,1696242396172,-0.7331543,-0.29644775,0.6832886,3.296875,1.265625,2.125,42
43,1696242396212,-0.75561523,-0.29327393,0.6847534,1.90625,-2.046875,1.171875,43
44,1696242396252,-0.75561523,-0.286438,0.68133545,0.28125,-1.75,0.5,44
45,1696242396292,-0.7336426,-0.28033447,0.6791382,0.140625,-1.140625,-0.1875,45
46,1696242396332,-0.7109375,-0.25421143,0.6869507,-0.953125,-0.6875,-0.28125,46
47,1696242396372,-0.7363281,-0.25152588,0.666687,-0.921875,0.0625,0.703125,47
48,1696242396412,-0.6970215,-0.26202393,0.5956421,-4.0625,-0.796875,-0.015625,48
49,1696242396452,-0.71777344,-0.24859619,0.6185913,-12.90625,-3.21875,-10.140625,49
50,1696242396492,-0.7282715,-0.19073486,0.68182373,6.4375,-7.1875,-14.03125,50
51,1696242396532,-0.72436523,-0.27252197,0.7584839,-6.765625,7.078125,-13.265625,51
52,1696242396572,-0.9042969,-0.29840088,0.76434326,2.578125,0.375,-5.265625,52
53,1696242396612,-0.8405762,-0.27105713,0.72698975,-3.578125,2.296875,0.203125,53
54,1696242396652,-0.704834,-0.23687744,0.68670654,-4.796875,3.1875,1.1875,54
55,1696242396692,-0.76293945,-0.24371338,0.68621826,-5.875,5.125,3.296875,55
56,1696242396732,-0.72021484,-0.23565674,0.7081909,-0.703125,2.390625,-0.984375,56
57,1696242396772,-0.7158203,-0.19195557,0.6757202,-0.28125,1.21875,0.234375,57
58,1696242396812,-0.75634766,-0.20904541,0.6976929,-1.296875,1.890625,0.28125,58
59,1696242396852,-0.76464844,-0.23345947,0.71429443,-0.0625,2.328125,1.4375,59
60,1696242396892,-0.7607422,-0.23345947,0.7145386,-0.53125,1.625,2.46875,60
61,1696242396932,-0.7519531,-0.2312622,0.7238159,-0.25,2.0,2.671875,61
62,1696242396972,-0.76171875,-0.25201416,0.7501831,-1.09375,4.609375,5.390625,62
63,1696242397012,-0.79467773,-0.27374268,0.7470093,0.46875,2.109375,6.078125,63
64,1696242397052,-0.74609375,-0.25836182,0.7045288,3.015625,0.3125,4.53125,64
65,1696242397092,-0.7158203,-0.24151611,0.69989014,5.59375,1.875,5.890625,65
66,1696242397132,-0.7199707,-0.26617432,0.6642456,5.09375,1.3125,6.828125,66
67,1696242397172,-0.69311523,-0.2564087,0.6671753,5.890625,2.859375,3.34375,67
68,1696242397212,-0.70092773,-0.26593018,0.67523193,5.9375,0.546875,2.09375,68
69,1696242397252,-0.7314453,-0.302063,0.6954956,2.921875,-0.796875,2.59375,69
70,1696242397292,-0.75927734,-0.30426025,0.6757202,0.328125,-1.03125,1.703125,70
71,1696242397332,-0.7380371,-0.300354,0.68865967,0.90625,0.578125,-0.25,71
72,1696242397372,-0.7211914,-0.28399658,0.6884155,-0.5,-1.5,0.40625,72
73,1696242397412,-0.7258301,-0.2774048,0.6749878,-1.609375,-1.828125,-0.09375,73
74,1696242397452,-0.734375,-0.2625122,0.67352295,-1.6875,-1.71875,-1.03125,74
75,1696242397492,-0.71972656,-0.2649536,0.5973511,-1.65625,-3.421875,0.578125,75
76,1696242397532,-0.720459,-0.24591064,0.5795288,-6.59375,-4.484375,-4.4375,76
77,1696242397572,-0.7216797,-0.22589111,0.7020874,-3.0,-3.609375,-10.21875,77
78,1696242397612,-0.6899414,-0.29205322,0.7555542,-1.34375,-3.484375,-4.921875,78
79,1696242397652,-0.83935547,-0.31524658,0.7086792,-1.265625,2.421875,-3.65625,79
80,1696242397692,-0.81274414,-0.22467041,0.69451904,-2.03125,2.84375,-1.53125,80
81,1696242397732,-0.74902344,-0.27545166,0.7057495,-4.046875,0.203125,-1.328125,81
82,1696242397772,-0.7753906,-0.25836182,0.6835327,-2.578125,3.578125,-0.609375,82
83,1696242397812,-0.7480469,-0.24249268,0.6864624,-1.390625,1.953125,-0.3125,83
84,1696242397852,-0.7397461,-0.2263794,0.6815796,-0.875,2.109375,-0.359375,84
85,1696242397892,-0.75146484,-0.23052979,0.69573975,-2.140625,2.484375,-0.421875,85
86,1696242397932,-0.74975586,-0.23272705,0.6967163,-0.546875,2.90625,0.109375,86
87,1696242397972,-0.765625,-0.24664307,0.71307373,-0.875,3.296875,2.140625,87
88,1696242398012,-0.76171875,-0.2444458,0.7145386,-1.609375,2.5,1.921875,88
89,1696242398052,-0.75097656,-0.24786377,0.7184448,-2.125,2.984375,2.515625,89
90,1696242398092,-0.75756836,-0.26055908,0.7262573,-0.609375,4.0625,2.90625,90
91,1696242398132,-0.7675781,-0.26275635,0.7206421,0.296875,0.921875,2.421875,91
92,1696242398172,-0.7270508,-0.24102783,0.7362671,3.03125,0.625,2.640625,92
93,1696242398212,-0.73168945,-0.24957275,0.6942749,3.125,1.5625,5.546875,93
94,1696242398252,-0.75219727,-0.2649536,0.6757202,4.296875,-0.5,5.546875,94
95,1696242398292,-0.7336426,-0.28204346,0.7069702,4.265625,0.9375,3.046875,95
96,1696242398332,-0.7260742,-0.2798462,0.68011475,3.78125,0.453125,2.34375,96
97,1696242398372,-0.7297363,-0.2642212,0.682312,3.328125,1.375,1.984375,97
98,1696242398412,-0.7368164,-0.2930298,0.67962646,2.5,-0.296875,1.84375,98
99,1696242398452,-0.732666,-0.2925415,0.6762085,1.3125,-1.265625,0.6875,99
100,1696242398492,-0.7312012,-0.27178955,0.680603,0.25,-1.625,0.4375,100
101,1696242398532,-0.7297363,-0.2654419,0.67523193,-0.953125,-1.171875,-0.171875,101
102,1696242398572,-0.7307129,-0.27130127,0.6779175,-0.078125,-0.578125,0.421875,102
103,1696242398612,-0.74316406,-0.2720337,0.6803589,1.1875,-0.5,1.015625,103
104,1696242398652,-0.7089844,-0.25787354,0.5751343,-3.09375,-0.484375,1.546875,104
105,1696242398692,-0.7272949,-0.24493408,0.65057373,-10.640625,-2.453125,-6.984375,105
106,1696242398732,-0.70996094,-0.222229,0.7645874,7.734375,-4.1875,-7.9375,106
107,1696242398772,-0.751709,-0.36895752,0.70306396,-4.859375,-0.65625,-2.296875,107
108,1696242398812,-0.8483887,-0.2781372,0.6937866,-1.4375,4.1875,-2.59375,108
109,1696242398852,-0.7585449,-0.24908447,0.7133179,-3.1875,3.15625,-2.9375,109
110,1696242398892,-0.7531738,-0.30426025,0.68963623,-3.890625,-0.265625,-0.46875,110
111,1696242398932,-0.7541504,-0.2444458,0.697937,-2.484375,4.171875,0.953125,111
