,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
120,1696260352620,-2.0,0.5107422,-0.47753906,78.71875,-301.9375,14.875,0.0,0.0,0.0,120
121,1696260352660,-2.0,0.9091797,-0.3544922,82.375,-301.21875,-158.34375,0.0,0.0,0.0,121
122,1696260352700,-2.0,-0.051757812,0.4638672,131.03125,-352.0625,-48.3125,0.0,0.0,0.0,122
123,1696260352740,-1.1005859,-0.024414062,0.30566406,118.9375,-247.375,-56.5,0.0,0.0,0.0,123
124,1696260352780,0.07421875,-0.09863281,-0.059570312,252.90625,-204.78125,-2.21875,0.0,0.0,0.0,124
125,1696260352820,1.2148438,0.2998047,-0.63964844,64.75,-8.6875,-53.625,0.0,0.0,0.0,125
126,1696260352860,0.23925781,-0.015625,-0.6845703,-138.03125,188.03125,-17.375,0.0,0.0,0.0,126
127,1696260352900,-0.17871094,0.060546875,0.28808594,-95.1875,174.4375,21.28125,0.0,0.0,0.0,127
128,1696260352940,-1.4550781,0.048828125,1.2265625,-21.625,85.8125,5.09375,0.0,0.0,0.0,128
129,1696260352980,0.29101562,-0.026367188,-1.5576172,-155.90625,-80.875,10.03125,0.0,0.0,0.0,129
130,1696260353020,-1.9345703,0.23632812,-0.125,157.34375,-171.65625,63.3125,-109.625,27.5,-45.5,130
131,1696260353060,-1.1591797,0.2890625,-0.18066406,-168.40625,232.53125,-20.1875,0.0,0.0,0.0,131
132,1696260353100,-2.0,0.13183594,-0.13378906,-58.6875,270.25,112.21875,0.0,0.0,0.0,132
133,1696260353140,-2.0,0.01953125,-0.013671875,-71.6875,397.4375,50.1875,0.0,0.0,0.0,133
134,1696260353180,-2.0,0.13085938,0.5439453,20.3125,227.40625,-35.875,0.0,0.0,0.0,134
135,1696260353220,-0.9111328,0.79296875,0.8125,0.90625,176.25,49.53125,0.0,0.0,0.0,135
136,1696260353260,-0.4873047,-0.049804688,0.9277344,71.6875,30.4375,21.34375,0.0,0.0,0.0,136
137,1696260353300,-0.33984375,-0.43847656,0.5029297,-70.5625,-16.78125,-51.0625,0.0,0.0,0.0,137
138,1696260353340,-0.16015625,0.11230469,0.2939453,-24.625,-119.75,-39.9375,0.0,0.0,0.0,138
139,1696260353380,-0.4873047,0.40234375,0.048828125,-43.84375,-207.34375,15.09375,0.0,0.0,0.0,139
140,1696260353420,-2.0,0.046875,-0.8330078,34.65625,-311.15625,29.75,0.0,0.0,0.0,140
141,1696260353460,-2.0,0.96191406,-0.42578125,60.53125,-280.53125,-181.5,0.0,0.0,0.0,141
142,1696260353500,-2.0,-0.0703125,0.27441406,59.78125,-322.46875,-39.9375,-106.625,29.3125,-61.375,142
143,1696260353540,-1.0791016,0.0009765625,0.20996094,109.90625,-259.59375,-49.21875,0.0,0.0,0.0,143
144,1696260353580,0.14550781,0.072265625,-0.14746094,229.0,-207.65625,-12.90625,0.0,0.0,0.0,144
145,1696260353620,1.3964844,-0.08691406,-0.6201172,63.8125,-0.5625,-52.46875,0.0,0.0,0.0,145
146,1696260353660,0.27929688,0.0078125,-0.7636719,-96.34375,174.96875,-20.1875,0.0,0.0,0.0,146
147,1696260353700,-0.36132812,0.26757812,0.3203125,-76.75,177.125,30.53125,0.0,0.0,0.0,147
148,1696260353740,-1.7636719,0.3076172,1.3095703,-68.125,64.0625,8.625,0.0,0.0,0.0,148
149,1696260353780,1.0644531,-0.28710938,-2.0,-96.6875,-67.5,12.28125,0.0,0.0,0.0,149
150,1696260353820,-2.0,0.66796875,1.1982422,204.625,-318.4375,70.71875,0.0,0.0,0.0,150
151,1696260353860,-0.89941406,0.43847656,0.42871094,-100.1875,149.09375,-16.34375,0.0,0.0,0.0,151
152,1696260353900,-2.0,0.50683594,-0.31933594,-64.34375,250.1875,135.09375,0.0,0.0,0.0,152
153,1696260353940,-2.0,-0.265625,-0.072265625,-134.0,395.5,37.75,0.0,0.0,0.0,153
154,1696260353980,-2.0,0.17773438,0.6455078,44.15625,233.5625,15.65625,0.0,0.0,0.0,154
155,1696260354020,-0.86621094,0.38671875,0.7138672,-32.84375,127.96875,44.03125,-95.5625,35.0,-83.4375,155
156,1696260354060,-0.5605469,-0.26171875,0.8769531,39.78125,1.28125,22.25,0.0,0.0,0.0,156
