# Sensor type: Thingy
# Activity type: Standing
# Activity subtype: Eating
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695310072958,-0.98339844,-0.040039062,-0.048828125,0.5,0.875,0.46875,0.0,0.0,0.0
1695310072989,-0.98046875,-0.040039062,-0.037109375,0.875,0.9375,1.09375,0.0,0.0,0.0
1695310073076,-0.9794922,-0.028320312,-0.04296875,1.0,1.125,0.84375,0.0,0.0,0.0
1695310073078,-0.97753906,-0.033203125,-0.053710938,2.09375,0.15625,1.40625,0.0,0.0,0.0
1695310073107,-0.97265625,-0.017578125,-0.07421875,0.3125,1.0625,0.96875,0.0,0.0,0.0
1695310073199,-0.98046875,-0.01171875,-0.055664062,1.46875,1.0625,1.9375,0.0,0.0,0.0
1695310073201,-0.9707031,-0.018554688,-0.07421875,-0.53125,0.03125,1.6875,0.0,0.0,0.0
1695310073228,-0.9814453,-0.015625,-0.08105469,-1.75,1.125,1.40625,0.0,0.0,0.0
1695310073319,-0.97753906,-0.017578125,-0.083984375,-3.34375,1.65625,1.03125,0.0,0.0,0.0
1695310073320,-0.9863281,-0.009765625,-0.07421875,-4.4375,1.78125,0.59375,0.0,0.0,0.0
1695310073349,-0.97753906,-0.015625,-0.06933594,-5.25,2.03125,0.28125,0.0,0.0,0.0
1695310073409,-0.9785156,-0.020507812,-0.06933594,-5.1875,1.90625,-0.4375,0.0,0.0,0.0
1695310073438,-0.9814453,-0.025390625,-0.078125,-5.53125,1.84375,0.34375,-42.4375,-1.9375,-114.9375
1695310073468,-0.9814453,-0.043945312,-0.05859375,-4.5,1.0625,1.15625,0.0,0.0,0.0
1695310073528,-0.9863281,-0.045898438,-0.056640625,-2.625,0.375,1.28125,0.0,0.0,0.0
1695310073558,-0.99316406,-0.045898438,-0.046875,-1.40625,-1.0625,0.1875,0.0,0.0,0.0
1695310073589,-0.97265625,-0.045898438,-0.064453125,-2.375,-1.625,-1.0,0.0,0.0,0.0
1695310073650,-0.9921875,-0.03125,-0.051757812,-0.28125,-2.53125,-1.0625,0.0,0.0,0.0
1695310073680,-0.96191406,-0.0107421875,-0.080078125,-0.65625,-2.25,-0.875,0.0,0.0,0.0
1695310073710,-0.97558594,0.005859375,-0.06738281,-1.5,-2.1875,-0.1875,0.0,0.0,0.0
1695310073769,-0.96875,-0.0107421875,-0.0625,-2.25,-1.375,0.84375,0.0,0.0,0.0
1695310073799,-0.97753906,-0.018554688,-0.057617188,-1.03125,-0.40625,0.65625,0.0,0.0,0.0
1695310073829,-0.98339844,-0.032226562,-0.045898438,-0.78125,-0.15625,0.46875,0.0,0.0,0.0
1695310073891,-0.9716797,-0.03515625,-0.048828125,0.8125,-1.5625,-0.0625,0.0,0.0,0.0
1695310073918,-0.96777344,-0.028320312,-0.07128906,1.0625,-1.375,-0.4375,-41.875,-1.4375,-116.0
1695310073949,-0.9736328,-0.0126953125,-0.07421875,0.4375,-1.0625,0.21875,0.0,0.0,0.0
1695310074010,-0.98339844,-0.025390625,-0.06640625,0.0,-0.21875,0.96875,0.0,0.0,0.0
1695310074039,-0.98339844,-0.016601562,-0.049804688,0.5625,-0.28125,0.28125,0.0,0.0,0.0
1695310074068,-0.98535156,-0.038085938,-0.059570312,0.4375,-0.59375,-0.6875,0.0,0.0,0.0
1695310074130,-0.96972656,-0.022460938,-0.07324219,-0.59375,0.09375,-1.0,0.0,0.0,0.0
1695310074160,-0.97558594,-0.009765625,-0.07910156,-0.40625,0.375,0.125,0.0,0.0,0.0
1695310074190,-0.9794922,-0.021484375,-0.060546875,0.0,0.4375,0.96875,0.0,0.0,0.0
1695310074251,-0.96875,-0.028320312,-0.06738281,-0.40625,0.03125,0.40625,0.0,0.0,0.0
1695310074279,-0.9794922,-0.038085938,-0.055664062,-0.125,-0.59375,0.0,0.0,0.0,0.0
1695310074309,-0.9765625,-0.022460938,-0.040039062,-0.125,-0.46875,0.0625,0.0,0.0,0.0
1695310074369,-0.9765625,-0.01953125,-0.047851562,1.53125,0.28125,0.71875,0.0,0.0,0.0
1695310074398,-0.98535156,-0.0107421875,-0.06347656,0.4375,0.375,0.46875,0.0,0.0,0.0
1695310074428,-0.97558594,-0.024414062,-0.057617188,1.0,0.5,0.0625,-43.0625,-1.3125,-113.75
1695310074488,-0.98339844,-0.017578125,-0.06542969,0.875,0.9375,0.46875,0.0,0.0,0.0
1695310074519,-0.9765625,-0.025390625,-0.043945312,0.875,1.1875,0.21875,0.0,0.0,0.0
1695310074548,-0.9785156,-0.013671875,-0.06933594,1.28125,1.4375,0.21875,0.0,0.0,0.0
1695310074609,-0.98535156,-0.0078125,-0.057617188,0.5,1.4375,-0.1875,0.0,0.0,0.0
1695310074639,-0.98046875,-0.029296875,-0.056640625,1.40625,0.75,0.40625,0.0,0.0,0.0
1695310074669,-0.9736328,-0.029296875,-0.08105469,0.5,0.625,-0.3125,0.0,0.0,0.0
1695310074729,-0.98339844,-0.026367188,-0.06347656,1.21875,0.6875,-0.625,0.0,0.0,0.0
1695310074763,-0.97753906,-0.018554688,-0.0703125,1.21875,0.5625,-0.4375,0.0,0.0,0.0
1695310074789,-0.97558594,-0.01953125,-0.07128906,1.15625,0.625,0.0625,0.0,0.0,0.0
1695310074851,-0.97753906,-0.0234375,-0.06542969,1.84375,0.5,-0.125,0.0,0.0,0.0
1695310074881,-0.9736328,-0.01171875,-0.06347656,0.5,0.9375,-0.875,0.0,0.0,0.0
1695310074908,-0.9863281,-0.0146484375,-0.064453125,-0.28125,0.03125,-1.0625,-41.375,-1.9375,-115.375
1695310074968,-0.9794922,-0.01171875,-0.061523438,-2.125,-0.53125,-1.09375,0.0,0.0,0.0
1695310074999,-0.9765625,-0.038085938,-0.06738281,-1.34375,-0.78125,-0.8125,0.0,0.0,0.0
1695310075031,-0.9707031,-0.0234375,-0.087890625,-2.0,-0.21875,-0.625,0.0,0.0,0.0
1695310075088,-0.98046875,-0.034179688,-0.06738281,-0.53125,-0.21875,-0.25,0.0,0.0,0.0
1695310075118,-0.98046875,-0.030273438,-0.08691406,-0.125,0.3125,0.0,0.0,0.0,0.0
1695310075148,-0.9716797,-0.021484375,-0.07519531,0.1875,0.375,-0.6875,0.0,0.0,0.0
1695310075210,-0.9746094,-0.0068359375,-0.0703125,-0.71875,-0.03125,-0.375,0.0,0.0,0.0
1695310075239,-0.97558594,-0.034179688,-0.0703125,-1.625,-0.65625,0.46875,0.0,0.0,0.0
1695310075268,-0.9736328,-0.041015625,-0.07910156,-0.125,0.09375,0.40625,0.0,0.0,0.0
1695310075330,-0.97558594,-0.022460938,-0.051757812,-1.15625,0.21875,-0.375,0.0,0.0,0.0
1695310075359,-0.9873047,-0.033203125,-0.06542969,-0.59375,-0.21875,0.0,0.0,0.0,0.0
1695310075388,-0.9814453,-0.030273438,-0.072265625,-1.09375,-0.34375,-0.0625,0.0,0.0,0.0
1695310075481,-0.9785156,-0.036132812,-0.07421875,-0.21875,-0.40625,0.0,-42.0,-3.125,-117.625
1695310075485,-0.9785156,-0.030273438,-0.068359375,0.3125,-0.59375,-0.0625,0.0,0.0,0.0
1695310075510,-0.9716797,-0.029296875,-0.07421875,0.5,-0.53125,0.21875,0.0,0.0,0.0
1695310075569,-0.96777344,-0.02734375,-0.06933594,1.71875,-0.09375,0.65625,0.0,0.0,0.0
1695310075598,-0.98828125,-0.0234375,-0.05859375,1.40625,0.3125,0.0625,0.0,0.0,0.0
1695310075627,-0.9707031,-0.028320312,-0.07128906,1.34375,-0.46875,0.0625,0.0,0.0,0.0
1695310075689,-0.9785156,-0.021484375,-0.0703125,0.25,-0.03125,-0.0625,0.0,0.0,0.0
1695310075720,-0.9794922,-0.037109375,-0.064453125,0.0625,0.09375,0.1875,0.0,0.0,0.0
1695310075749,-0.9707031,-0.033203125,-0.0703125,0.4375,0.375,0.46875,0.0,0.0,0.0
1695310075811,-0.98339844,-0.040039062,-0.0625,0.3125,0.21875,0.46875,0.0,0.0,0.0
1695310075839,-0.9785156,-0.038085938,-0.07910156,0.9375,0.03125,0.21875,0.0,0.0,0.0
1695310075869,-0.9707031,-0.025390625,-0.061523438,1.125,0.4375,0.1875,0.0,0.0,0.0
1695310075930,-0.9716797,-0.033203125,-0.060546875,1.40625,0.21875,0.34375,-41.875,-1.9375,-115.375
1695310075959,-0.9785156,-0.021484375,-0.076171875,1.0,0.15625,0.0625,0.0,0.0,0.0
1695310075989,-0.9716797,-0.026367188,-0.07421875,1.0625,-0.15625,0.28125,0.0,0.0,0.0
1695310076049,-0.97558594,-0.018554688,-0.087890625,1.21875,-0.21875,0.1875,0.0,0.0,0.0
1695310076078,-0.97558594,-0.01953125,-0.08691406,0.625,0.15625,0.0,0.0,0.0,0.0
1695310076108,-0.9785156,-0.024414062,-0.076171875,-0.34375,-0.21875,0.59375,0.0,0.0,0.0
1695310076169,-0.9794922,-0.030273438,-0.06933594,-0.1875,-0.84375,0.53125,0.0,0.0,0.0
1695310076198,-0.9736328,-0.033203125,-0.087890625,-0.53125,-0.90625,0.0625,0.0,0.0,0.0
1695310076228,-0.9765625,-0.029296875,-0.072265625,-0.28125,-1.1875,-0.4375,0.0,0.0,0.0
1695310076289,-0.984375,-0.029296875,-0.08105469,0.625,-1.875,-0.375,0.0,0.0,0.0
1695310076318,-0.9736328,-0.029296875,-0.072265625,-0.46875,-1.1875,-0.5625,0.0,0.0,0.0
1695310076349,-0.97558594,-0.015625,-0.07128906,-1.875,-1.125,-0.4375,0.0,0.0,0.0
1695310076409,-0.9785156,-0.034179688,-0.06347656,-1.40625,-1.25,-0.125,0.0,0.0,0.0
1695310076439,-0.98339844,-0.033203125,-0.08300781,-1.15625,-1.4375,-0.0625,-41.5625,-0.5625,-114.1875
1695310076468,-0.9814453,-0.040039062,-0.06640625,-1.625,-1.0,-0.1875,0.0,0.0,0.0
1695310076530,-0.9785156,-0.029296875,-0.083984375,-1.15625,-0.84375,0.0,0.0,0.0,0.0
1695310076559,-0.97558594,-0.025390625,-0.07421875,-0.46875,-0.40625,0.0625,0.0,0.0,0.0
1695310076590,-0.97265625,-0.026367188,-0.0546875,-0.40625,0.375,0.1875,0.0,0.0,0.0
1695310076651,-0.97558594,-0.025390625,-0.055664062,-0.21875,0.28125,0.40625,0.0,0.0,0.0
1695310076679,-0.9794922,-0.0234375,-0.078125,-1.28125,-0.28125,0.34375,0.0,0.0,0.0
1695310076709,-0.9814453,-0.037109375,-0.07324219,-0.46875,-0.09375,0.1875,0.0,0.0,0.0
1695310076770,-0.9765625,-0.036132812,-0.068359375,-0.40625,-0.40625,-0.1875,0.0,0.0,0.0
1695310076799,-0.9794922,-0.021484375,-0.06640625,-0.53125,-0.40625,0.0625,0.0,0.0,0.0
1695310076828,-0.96972656,-0.03125,-0.061523438,-0.78125,-0.59375,0.1875,0.0,0.0,0.0
1695310076892,-0.9707031,-0.043945312,-0.08691406,-0.0625,-0.46875,0.53125,0.0,0.0,0.0
1695310076919,-0.9873047,-0.0126953125,-0.060546875,0.5625,0.03125,-0.0625,-42.75,-2.8125,-116.875
1695310076949,-0.9736328,-0.028320312,-0.057617188,-0.28125,-0.21875,-0.125,0.0,0.0,0.0
1695310077009,-0.9707031,-0.021484375,-0.06640625,-0.125,0.15625,0.0,0.0,0.0,0.0
1695310077038,-0.96972656,-0.028320312,-0.0625,-0.125,0.3125,0.0625,0.0,0.0,0.0
1695310077069,-0.97558594,-0.033203125,-0.06933594,0.0625,0.09375,0.125,0.0,0.0,0.0
1695310077130,-0.9765625,-0.0390625,-0.06933594,-0.0625,0.03125,0.0625,0.0,0.0,0.0
1695310077159,-0.9736328,-0.038085938,-0.061523438,0.4375,-0.28125,0.125,0.0,0.0,0.0
1695310077188,-0.97753906,-0.029296875,-0.061523438,-0.46875,-0.53125,0.21875,0.0,0.0,0.0
1695310077250,-0.97558594,-0.029296875,-0.07519531,-0.21875,-0.53125,0.34375,0.0,0.0,0.0
1695310077279,-0.9794922,-0.033203125,-0.05078125,-0.0625,-0.71875,0.53125,0.0,0.0,0.0
1695310077309,-0.984375,-0.026367188,-0.06933594,-0.84375,-0.59375,0.40625,0.0,0.0,0.0
1695310077370,-0.9746094,-0.028320312,-0.06738281,-0.53125,-0.53125,0.0625,0.0,0.0,0.0
1695310077400,-0.97558594,-0.026367188,-0.059570312,0.0,-0.46875,0.0,0.0,0.0,0.0
1695310077428,-0.9736328,-0.0078125,-0.078125,-1.21875,-0.03125,-0.5,-42.875,-1.9375,-114.375
1695310077489,-0.9765625,-0.026367188,-0.07324219,-1.9375,-0.09375,0.34375,0.0,0.0,0.0
1695310077518,-0.98046875,-0.030273438,-0.064453125,-2.5625,-0.09375,0.46875,0.0,0.0,0.0
1695310077548,-0.97558594,-0.044921875,-0.061523438,-2.1875,-0.71875,0.34375,0.0,0.0,0.0
1695310077610,-0.9902344,-0.045898438,-0.0703125,0.0625,-1.375,-0.625,0.0,0.0,0.0
1695310077641,-0.97753906,-0.030273438,-0.0703125,1.0,-1.1875,-1.34375,0.0,0.0,0.0
1695310077669,-0.96875,-0.01171875,-0.06542969,2.625,-0.65625,-1.46875,0.0,0.0,0.0
1695310077759,-0.9736328,-0.0126953125,-0.059570312,2.21875,-0.34375,-0.75,0.0,0.0,0.0
1695310077763,-0.98046875,-0.025390625,-0.076171875,1.46875,0.375,0.40625,0.0,0.0,0.0
1695310077791,-0.97753906,-0.028320312,-0.06738281,0.5625,0.15625,0.125,0.0,0.0,0.0
1695310077849,-0.98828125,-0.030273438,-0.061523438,-0.21875,0.09375,-0.125,0.0,0.0,0.0
1695310077879,-0.96972656,-0.041992188,-0.068359375,-0.0625,-0.40625,0.28125,0.0,0.0,0.0
1695310077909,-0.9736328,-0.047851562,-0.044921875,0.1875,-0.21875,0.34375,-42.3125,-1.3125,-116.3125
1695310077970,-0.98339844,-0.049804688,-0.0625,-0.40625,-0.21875,0.1875,0.0,0.0,0.0
1695310077999,-0.97753906,-0.0234375,-0.072265625,-0.40625,-0.65625,0.34375,0.0,0.0,0.0
1695310078028,-0.9824219,-0.022460938,-0.0703125,-0.84375,-0.34375,0.65625,0.0,0.0,0.0
1695310078089,-0.9814453,-0.021484375,-0.06738281,-1.75,-0.28125,1.03125,0.0,0.0,0.0
1695310078118,-0.97753906,-0.03125,-0.076171875,-1.28125,-0.46875,1.03125,0.0,0.0,0.0
1695310078148,-0.9873047,-0.028320312,-0.051757812,-1.15625,-0.53125,0.84375,0.0,0.0,0.0
1695310078209,-0.984375,-0.03125,-0.06640625,-0.96875,-1.25,0.40625,0.0,0.0,0.0
1695310078238,-0.98046875,-0.03125,-0.07128906,-1.15625,-0.84375,0.21875,0.0,0.0,0.0
1695310078269,-0.984375,-0.024414062,-0.053710938,-0.1875,-0.59375,0.53125,0.0,0.0,0.0
1695310078328,-0.97558594,-0.026367188,-0.059570312,0.0,-0.78125,0.53125,0.0,0.0,0.0
1695310078360,-0.9765625,-0.03125,-0.05078125,1.15625,-0.53125,-0.0625,0.0,0.0,0.0
1695310078388,-0.96972656,-0.037109375,-0.083984375,0.5625,-0.46875,-0.0625,0.0,0.0,0.0
1695310078450,-0.96972656,-0.0146484375,-0.0703125,0.25,0.15625,-0.5,-41.25,-2.0625,-116.3125
1695310078479,-0.984375,-0.015625,-0.06738281,0.5,-0.15625,0.40625,0.0,0.0,0.0
1695310078508,-0.9785156,-0.032226562,-0.0703125,-0.65625,0.375,0.40625,0.0,0.0,0.0
1695310078570,-0.98535156,-0.029296875,-0.07421875,-0.65625,0.5,0.46875,0.0,0.0,0.0
1695310078600,-0.9736328,-0.025390625,-0.0625,-0.84375,0.21875,0.28125,0.0,0.0,0.0
1695310078630,-0.9873047,-0.0234375,-0.05859375,-0.0625,-0.03125,0.34375,0.0,0.0,0.0
1695310078689,-0.97558594,-0.028320312,-0.064453125,-0.125,-0.15625,0.1875,0.0,0.0,0.0
1695310078719,-0.9785156,-0.017578125,-0.061523438,0.5,-0.09375,0.28125,0.0,0.0,0.0
1695310078749,-0.9873047,-0.0146484375,-0.053710938,0.5625,-0.03125,0.28125,0.0,0.0,0.0
1695310078811,-0.9736328,-0.032226562,-0.057617188,-0.28125,0.09375,0.34375,0.0,0.0,0.0
1695310078841,-0.9863281,-0.022460938,-0.06347656,0.25,0.09375,0.0625,0.0,0.0,0.0
1695310078868,-0.9736328,-0.022460938,-0.059570312,-0.34375,-0.15625,0.21875,0.0,0.0,0.0
1695310078929,-0.98046875,-0.0234375,-0.06542969,0.0,-0.21875,0.34375,-40.625,-0.875,-116.0
1695310078958,-0.9794922,-0.0107421875,-0.053710938,-0.125,0.09375,0.28125,0.0,0.0,0.0
1695310078989,-0.97753906,-0.026367188,-0.06640625,0.0,0.03125,0.28125,0.0,0.0,0.0
1695310079048,-0.9794922,-0.0146484375,-0.060546875,-0.40625,0.28125,0.21875,0.0,0.0,0.0
1695310079079,-0.9794922,-0.022460938,-0.055664062,0.0625,0.28125,0.1875,0.0,0.0,0.0
1695310079111,-0.98046875,-0.025390625,-0.078125,-0.28125,0.09375,-0.0625,0.0,0.0,0.0
1695310079170,-0.9785156,-0.026367188,-0.061523438,-0.1875,-0.03125,-0.25,0.0,0.0,0.0
1695310079200,-0.9716797,-0.024414062,-0.07324219,-0.46875,-0.59375,-0.25,0.0,0.0,0.0
1695310079228,-0.98046875,-0.022460938,-0.064453125,-0.40625,-0.40625,-0.5625,0.0,0.0,0.0
1695310079290,-0.97753906,-0.0126953125,-0.05859375,-0.28125,-0.15625,-0.3125,0.0,0.0,0.0
1695310079319,-0.97753906,-0.03515625,-0.0625,-0.0625,-0.28125,-0.25,0.0,0.0,0.0
1695310079349,-0.96484375,-0.025390625,-0.06542969,-0.59375,-0.34375,-0.3125,0.0,0.0,0.0
1695310079408,-0.9707031,-0.034179688,-0.06542969,-0.46875,-0.53125,-0.5625,0.0,0.0,0.0
1695310079438,-0.9736328,-0.0234375,-0.07128906,-0.84375,-0.65625,-0.25,-41.875,-2.1875,-114.625
1695310079468,-0.98339844,-0.026367188,-0.07421875,-0.34375,-0.65625,-0.3125,0.0,0.0,0.0
1695310079530,-0.96972656,-0.029296875,-0.08203125,-0.90625,-0.34375,-0.3125,0.0,0.0,0.0
1695310079561,-0.9736328,-0.033203125,-0.07324219,-1.5,-0.71875,-0.125,0.0,0.0,0.0
1695310079588,-0.9794922,-0.034179688,-0.0703125,-1.875,-0.46875,-0.125,0.0,0.0,0.0
1695310079649,-0.98828125,-0.0234375,-0.06933594,-1.5625,-0.46875,-0.125,0.0,0.0,0.0
