timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1696296266590,-0.38989258,-0.91485596,0.21820068,-0.890625,1.875,-1.203125,0
1696296266630,-0.40966797,-0.9209595,0.22381592,-1.640625,5.078125,-3.125,1
1696296266670,-0.39916992,-0.90631104,0.21820068,-1.953125,4.890625,-2.765625,2
1696296266710,-0.4074707,-0.8833618,0.22576904,-1.203125,3.015625,-1.703125,3
1696296266750,-0.3828125,-0.9143677,0.13519287,-1.34375,-4.140625,1.21875,4
1696296266790,-0.34155273,-0.9031372,0.15692139,-7.5,2.828125,0.484375,5
1696296266830,-0.421875,-0.85479736,0.34075928,-8.59375,10.140625,-3.125,6
1696296266870,-0.45117188,-0.81500244,0.32318115,-6.5,-5.765625,5.171875,7
1696296266910,-0.45874023,-0.9170532,0.3444214,-1.515625,-3.625,2.96875,8
1696296266950,-0.38427734,-0.9302368,0.24700928,-4.59375,-5.390625,2.125,9
1696296266990,-0.43774414,-0.9180298,0.3241577,-5.8125,-5.53125,1.46875,10
1696296267030,-0.37841797,-0.90509033,0.27142334,1.0,-3.4375,2.0625,11
1696296267070,-0.4104004,-0.9246216,0.262146,-1.328125,-0.65625,-0.453125,12
1696296267110,-0.4074707,-0.91729736,0.26312256,2.21875,-2.34375,-1.796875,13
1696296267150,-0.39672852,-0.87872314,0.26800537,3.765625,-1.09375,-1.609375,14
1696296267190,-0.4074707,-0.8965454,0.29022217,4.453125,1.484375,-1.8125,15
1696296267230,-0.41381836,-0.9060669,0.2592163,7.625,2.625,0.46875,16
1696296267270,-0.40820312,-0.9006958,0.24749756,8.0,0.671875,1.0,17
1696296267310,-0.39526367,-0.90631104,0.2177124,7.953125,1.71875,0.53125,18
1696296267350,-0.38256836,-0.8982544,0.22943115,6.9375,1.71875,0.90625,19
1696296267390,-0.4025879,-0.8989868,0.22698975,6.53125,-0.328125,1.828125,20
