# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Talking
# Subject id: s2104760
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695755837271,-1.0126953,0.050231934,-0.08673096,-0.1875,-0.296875,0.734375
1695755837317,-1.0036621,0.035095215,-0.07501221,0.53125,0.359375,0.421875
1695755837348,-1.0217285,0.047546387,-0.078430176,0.53125,-0.375,1.15625
1695755837390,-1.0026855,0.02532959,-0.0803833,1.0625,-0.125,0.46875
1695755837425,-1.0234375,0.046081543,-0.07281494,0.375,-0.3125,0.609375
1695755837470,-1.0134277,0.047546387,-0.070373535,0.625,-0.015625,0.484375
1695755837503,-1.0117188,0.0368042,-0.07550049,0.1875,0.1875,0.796875
1695755837559,-1.0134277,0.04827881,-0.08282471,-0.171875,0.84375,1.046875
1695755837584,-1.0107422,0.051452637,-0.07110596,0.1875,-0.828125,0.75
1695755837616,-1.0180664,0.024108887,-0.069885254,0.328125,0.0625,1.203125
1695755837661,-1.0178223,0.040222168,-0.06378174,-0.234375,1.0,1.03125
1695755837696,-1.0231934,0.05682373,-0.05718994,1.234375,0.65625,1.140625
1695755837739,-1.017334,0.05706787,-0.066467285,2.84375,2.609375,2.234375
1695755837773,-1.020752,0.059509277,-0.06939697,4.375,3.515625,2.796875
1695755837819,-1.0134277,0.049987793,-0.07110596,5.40625,4.421875,2.078125
1695755837852,-1.0280762,0.043395996,-0.070617676,6.375,4.25,2.265625
1695755837897,-1.0112305,0.03265381,-0.08380127,4.84375,5.15625,1.1875
1695755837931,-1.017334,0.0060424805,-0.053527832,4.9375,5.578125,0.96875
1695755837976,-1.0234375,-0.0025024414,-0.035217285,1.46875,7.40625,-0.671875
1695755838010,-1.0341797,0.0072631836,-0.015686035,0.140625,7.828125,-1.234375
1695755838055,-1.0439453,0.054626465,0.026550293,-1.21875,4.609375,-2.484375
1695755838089,-1.0063477,0.059753418,0.015808105,-0.59375,4.40625,-1.40625
1695755838134,-1.0100098,0.044128418,0.028015137,-0.9375,4.84375,-1.703125
1695755838167,-1.0151367,0.07220459,0.015563965,-2.359375,4.59375,-0.953125
1695755838212,-0.986084,0.047058105,0.034606934,-3.171875,3.671875,-2.25
1695755838247,-1.0385742,0.029724121,0.011657715,-4.046875,5.796875,-3.234375
1695755838290,-1.027832,0.015075684,0.043151855,-2.53125,2.859375,-2.75
1695755838327,-1.0383301,0.059509277,0.0446167,-2.78125,4.078125,-2.890625
1695755838369,-1.0339355,0.039978027,0.03289795,-5.0,6.34375,-4.390625
1695755838402,-1.0046387,0.08709717,0.04168701,-5.78125,4.796875,-2.75
1695755838448,-1.003418,0.1437378,0.03656006,-4.609375,3.890625,-1.1875
1695755838481,-1.0073242,0.12567139,0.038757324,-1.859375,1.0,-1.34375
1695755838526,-1.0114746,0.093688965,0.0680542,0.625,-3.515625,-1.65625
1695755838560,-1.0351562,0.08099365,0.08270264,2.59375,-4.953125,-1.390625
1695755838606,-1.0512695,0.057800293,0.073913574,2.15625,-6.109375,-1.5625
1695755838640,-1.0429688,0.10028076,0.02947998,-0.828125,-1.34375,-0.421875
1695755838685,-0.96240234,0.112976074,0.012390137,-1.5,1.578125,0.1875
1695755838718,-0.9760742,0.11444092,0.04486084,0.015625,-2.984375,-0.296875
1695755838764,-1.0361328,0.09613037,0.042663574,1.15625,-4.6875,-1.078125
1695755838797,-1.0305176,0.09637451,0.034606934,-0.484375,-3.625,-1.703125
1695755838842,-1.0275879,0.08685303,0.042175293,-1.875,-1.3125,-3.3125
1695755838876,-1.0354004,0.1161499,0.015808105,-3.5,-1.453125,-3.0
1695755838921,-0.9863281,0.117614746,0.011413574,-3.15625,-1.9375,-2.90625
1695755838955,-0.99658203,0.14422607,0.022155762,-2.3125,-1.5625,-1.296875
1695755839000,-1.0126953,0.14202881,0.014587402,-0.65625,-0.953125,-0.296875
1695755839033,-1.0263672,0.13275146,0.029968262,0.515625,-2.015625,0.484375
1695755839079,-1.0253906,0.12835693,0.030700684,0.578125,-2.390625,0.078125
1695755839112,-1.0249023,0.1239624,0.01776123,0.359375,-1.328125,0.1875
1695755839157,-1.0046387,0.13128662,0.012634277,-0.1875,-1.0,0.453125
1695755839195,-1.0153809,0.12884521,0.0038452148,0.125,-0.78125,1.390625
1695755839236,-1.0085449,0.121520996,0.004333496,-0.46875,-1.640625,1.984375
1695755839270,-0.9995117,0.11859131,0.01776123,-0.5625,-1.65625,1.578125
1695755839315,-1.0332031,0.14324951,0.004333496,-0.40625,-1.0625,2.890625
1695755839349,-1.0053711,0.1251831,-0.012023926,1.15625,-0.6875,2.234375
1695755839394,-1.0168457,0.13397217,0.008972168,0.5625,-1.65625,2.0625
1695755839440,-1.0061035,0.11102295,-0.0025024414,0.9375,-2.265625,2.765625
1695755839473,-1.0070801,0.11273193,0.0036010742,0.28125,-1.71875,2.6875
1695755839506,-1.0236816,0.11053467,-0.007873535,-0.03125,-1.796875,2.84375
1695755839562,-1.0148926,0.105407715,0.008972168,-0.234375,-2.734375,2.515625
1695755839584,-1.0144043,0.10345459,-0.0068969727,0.390625,-1.03125,2.890625
1695755839629,-1.0163574,0.101745605,-0.0017700195,0.40625,-1.140625,3.078125
1695755839663,-1.0197754,0.101989746,-0.010803223,0.0,-1.078125,2.515625
1695755839710,-1.0224609,0.09954834,-0.012023926,0.078125,-1.359375,2.53125
1695755839742,-1.015625,0.09222412,-0.015930176,-0.34375,-0.953125,1.6875
1695755839786,-1.0114746,0.08831787,-0.0134887695,-0.859375,-0.796875,1.421875
1695755839820,-1.010498,0.08905029,-0.01373291,-0.25,-0.859375,0.890625
