timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1695850762869,-0.09277344,-1.0767212,-0.025939941,-0.984375,0.109375,2.234375,11
1695850762909,-0.009521484,-0.96588135,-0.05206299,2.609375,3.515625,1.671875,12
1695850762949,-0.05126953,-0.97491455,-0.027404785,1.09375,0.546875,2.96875,13
1695850762989,-0.05444336,-1.0357056,-0.0044555664,5.21875,3.296875,2.546875,14
1695850763029,-0.13793945,-1.1299438,-0.013977051,24.421875,3.578125,8.640625,15
1695850763069,-0.036376953,-0.9385376,-0.2276001,14.359375,10.78125,8.625,16
1695850763109,0.015380859,-0.98931885,-0.09259033,7.28125,13.203125,6.875,17
1695850763149,0.022705078,-0.9055786,-0.15289307,3.78125,8.0,4.171875,18
1695850763189,0.036621094,-0.9260864,-0.1350708,-2.46875,9.0,3.484375,19
1695850763229,0.14672852,-0.8748169,-0.18927002,-28.1875,-0.609375,1.734375,20
1695850763269,-0.13305664,-1.0859985,0.028015137,-39.140625,-23.84375,-1.40625,21
1695850763309,0.03125,-1.0610962,0.03656006,-12.046875,-4.015625,-9.578125,22
1695850763349,-0.12524414,-1.0889282,0.0138549805,5.203125,-1.875,-5.125,23
1695850763389,0.068603516,-0.94122314,-0.034484863,3.875,6.453125,-5.890625,24
1695850763429,0.036132812,-0.9834595,-0.06939697,1.46875,-1.25,-2.859375,25
1695850763469,-0.016845703,-0.9163208,-0.070129395,-3.9375,-10.90625,0.65625,26
1695850763509,-0.11230469,-1.0413208,-0.037902832,-4.09375,-4.109375,-1.40625,27
1695850763549,-0.031982422,-1.0718384,0.008728027,-2.953125,4.203125,0.71875,28
1695850763589,0.0107421875,-0.9902954,-0.026672363,6.53125,6.09375,-0.640625,29
1695850763629,0.059814453,-0.9146118,-0.08770752,-8.765625,-7.640625,3.328125,30
1695850763669,-0.13867188,-1.0154419,0.005065918,-8.6875,-6.140625,1.5,31
1695850763709,-0.041503906,-1.0532837,0.027770996,1.703125,3.09375,-0.203125,32
1695850763749,0.04248047,-1.0108032,-0.035949707,5.625,2.09375,1.578125,33
1695850763789,0.014892578,-0.9607544,-0.08917236,-3.25,-3.328125,1.8125,34
1695850763829,-0.026123047,-0.96759033,-0.015686035,-6.71875,-4.203125,3.34375,35
1695850763869,-0.03564453,-1.0359497,-0.018859863,-1.21875,-3.53125,0.46875,36
1695850763909,-0.0056152344,-1.0271606,-6.1035156e-05,4.703125,2.84375,2.5625,37
1695850763949,0.049316406,-0.9678345,-0.04473877,-1.703125,0.3125,4.296875,38
1695850763989,0.013916016,-0.97784424,0.008239746,-6.1875,-2.15625,2.90625,39
1695850764029,-0.07104492,-0.9854126,0.058044434,-5.515625,-1.90625,5.09375,40
1695850764069,-0.0949707,-1.0379028,0.03729248,7.078125,-1.765625,4.28125,41
1695850764109,0.061767578,-1.0046997,-0.050842285,6.484375,2.03125,4.875,42
1695850764149,-0.0017089844,-0.96710205,-0.042297363,3.3125,-1.390625,3.5,43
1695850764189,0.05419922,-1.003479,-0.05987549,-0.8125,-0.875,1.03125,44
1695850764229,-0.068603516,-0.9890747,0.0018920898,-1.25,0.28125,-0.765625,45
1695850764269,0.06567383,-1.0169067,-0.0068969727,-2.421875,2.578125,-2.28125,46
1695850764309,-0.013183594,-0.9649048,-0.027893066,1.90625,3.65625,-2.96875,47
1695850764349,0.052246094,-1.0344849,-0.03692627,8.015625,0.234375,-0.375,48
1695850764389,-0.03515625,-0.9678345,-0.08355713,-1.546875,-3.4375,-1.375,49
1695850764429,0.056396484,-0.986145,-0.04058838,-3.859375,1.15625,-3.984375,50
1695850764469,-0.075927734,-1.0130005,0.01361084,-1.296875,0.640625,-1.859375,51
1695850764509,-0.013916016,-1.0066528,-0.016662598,3.96875,4.375,-0.296875,52
1695850764549,-0.033691406,-1.0015259,-0.008605957,22.0,7.609375,1.265625,53
1695850764589,-0.1081543,-1.1157837,-0.054260254,19.390625,8.25,10.03125,54
1695850764629,0.06518555,-0.95562744,-0.13165283,10.453125,16.34375,0.984375,55
1695850764669,0.06323242,-0.9495239,-0.12799072,4.296875,10.25,3.375,56
1695850764709,0.072265625,-0.88848877,-0.12677002,-1.546875,4.375,-2.875,57
1695850764749,0.11352539,-0.91485596,-0.124816895,-17.296875,6.96875,-3.09375,58
1695850764789,-0.0048828125,-0.9505005,-0.11627197,-34.734375,-16.484375,-3.0625,59
1695850764829,-0.028320312,-1.0066528,0.06390381,-21.0,-14.65625,-12.828125,60
1695850764869,-0.13183594,-1.1260376,0.0692749,4.546875,-1.65625,-2.9375,61
1695850764909,-0.021728516,-1.013977,-0.09552002,7.28125,5.65625,-2.609375,62
1695850764949,0.11279297,-0.90753174,-0.042053223,-2.25,-3.59375,-3.1875,63
1695850764989,-0.107421875,-0.96099854,-0.03375244,-10.03125,-8.0625,1.578125,64
1695850765029,-0.03881836,-1.0515747,0.042907715,-1.421875,-0.140625,-4.09375,65
1695850765069,-0.05078125,-1.0366821,-0.030822754,0.25,4.546875,-2.078125,66
1695850765109,-0.02758789,-0.9710083,0.0060424805,-12.390625,1.53125,-2.234375,67
1695850765149,0.020507812,-0.95440674,-0.015686035,-9.875,-4.015625,-4.3125,68
