# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2106648
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695734608285,-0.5097656,-0.022460938,0.8623047,-0.375,0.25,-0.53125,-9.4375,-2.4375,8.875
1695734608325,-0.5214844,-0.030273438,0.8544922,0.3125,0.09375,-0.09375,0.0,0.0,0.0
1695734608365,-0.5126953,-0.036132812,0.86035156,0.375,0.3125,-0.03125,0.0,0.0,0.0
1695734608405,-0.5253906,-0.022460938,0.8535156,0.125,0.3125,0.5,0.0,0.0,0.0
1695734608445,-0.5185547,-0.018554688,0.8623047,0.5625,0.1875,0.875,0.0,0.0,0.0
1695734608485,-0.515625,-0.024414062,0.8535156,0.0,0.875,0.4375,0.0,0.0,0.0
1695734608525,-0.5292969,-0.029296875,0.88183594,0.25,0.75,0.4375,0.0,0.0,0.0
1695734608565,-0.5263672,-0.026367188,0.85253906,0.25,0.875,0.1875,0.0,0.0,0.0
1695734608605,-0.52441406,-0.02734375,0.86328125,0.25,0.6875,0.375,0.0,0.0,0.0
1695734608646,-0.5283203,-0.0234375,0.8642578,0.625,0.875,0.3125,0.0,0.0,0.0
1695734608706,-0.5332031,-0.024414062,0.87597656,0.375,1.46875,0.15625,0.0,0.0,0.0
1695734608725,-0.515625,-0.021484375,0.87109375,0.3125,1.90625,-0.09375,0.0,0.0,0.0
1695734608765,-0.5214844,-0.029296875,0.8691406,0.5,1.25,0.75,-8.9375,-2.9375,8.875
1695734608805,-0.52246094,-0.022460938,0.8691406,0.5625,0.375,0.875,0.0,0.0,0.0
1695734608845,-0.53027344,-0.02734375,0.8613281,0.3125,0.3125,0.6875,0.0,0.0,0.0
1695734608885,-0.5234375,-0.02734375,0.86328125,0.5625,0.4375,0.8125,0.0,0.0,0.0
1695734608925,-0.5234375,-0.01953125,0.8613281,0.84375,0.8125,1.1875,0.0,0.0,0.0
1695734608965,-0.5292969,-0.01953125,0.85253906,0.3125,1.25,0.5625,0.0,0.0,0.0
1695734609005,-0.5234375,-0.020507812,0.8671875,0.375,-0.15625,1.125,0.0,0.0,0.0
1695734609045,-0.5292969,-0.021484375,0.85253906,0.3125,-0.59375,1.65625,0.0,0.0,0.0
1695734609085,-0.52441406,-0.0146484375,0.8613281,-0.71875,-0.09375,1.59375,0.0,0.0,0.0
1695734609125,-0.51953125,-0.021484375,0.859375,-0.0625,-1.15625,1.90625,0.0,0.0,0.0
1695734609165,-0.5214844,-0.020507812,0.85546875,-0.65625,-1.03125,1.90625,0.0,0.0,0.0
1695734609205,-0.52441406,-0.01953125,0.85839844,-1.34375,-0.21875,1.84375,0.0,0.0,0.0
1695734609266,-0.52441406,-0.018554688,0.86621094,-0.65625,-0.96875,2.40625,0.0,0.0,0.0
1695734609285,-0.5175781,-0.021484375,0.8642578,-0.84375,0.25,2.34375,-9.6875,-2.9375,8.3125
