,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696264925417,0.020019531,-0.9199829,0.38934326,-2.140625,0.046875,-0.375,0
1,1696264925457,0.014160156,-0.9067993,0.38909912,-2.921875,-0.078125,-0.25,1
2,1696264925497,0.026611328,-0.91241455,0.3986206,-2.859375,0.484375,0.0,2
3,1696264925537,0.032226562,-0.9102173,0.38909912,-2.703125,0.15625,-0.203125,3
4,1696264925577,0.038085938,-0.90631104,0.39031982,-2.859375,0.046875,-1.359375,4
5,1696264925617,0.029785156,-0.91192627,0.39031982,-2.109375,-0.28125,-1.625,5
6,1696264925657,0.021972656,-0.8960571,0.40716553,-2.390625,-0.359375,-1.3125,6
7,1696264925697,0.009521484,-0.9043579,0.40594482,-1.515625,-0.296875,-0.625,7
8,1696264925737,0.0234375,-0.9053345,0.3998413,-3.296875,-0.4375,-0.71875,8
9,1696264925777,0.025146484,-0.89801025,0.42303467,-3.3125,0.078125,-1.25,9
10,1696264925817,0.016113281,-0.89923096,0.4249878,-1.734375,0.453125,-1.03125,10
11,1696264925857,0.016601562,-0.8933716,0.42303467,-1.171875,0.28125,-1.265625,11
12,1696264925897,0.016357422,-0.8994751,0.4220581,-1.625,0.53125,-1.390625,12
13,1696264925937,0.024414062,-0.90045166,0.40716553,-0.796875,0.46875,-1.078125,13
14,1696264925977,0.021484375,-0.90582275,0.4039917,-0.1875,0.453125,-1.09375,14
15,1696264926017,0.013183594,-0.9002075,0.41156006,-1.390625,0.421875,-1.65625,15
16,1696264926057,0.0107421875,-0.9006958,0.4118042,-1.234375,-0.1875,-1.125,16
17,1696264926097,0.0075683594,-0.90460205,0.41864014,-1.09375,-0.0625,-0.78125,17
18,1696264926137,0.0061035156,-0.89923096,0.42230225,-2.453125,-0.140625,-1.09375,18
19,1696264926177,0.008300781,-0.89801025,0.4220581,-1.9375,0.09375,-1.203125,19
20,1696264926217,0.014160156,-0.8994751,0.4249878,-1.890625,0.390625,-0.96875,20
21,1696264926257,0.010498047,-0.8977661,0.4249878,-2.703125,0.8125,-0.890625,21
22,1696264926297,0.010498047,-0.89801025,0.42059326,-1.421875,0.21875,-0.90625,22
23,1696264926337,0.009521484,-0.89190674,0.42523193,-1.453125,0.359375,-0.984375,23
24,1696264926377,0.015625,-0.8904419,0.43450928,-1.6875,0.859375,-0.890625,24
25,1696264926417,0.009521484,-0.8855591,0.42816162,-1.46875,0.453125,-1.09375,25
26,1696264926457,0.0012207031,-0.897522,0.42791748,-1.59375,0.46875,-0.65625,26
27,1696264926497,0.00390625,-0.8880005,0.4352417,0.078125,0.0625,-0.296875,27
28,1696264926537,0.0031738281,-0.9002075,0.42791748,-0.921875,0.4375,-0.234375,28
29,1696264926577,0.020019531,-0.8933716,0.42156982,-2.09375,-0.515625,-0.984375,29
30,1696264926617,0.0024414062,-0.8965454,0.4376831,-1.34375,0.015625,-0.390625,30
31,1696264926657,0.001953125,-0.8887329,0.4389038,0.625,0.421875,0.390625,31
32,1696264926697,0.0017089844,-0.8897095,0.44232178,0.703125,0.15625,0.015625,32
33,1696264926737,0.010253906,-0.89385986,0.4376831,-0.234375,0.578125,-0.125,33
34,1696264926777,0.010986328,-0.8882446,0.4352417,0.078125,0.671875,-0.375,34
35,1696264926817,0.0107421875,-0.9043579,0.42523193,0.34375,0.875,-0.46875,35
36,1696264926857,0.0048828125,-0.89630127,0.42840576,-0.53125,0.5,-0.703125,36
37,1696264926897,0.012451172,-0.8928833,0.42669678,-0.78125,1.515625,-1.265625,37
38,1696264926937,0.001953125,-0.89630127,0.43182373,-1.953125,1.953125,-1.84375,38
39,1696264926977,-0.014892578,-0.8843384,0.43011475,-1.046875,1.234375,-1.25,39
40,1696264927017,-0.016113281,-0.8870239,0.4389038,0.65625,0.984375,0.234375,40
41,1696264927057,0.009765625,-0.89019775,0.4472046,0.09375,1.921875,1.28125,41
42,1696264927097,0.038085938,-0.8843384,0.43963623,-1.8125,1.625,0.328125,42
43,1696264927137,0.040283203,-0.89190674,0.42132568,1.484375,1.828125,-1.359375,43
44,1696264927177,0.01977539,-0.9002075,0.42059326,4.109375,2.0,-1.921875,44
45,1696264927217,-0.0034179688,-0.9024048,0.41033936,2.8125,0.265625,-1.046875,45
46,1696264927257,-0.0017089844,-0.9077759,0.40203857,-1.296875,-0.25,-0.484375,46
47,1696264927297,0.0012207031,-0.9055786,0.42132568,-1.640625,1.140625,-0.4375,47
48,1696264927337,0.0024414062,-0.8977661,0.43304443,-1.96875,1.46875,-0.84375,48
49,1696264927377,0.020996094,-0.89849854,0.42108154,-0.96875,2.734375,-1.5,49
50,1696264927417,0.04296875,-0.8916626,0.42425537,-2.546875,2.0,-2.375,50
51,1696264927457,0.040283203,-0.8933716,0.42108154,-3.109375,0.640625,-3.265625,51
52,1696264927497,0.009521484,-0.87823486,0.43450928,0.40625,-0.078125,-2.109375,52
53,1696264927537,-0.014160156,-0.8862915,0.43743896,2.21875,0.046875,-0.984375,53
54,1696264927577,-0.02709961,-0.9011841,0.41864014,1.328125,-0.640625,0.5,54
55,1696264927617,-0.028808594,-0.895813,0.43255615,0.96875,1.265625,2.796875,55
56,1696264927657,0.00390625,-0.89630127,0.4257202,1.046875,4.15625,2.75,56
57,1696264927697,0.008056641,-0.89385986,0.41326904,0.4375,4.765625,1.359375,57
58,1696264927737,0.026855469,-0.90826416,0.41571045,2.859375,5.34375,1.375,58
59,1696264927777,0.05883789,-0.9026489,0.402771,0.328125,5.171875,-0.578125,59
60,1696264927817,0.044921875,-0.8936157,0.39422607,1.21875,2.875,-1.359375,60
61,1696264927857,0.04296875,-0.89630127,0.39813232,4.359375,1.5625,-1.109375,61
62,1696264927897,0.041748047,-0.90411377,0.39788818,3.25,0.4375,-2.15625,62
63,1696264927937,0.01171875,-0.9133911,0.39520264,3.921875,0.109375,-1.109375,63
64,1696264927977,-0.0031738281,-0.923645,0.38934326,2.53125,0.5,0.234375,64
65,1696264928017,0.008544922,-0.90093994,0.38885498,-0.96875,0.65625,1.171875,65
66,1696264928057,0.03564453,-0.89923096,0.39520264,-1.578125,0.9375,1.515625,66
67,1696264928097,0.063964844,-0.91119385,0.3883667,0.09375,0.921875,-0.015625,67
68,1696264928137,0.072265625,-0.9055786,0.37908936,2.4375,0.328125,-0.96875,68
69,1696264928177,0.041259766,-0.92852783,0.36761475,3.453125,0.625,-1.265625,69
70,1696264928217,0.028076172,-0.9212036,0.36175537,1.703125,-0.09375,-1.625,70
71,1696264928257,0.011474609,-0.9158325,0.3710327,-0.4375,-0.765625,-0.53125,71
72,1696264928297,0.015136719,-0.92388916,0.37591553,0.40625,-0.75,-0.796875,72
73,1696264928337,0.026611328,-0.9182739,0.36444092,-0.875,0.0,-1.375,73
74,1696264928377,0.021240234,-0.91729736,0.37445068,-1.390625,-0.578125,-1.28125,74
75,1696264928417,0.027832031,-0.9168091,0.3637085,0.21875,-0.40625,-0.46875,75
76,1696264928457,0.033447266,-0.9085083,0.37713623,-0.1875,-0.4375,-0.171875,76
77,1696264928497,0.02758789,-0.9102173,0.3793335,-1.578125,-0.1875,-0.671875,77
78,1696264928537,0.0234375,-0.92193604,0.37786865,-0.21875,-0.125,-0.40625,78
79,1696264928577,0.016113281,-0.91485596,0.36639404,-1.203125,-0.015625,-0.46875,79
80,1696264928617,0.028564453,-0.913147,0.38153076,-0.671875,-0.078125,-0.953125,80
81,1696264928657,0.024169922,-0.9187622,0.37713623,-0.5625,-0.15625,-0.875,81
82,1696264928697,0.013427734,-0.9168091,0.37835693,-1.4375,-0.015625,-0.859375,82
83,1696264928737,0.01977539,-0.9282837,0.3776245,-1.453125,-0.203125,-0.6875,83
84,1696264928777,0.02319336,-0.91534424,0.37957764,-1.21875,-0.34375,-0.359375,84
85,1696264928817,0.025634766,-0.9209595,0.38226318,-1.640625,-0.03125,-0.484375,85
86,1696264928857,0.017578125,-0.9060669,0.38275146,-1.75,-0.109375,-0.765625,86
87,1696264928897,0.024658203,-0.90948486,0.3829956,-2.21875,-0.75,-0.625,87
88,1696264928937,0.024902344,-0.91534424,0.3883667,-1.546875,-0.4375,-0.984375,88
89,1696264928977,0.013427734,-0.9229126,0.38909912,-3.921875,-0.75,-1.546875,89
90,1696264929017,0.03100586,-0.92315674,0.3883667,-4.390625,0.140625,-2.65625,90
91,1696264929057,0.016113281,-0.9273071,0.39788818,-3.84375,0.28125,-2.09375,91
92,1696264929097,0.025390625,-0.91192627,0.41033936,-2.296875,-0.28125,-3.140625,92
93,1696264929137,0.02368164,-0.88848877,0.41351318,-0.6875,-1.234375,-5.078125,93
94,1696264929177,0.0012207031,-0.86676025,0.40252686,5.265625,1.078125,-4.875,94
95,1696264929217,-0.0021972656,-0.89263916,0.3842163,1.578125,-1.015625,-3.359375,95
96,1696264929257,-0.015380859,-0.92681885,0.385437,-4.84375,-2.828125,-3.15625,96
97,1696264929297,-0.059326172,-0.95635986,0.40057373,-3.265625,-0.984375,-0.796875,97
98,1696264929337,0.0009765625,-0.92266846,0.40594482,-4.421875,-1.5625,-1.234375,98
99,1696264929377,0.057861328,-0.8843384,0.39520264,-6.59375,-1.328125,-3.8125,99
100,1696264929417,0.0690918,-0.942688,0.4100952,-2.640625,-1.9375,-2.4375,100
101,1696264929457,0.032226562,-0.9768677,0.385437,5.359375,-1.390625,-0.34375,101
102,1696264929497,-0.022949219,-0.95513916,0.37542725,5.265625,-0.5625,0.296875,102
103,1696264929537,-0.029541016,-0.91363525,0.34881592,6.8125,-0.921875,-2.65625,103
104,1696264929577,-0.053955078,-0.92852783,0.33343506,5.265625,-2.921875,-3.484375,104
105,1696264929617,-0.068847656,-0.9234009,0.33636475,-0.953125,-3.265625,-1.0625,105
106,1696264929657,-0.07348633,-0.8928833,0.34857178,0.25,-3.890625,-2.65625,106
107,1696264929697,-0.048583984,-0.90948486,0.3324585,3.671875,-4.515625,-5.34375,107
108,1696264929737,-0.03125,-0.8982544,0.39154053,0.015625,-5.34375,-4.8125,108
109,1696264929777,-0.010253906,-0.85894775,0.42913818,-1.578125,-7.28125,-2.265625,109
110,1696264929817,-0.07421875,-0.8574829,0.43499756,-7.421875,-8.421875,-3.90625,110
111,1696264929857,-0.14648438,-0.86920166,0.41278076,-3.203125,-2.96875,-9.28125,111
112,1696264929897,-0.16235352,-0.89556885,0.40740967,-5.359375,-1.078125,-7.015625,112
113,1696264929937,-0.095947266,-0.88604736,0.4459839,-9.671875,-1.0625,0.6875,113
114,1696264929977,-0.044433594,-0.8804321,0.51239014,-8.125,2.28125,0.109375,114
115,1696264930017,-0.0949707,-0.8621216,0.4779663,-2.078125,3.859375,-2.09375,115
116,1696264930057,-0.15454102,-0.8897095,0.43182373,5.21875,1.765625,-3.234375,116
117,1696264930097,-0.15283203,-0.9031372,0.40447998,4.359375,-0.640625,-4.875,117
118,1696264930137,-0.10498047,-0.90338135,0.41937256,1.390625,0.171875,-3.40625,118
119,1696264930177,-0.11767578,-0.8948364,0.37786865,9.1875,0.484375,-2.390625,119
120,1696264930217,-0.12182617,-0.90631104,0.33392334,13.203125,-2.609375,-5.234375,120
121,1696264930257,-0.10229492,-0.8987427,0.3505249,8.390625,-4.875,-1.640625,121
122,1696264930297,-0.12768555,-0.93951416,0.36444092,3.6875,-5.828125,3.71875,122
123,1696264930337,-0.12548828,-0.95391846,0.36273193,1.796875,-5.484375,4.484375,123
124,1696264930377,-0.1352539,-0.9573364,0.37054443,-2.578125,-3.90625,4.59375,124
125,1696264930417,-0.13134766,-0.9319458,0.3661499,1.8125,-1.90625,2.984375,125
126,1696264930457,-0.114746094,-0.9038696,0.33392334,2.53125,-0.390625,2.796875,126
127,1696264930497,-0.11206055,-0.894104,0.3480835,-5.734375,1.296875,3.78125,127
