,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,ind
0,1695813491706,0.0029296875,0.58691406,-0.8144531,-0.875,0.03125,0.09375,0.0,0.0,0.0,0
1,1695813491746,0.0048828125,0.5859375,-0.8125,-1.0625,0.09375,0.09375,0.0,0.0,0.0,1
2,1695813491786,0.017578125,0.58984375,-0.8222656,-0.75,0.03125,-0.03125,-39.625,122.0,-74.4375,2
3,1695813491826,0.0126953125,0.58691406,-0.8183594,0.1875,0.09375,0.03125,0.0,0.0,0.0,3
4,1695813491866,0.013671875,0.5800781,-0.8125,1.21875,0.09375,-0.09375,0.0,0.0,0.0,4
5,1695813491906,0.0048828125,0.5888672,-0.8251953,1.875,0.15625,-0.15625,0.0,0.0,0.0,5
6,1695813491946,-0.0068359375,0.5800781,-0.8183594,1.9375,0.09375,-0.03125,0.0,0.0,0.0,6
7,1695813491986,0.0087890625,0.58984375,-0.81933594,1.5625,0.03125,-0.03125,0.0,0.0,0.0,7
8,1695813492026,0.0068359375,0.57910156,-0.81933594,1.34375,-0.03125,0.03125,0.0,0.0,0.0,8
9,1695813492066,0.005859375,0.58496094,-0.82128906,0.96875,0.09375,0.03125,0.0,0.0,0.0,9
10,1695813492106,0.0078125,0.57910156,-0.8339844,0.34375,0.03125,-0.03125,0.0,0.0,0.0,10
11,1695813492146,0.013671875,0.5830078,-0.8144531,0.125,0.09375,-0.09375,0.0,0.0,0.0,11
12,1695813492186,0.001953125,0.5810547,-0.82421875,-0.4375,0.03125,-0.03125,0.0,0.0,0.0,12
13,1695813492226,0.013671875,0.5830078,-0.8154297,-0.5,-0.03125,-0.09375,0.0,0.0,0.0,13
14,1695813492266,0.0029296875,0.5810547,-0.81933594,-0.0625,-0.03125,-0.15625,0.0,0.0,0.0,14
15,1695813492306,0.0126953125,0.59375,-0.8203125,-0.5625,0.09375,-0.03125,-38.125,121.375,-75.375,15
16,1695813492346,0.015625,0.5810547,-0.8144531,-0.625,-0.09375,0.15625,0.0,0.0,0.0,16
17,1695813492386,0.0087890625,0.5751953,-0.82128906,-0.25,-0.03125,-0.09375,0.0,0.0,0.0,17
18,1695813492426,0.0068359375,0.58691406,-0.8066406,0.21875,0.03125,-0.03125,0.0,0.0,0.0,18
19,1695813492466,0.009765625,0.5800781,-0.8261719,0.46875,0.09375,-0.03125,0.0,0.0,0.0,19
20,1695813492506,0.0078125,0.5830078,-0.8154297,0.46875,0.09375,0.09375,0.0,0.0,0.0,20
21,1695813492546,0.01171875,0.58203125,-0.82128906,0.1875,0.15625,0.03125,0.0,0.0,0.0,21
22,1695813492586,0.0068359375,0.5751953,-0.8222656,-0.0625,0.03125,0.15625,0.0,0.0,0.0,22
23,1695813492626,0.0068359375,0.58691406,-0.8144531,-0.375,-0.15625,-0.03125,0.0,0.0,0.0,23
24,1695813492666,0.0126953125,0.5830078,-0.8173828,-0.1875,-0.03125,-0.03125,0.0,0.0,0.0,24
