# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2533553
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695811210203,-1.0146484,0.09863281,-0.14550781,-4.0625,0.8125,-0.78125,0.0,0.0,0.0
1695811210205,-1.0097656,0.109375,-0.16210938,-6.25,2.34375,-1.375,0.0,0.0,0.0
1695811210262,-1.0,0.099609375,-0.1484375,-7.53125,4.3125,-2.65625,0.0,0.0,0.0
1695811210293,-1.0146484,0.11035156,-0.1640625,-6.75,4.0625,-2.84375,-76.5,107.3125,-32.75
1695811210324,-1.0029297,0.12402344,-0.16601562,-6.5,2.65625,-2.46875,0.0,0.0,0.0
1695811210384,-1.0029297,0.115234375,-0.14160156,-1.84375,1.5,-1.3125,0.0,0.0,0.0
1695811210414,-1.0126953,0.11230469,-0.16601562,-1.0625,0.625,-0.34375,0.0,0.0,0.0
1695811210444,-1.0078125,0.109375,-0.14941406,0.53125,0.53125,-0.03125,0.0,0.0,0.0
1695811210505,-1.0078125,0.09472656,-0.14160156,1.6875,-0.59375,0.4375,0.0,0.0,0.0
1695811210534,-1.0205078,0.09863281,-0.15820312,2.59375,-1.125,-0.40625,0.0,0.0,0.0
1695811210565,-1.0126953,0.1171875,-0.15625,6.5625,-4.0625,-0.78125,0.0,0.0,0.0
1695811210626,-1.0078125,0.09667969,-0.14550781,2.0,-1.0,-0.09375,0.0,0.0,0.0
1695811210654,-1.0107422,0.10644531,-0.14648438,0.71875,0.8125,-0.03125,0.0,0.0,0.0
1695811210688,-0.9970703,0.09863281,-0.14550781,-0.9375,1.0625,-0.59375,0.0,0.0,0.0
1695811210745,-1.0136719,0.107421875,-0.13574219,0.03125,0.34375,-0.59375,0.0,0.0,0.0
1695811210775,-1.0136719,0.09765625,-0.14941406,0.875,-1.375,-0.21875,0.0,0.0,0.0
1695811210835,-1.0195312,0.10546875,-0.15136719,3.6875,-0.65625,-0.21875,-76.375,107.125,-31.25
1695811210865,-0.99902344,0.107421875,-0.15917969,3.34375,-1.8125,-0.28125,0.0,0.0,0.0
1695811210894,-1.0175781,0.10839844,-0.15234375,2.53125,-0.59375,-0.53125,0.0,0.0,0.0
1695811210927,-1.0117188,0.109375,-0.15234375,1.25,0.53125,-1.0,0.0,0.0,0.0
1695811210985,-1.0136719,0.09765625,-0.16308594,-3.125,1.5,-1.5,0.0,0.0,0.0
1695811211014,-1.0087891,0.1171875,-0.15722656,-6.0,3.3125,-1.875,0.0,0.0,0.0
1695811211045,-1.0136719,0.10644531,-0.16503906,-6.625,3.875,-1.25,0.0,0.0,0.0
1695811211111,-1.0019531,0.12109375,-0.15234375,-8.375,4.53125,-0.59375,0.0,0.0,0.0
1695811211138,-1.0117188,0.109375,-0.15136719,-7.15625,4.78125,-0.59375,0.0,0.0,0.0
1695811211163,-1.0078125,0.10644531,-0.14941406,-3.375,1.0625,-0.28125,0.0,0.0,0.0
1695811211225,-1.0068359,0.1015625,-0.16992188,-1.84375,0.34375,-0.21875,0.0,0.0,0.0
1695811211254,-1.0068359,0.099609375,-0.16113281,-2.34375,0.28125,-0.34375,0.0,0.0,0.0
1695811211343,-1.0058594,0.09765625,-0.1640625,-2.71875,1.0,-0.28125,-77.375,108.1875,-33.375
1695811211345,-1.0039062,0.09375,-0.15722656,-2.40625,1.1875,-0.09375,0.0,0.0,0.0
1695811211373,-1.0087891,0.09472656,-0.15625,-3.0625,0.75,0.03125,0.0,0.0,0.0
1695811211405,-0.9970703,0.11230469,-0.16015625,-3.5,1.1875,-0.03125,0.0,0.0,0.0
1695811211464,-1.0146484,0.10839844,-0.171875,-3.6875,1.1875,0.21875,0.0,0.0,0.0
1695811211495,-1.0019531,0.11230469,-0.17675781,-2.84375,0.03125,0.28125,0.0,0.0,0.0
1695811211529,-1.0175781,0.115234375,-0.16308594,-4.0,-0.46875,-0.09375,0.0,0.0,0.0
1695811211585,-1.0078125,0.10644531,-0.17089844,-6.25,0.21875,0.03125,0.0,0.0,0.0
1695811211615,-1.0107422,0.09765625,-0.1796875,-8.15625,-1.25,0.3125,0.0,0.0,0.0
1695811211645,-1.0126953,0.07910156,-0.15527344,-6.75,-1.25,0.5625,0.0,0.0,0.0
1695811211740,-1.0048828,0.09863281,-0.16601562,-4.90625,-0.53125,0.28125,0.0,0.0,0.0
1695811211747,-1.0205078,0.109375,-0.15136719,-5.8125,-0.59375,0.09375,0.0,0.0,0.0
1695811211767,-1.0078125,0.09277344,-0.18164062,-4.0,-0.15625,0.28125,0.0,0.0,0.0
1695811211828,-0.9970703,0.103515625,-0.16601562,-5.53125,0.15625,0.5625,-75.625,106.0625,-32.625
1695811211855,-1.0019531,0.12695312,-0.12988281,-2.15625,-0.65625,0.4375,0.0,0.0,0.0
1695811211884,-1.0107422,0.123046875,-0.16796875,-1.4375,-0.6875,0.21875,0.0,0.0,0.0
1695811211950,-1.0117188,0.08300781,-0.1640625,-1.1875,-0.9375,0.875,0.0,0.0,0.0
1695811211977,-1.015625,0.10449219,-0.15332031,-2.28125,-1.625,0.09375,0.0,0.0,0.0
1695811212004,-1.0009766,0.10546875,-0.171875,-0.4375,-3.8125,0.28125,0.0,0.0,0.0
1695811212068,-1.0068359,0.10253906,-0.16503906,2.46875,-3.3125,0.8125,0.0,0.0,0.0
1695811212093,-1.0068359,0.10839844,-0.15917969,3.5625,-2.34375,1.1875,0.0,0.0,0.0
1695811212124,-1.0009766,0.09765625,-0.16113281,4.375,-1.5,0.9375,0.0,0.0,0.0
1695811212189,-1.0029297,0.11035156,-0.15136719,5.46875,-2.21875,1.71875,0.0,0.0,0.0
1695811212215,-1.0126953,0.11816406,-0.1484375,7.125,-1.1875,1.4375,0.0,0.0,0.0
1695811212244,-1.0068359,0.109375,-0.16210938,4.0,-1.5625,0.5,0.0,0.0,0.0
1695811212310,-1.0058594,0.11035156,-0.140625,1.625,-0.875,0.5,-76.625,107.125,-33.0625
1695811212335,-1.0126953,0.10546875,-0.12695312,4.4375,0.46875,0.875,0.0,0.0,0.0
1695811212366,-1.0009766,0.11035156,-0.13671875,6.4375,-0.34375,1.375,0.0,0.0,0.0
1695811212427,-1.0126953,0.11425781,-0.12792969,6.03125,0.09375,0.9375,0.0,0.0,0.0
1695811212484,-1.0195312,0.111328125,-0.13378906,4.96875,-0.21875,0.4375,0.0,0.0,0.0
1695811212486,-1.0195312,0.11230469,-0.14160156,3.8125,-1.5,0.15625,0.0,0.0,0.0
1695811212545,-1.0195312,0.11621094,-0.1328125,2.53125,-1.9375,-0.21875,0.0,0.0,0.0
1695811212575,-1.0107422,0.12402344,-0.13769531,1.25,-1.5,-0.90625,0.0,0.0,0.0
1695811212605,-1.0195312,0.12011719,-0.14257812,0.09375,-2.46875,-1.375,0.0,0.0,0.0
1695811212669,-1.0126953,0.11230469,-0.1328125,1.0625,-2.65625,-0.71875,0.0,0.0,0.0
1695811212696,-1.0087891,0.103515625,-0.14746094,-0.21875,-1.6875,-0.28125,0.0,0.0,0.0
1695811212724,-1.0078125,0.13183594,-0.13769531,-0.5,-1.25,-0.40625,0.0,0.0,0.0
1695811212786,-1.0117188,0.11230469,-0.14355469,-1.25,-0.28125,-0.46875,0.0,0.0,0.0
1695811212814,-1.0087891,0.11425781,-0.15136719,-3.0625,0.875,-1.0,-76.375,107.125,-31.25
1695811212844,-1.0068359,0.11425781,-0.14355469,-4.25,2.40625,-1.3125,0.0,0.0,0.0
1695811212904,-1.0234375,0.11328125,-0.14550781,-3.9375,1.3125,-1.75,0.0,0.0,0.0
1695811212934,-1.0175781,0.12011719,-0.14550781,-4.84375,0.59375,-2.0,0.0,0.0,0.0
1695811212969,-1.0078125,0.11621094,-0.14941406,-6.25,-0.03125,-1.8125,0.0,0.0,0.0
1695811213024,-1.0078125,0.12890625,-0.14355469,-7.15625,0.53125,-1.1875,0.0,0.0,0.0
1695811213054,-1.0195312,0.1171875,-0.16015625,-5.34375,0.34375,-0.96875,0.0,0.0,0.0
1695811213086,-1.0166016,0.13476562,-0.14355469,-4.84375,0.15625,-0.59375,0.0,0.0,0.0
1695811213143,-0.9980469,0.12011719,-0.15136719,-7.71875,1.25,-0.65625,0.0,0.0,0.0
1695811213174,-1.0195312,0.115234375,-0.12890625,-13.6875,3.3125,-0.71875,0.0,0.0,0.0
1695811213205,-1.0019531,0.09667969,-0.12402344,-17.1875,4.78125,-1.875,0.0,0.0,0.0
1695811213264,-0.94140625,0.15039062,-0.15820312,-7.03125,-5.09375,-1.0625,0.0,0.0,0.0
1695811213297,-1.0175781,0.107421875,-0.12695312,-16.1875,3.8125,-1.75,-74.5625,106.8125,-32.0
1695811213326,-1.0107422,0.11230469,-0.13476562,-15.40625,3.21875,-2.71875,0.0,0.0,0.0
1695811213384,-1.0205078,0.08300781,-0.14941406,-11.625,1.6875,-2.28125,0.0,0.0,0.0
1695811213415,-1.0166016,0.09863281,-0.14746094,-9.59375,1.5,-1.1875,0.0,0.0,0.0
1695811213445,-0.9951172,0.09765625,-0.13085938,1.375,-2.40625,0.21875,0.0,0.0,0.0
1695811213505,-1.0214844,0.08203125,-0.125,7.0,-2.53125,-2.1875,0.0,0.0,0.0
1695811213537,-1.0087891,0.109375,-0.14941406,0.875,-7.1875,0.21875,0.0,0.0,0.0
1695811213567,-1.0214844,0.109375,-0.12597656,-1.625,-3.15625,0.875,0.0,0.0,0.0
1695811213627,-1.0048828,0.08496094,-0.16015625,-4.96875,-0.875,0.625,0.0,0.0,0.0
1695811213655,-1.0097656,0.09863281,-0.1328125,-1.71875,0.75,-0.65625,0.0,0.0,0.0
1695811213686,-1.0166016,0.08984375,-0.13085938,3.21875,1.125,-0.28125,0.0,0.0,0.0
1695811213744,-1.0185547,0.083984375,-0.13378906,10.09375,-1.375,0.625,0.0,0.0,0.0
1695811213776,-1.0039062,0.10546875,-0.14453125,16.15625,-1.875,0.9375,0.0,0.0,0.0
1695811213805,-1.0107422,0.115234375,-0.13574219,16.46875,-0.40625,1.1875,-75.875,106.0625,-32.0
1695811213865,-1.0136719,0.109375,-0.12890625,11.6875,0.59375,0.9375,0.0,0.0,0.0
1695811213894,-1.0117188,0.109375,-0.14550781,6.4375,0.8125,0.9375,0.0,0.0,0.0
1695811213923,-1.0058594,0.109375,-0.15429688,3.46875,1.25,0.875,0.0,0.0,0.0
1695811214015,-1.0097656,0.103515625,-0.13671875,2.0,1.3125,0.9375,0.0,0.0,0.0
1695811214017,-1.0097656,0.099609375,-0.1484375,2.125,2.03125,1.25,0.0,0.0,0.0
1695811214045,-1.0166016,0.109375,-0.140625,2.53125,1.0,0.6875,0.0,0.0,0.0
1695811214106,-1.015625,0.099609375,-0.15429688,1.25,0.6875,0.3125,0.0,0.0,0.0
1695811214137,-1.0146484,0.103515625,-0.15332031,1.9375,0.34375,0.28125,0.0,0.0,0.0
1695811214166,-1.0117188,0.10449219,-0.14648438,3.625,0.28125,0.375,0.0,0.0,0.0
1695811214224,-1.0136719,0.11425781,-0.15722656,3.28125,1.96875,0.4375,0.0,0.0,0.0
1695811214254,-1.0068359,0.107421875,-0.1484375,1.5625,1.3125,0.375,0.0,0.0,0.0
1695811214284,-1.015625,0.099609375,-0.14648438,2.59375,0.8125,0.15625,-75.875,107.875,-33.375
1695811214346,-1.0136719,0.111328125,-0.14746094,1.1875,0.09375,-0.21875,0.0,0.0,0.0
1695811214375,-1.0146484,0.10449219,-0.15136719,-1.0625,0.03125,-0.15625,0.0,0.0,0.0
1695811214407,-1.0039062,0.11328125,-0.15136719,-1.4375,-0.34375,0.09375,0.0,0.0,0.0
1695811214467,-1.0058594,0.107421875,-0.15625,-2.28125,-1.0,0.5625,0.0,0.0,0.0
1695811214495,-1.0058594,0.12402344,-0.15527344,-0.34375,-0.46875,0.5625,0.0,0.0,0.0
1695811214524,-1.015625,0.103515625,-0.14355469,4.5,2.59375,0.03125,0.0,0.0,0.0
1695811214589,-1.0097656,0.11328125,-0.13085938,3.46875,-0.03125,0.5,0.0,0.0,0.0
1695811214615,-1.0087891,0.11621094,-0.14160156,0.03125,-0.40625,-0.78125,0.0,0.0,0.0
1695811214645,-1.0097656,0.10546875,-0.13964844,1.25,-0.46875,0.03125,0.0,0.0,0.0
1695811214706,-1.0146484,0.10644531,-0.14648438,0.65625,-0.09375,-0.09375,0.0,0.0,0.0
