,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
0,1696245953295,-0.8000488,-0.032287598,-0.6387329,-1.171875,2.328125,0.890625,61
1,1696245953335,-0.80615234,-0.027893066,-0.6399536,-0.78125,1.125,0.296875,62
2,1696245953375,-0.80810547,-0.030822754,-0.6409302,-0.765625,-0.734375,0.40625,63
3,1696245953415,-0.79956055,-0.02935791,-0.6367798,-0.84375,0.3125,0.484375,64
4,1696245953455,-0.79907227,-0.035217285,-0.6499634,-0.75,-1.25,0.5,65
5,1696245953495,-0.79833984,-0.03643799,-0.647522,-1.0,0.609375,0.65625,66
6,1696245953535,-0.80322266,-0.039611816,-0.6416626,-0.546875,-0.734375,0.734375,67
7,1696245953575,-0.8059082,-0.03692627,-0.6355591,-0.875,-0.28125,0.625,68
8,1696245953615,-0.7949219,-0.026916504,-0.65753174,-0.390625,-1.609375,0.375,69
9,1696245953655,-0.7922363,-0.03668213,-0.6460571,-1.125,0.78125,1.21875,70
10,1696245953695,-0.7976074,-0.03717041,-0.6448364,-0.53125,-1.671875,0.578125,71
11,1696245953735,-0.7973633,-0.039855957,-0.659729,-0.625,-0.0625,0.34375,72
12,1696245953775,-0.79003906,-0.03741455,-0.65509033,-0.375,-0.84375,0.359375,73
13,1696245953815,-0.7836914,-0.038391113,-0.64508057,-0.140625,-0.515625,0.390625,74
14,1696245953855,-0.7910156,-0.035949707,-0.6565552,0.109375,-0.71875,0.09375,75
15,1696245953895,-0.78564453,-0.03765869,-0.6589966,-0.5625,2.03125,0.3125,76
16,1696245953935,-0.79345703,-0.038391113,-0.65216064,-0.53125,0.609375,0.578125,77
17,1696245953975,-0.7927246,-0.027648926,-0.6592407,-0.84375,3.765625,0.6875,78
18,1696245954015,-0.7883301,-0.032287598,-0.6489868,-1.015625,1.953125,0.765625,79
19,1696245954055,-0.795166,-0.038879395,-0.6487427,-1.3125,2.75,0.640625,80
20,1696245954095,-0.79248047,-0.037902832,-0.65509033,-0.890625,1.9375,0.59375,81
21,1696245954135,-0.80371094,-0.0413208,-0.63897705,-0.375,3.28125,0.65625,82
22,1696245954175,-0.79467773,-0.03375244,-0.64630127,-0.359375,2.34375,0.15625,83
23,1696245954215,-0.7949219,-0.033996582,-0.64141846,-0.5,2.75,0.09375,84
24,1696245954255,-0.7976074,-0.039611816,-0.6333618,-0.59375,2.8125,0.109375,85
25,1696245954295,-0.81103516,-0.039611816,-0.63531494,-0.640625,1.203125,0.0625,86
26,1696245954335,-0.80566406,-0.038146973,-0.63726807,-0.484375,0.875,0.109375,87
27,1696245954375,-0.8010254,-0.037902832,-0.63531494,-0.5,0.421875,0.21875,88
28,1696245954415,-0.79956055,-0.03668213,-0.63897705,-0.703125,1.890625,0.625,89
29,1696245954455,-0.8046875,-0.032287598,-0.6387329,-0.3125,-0.84375,0.5625,90
30,1696245954495,-0.7976074,-0.03643799,-0.6436157,-0.828125,1.5625,0.875,91
31,1696245954535,-0.80029297,-0.042053223,-0.62677,-0.625,-0.0625,0.96875,92
32,1696245954575,-0.8054199,-0.04498291,-0.64508057,0.046875,-1.65625,0.265625,93
33,1696245954615,-0.80249023,-0.04425049,-0.64849854,-0.390625,0.875,0.0625,94
34,1696245954655,-0.79296875,-0.042053223,-0.6567993,-0.65625,2.390625,0.484375,95
35,1696245954695,-0.81030273,-0.043029785,-0.62750244,-1.6875,1.578125,-0.0625,96
36,1696245954735,-0.7963867,-0.035217285,-0.6362915,-0.59375,0.59375,0.28125,97
37,1696245954775,-0.79711914,-0.042297363,-0.6367798,-0.703125,0.9375,1.109375,98
38,1696245954815,-0.80444336,-0.038146973,-0.6367798,-0.328125,1.25,0.609375,99
39,1696245954855,-0.80737305,-0.039855957,-0.64801025,-0.34375,1.296875,0.328125,100
40,1696245954895,-0.7927246,-0.042785645,-0.6355591,-0.734375,1.078125,1.25,101
41,1696245954935,-0.8046875,-0.042785645,-0.6370239,-0.984375,1.484375,0.578125,102
42,1696245954975,-0.80859375,-0.04498291,-0.63604736,-0.71875,0.375,0.453125,103
43,1696245955015,-0.8034668,-0.04473877,-0.6370239,-0.71875,0.875,0.40625,104
44,1696245955055,-0.8051758,-0.045715332,-0.6436157,-0.375,0.4375,0.375,105
45,1696245955095,-0.80078125,-0.04498291,-0.63482666,-0.296875,-0.390625,-0.09375,106
46,1696245955135,-0.8051758,-0.038879395,-0.6411743,-0.515625,0.828125,0.46875,107
47,1696245955175,-0.8015137,-0.05255127,-0.63653564,-0.53125,0.53125,0.125,108
48,1696245955215,-0.7976074,-0.043762207,-0.6416626,-0.703125,0.15625,0.34375,109
49,1696245955255,-0.79833984,-0.053527832,-0.6392212,-0.984375,0.109375,0.359375,110
50,1696245955295,-0.8054199,-0.046691895,-0.6370239,-0.34375,-0.6875,0.234375,111
51,1696245955335,-0.80078125,-0.043273926,-0.6531372,-0.390625,-0.4375,-0.234375,112
52,1696245955375,-0.7980957,-0.042541504,-0.6399536,-0.265625,0.90625,-0.015625,113
53,1696245955415,-0.7998047,-0.0413208,-0.65411377,-0.34375,0.453125,0.421875,114
54,1696245955455,-0.7961426,-0.047424316,-0.631897,-0.53125,0.96875,1.046875,115
55,1696245955495,-0.8017578,-0.047424316,-0.6502075,-0.53125,-0.796875,0.25,116
56,1696245955535,-0.795166,-0.04522705,-0.63775635,-0.8125,0.28125,0.625,117
57,1696245955575,-0.79052734,-0.04156494,-0.6548462,-0.984375,1.125,0.390625,118
58,1696245955615,-0.7939453,-0.049865723,-0.63604736,-0.5,1.015625,0.296875,119
59,1696245955655,-0.8000488,-0.043029785,-0.65582275,-0.53125,1.296875,0.03125,120
60,1696245955695,-0.80615234,-0.04522705,-0.64312744,-0.53125,1.328125,0.25,121
61,1696245955735,-0.798584,-0.04473877,-0.64727783,-0.703125,0.046875,0.109375,122
62,1696245955775,-0.7932129,-0.042541504,-0.6482544,-0.515625,0.78125,0.125,123
63,1696245955815,-0.79907227,-0.04425049,-0.64141846,-0.484375,0.65625,0.4375,124
64,1696245955855,-0.7993164,-0.043273926,-0.6404419,-0.5625,0.5625,0.359375,125
65,1696245955895,-0.80029297,-0.047424316,-0.6494751,-0.65625,-0.65625,0.4375,126
66,1696245955935,-0.7963867,-0.04498291,-0.6465454,-0.515625,1.890625,0.421875,127
67,1696245955975,-0.80078125,-0.050354004,-0.6482544,-0.53125,0.546875,0.359375,128
68,1696245956015,-0.79785156,-0.047668457,-0.6399536,-0.734375,1.796875,0.21875,129
69,1696245956055,-0.80078125,-0.047424316,-0.64385986,-0.5625,1.1875,-0.015625,130
70,1696245956095,-0.7927246,-0.042541504,-0.645813,-0.265625,-0.28125,-0.21875,131
71,1696245956135,-0.80371094,-0.04840088,-0.6433716,-0.90625,0.8125,0.53125,132
72,1696245956175,-0.8015137,-0.04815674,-0.64678955,-0.796875,0.046875,0.40625,133
73,1696245956215,-0.79589844,-0.047424316,-0.645813,-0.40625,-0.484375,0.234375,134
74,1696245956255,-0.7961426,-0.045715332,-0.65045166,-0.59375,-0.53125,0.21875,135
75,1696245956295,-0.7956543,-0.04473877,-0.6448364,-0.640625,-0.453125,0.125,136
76,1696245956335,-0.79785156,-0.047668457,-0.65826416,-0.765625,0.71875,0.25,137
77,1696245956375,-0.78637695,-0.04473877,-0.6428833,-0.875,1.546875,0.21875,138
78,1696245956415,-0.7963867,-0.04937744,-0.6511841,-0.4375,0.046875,-0.125,139
79,1696245956455,-0.80249023,-0.04034424,-0.6411743,-0.78125,0.15625,-0.296875,140
80,1696245956495,-0.79956055,-0.038146973,-0.65631104,-0.734375,0.65625,0.3125,141
81,1696245956535,-0.7907715,-0.04547119,-0.65582275,-0.953125,1.328125,0.28125,142
82,1696245956575,-0.7949219,-0.043518066,-0.642395,-1.171875,1.140625,0.59375,143
