# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Eating
# Subject id: s2558433
# Notes: unprocessed
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1696246169113,-0.16772461,-0.97247314,-0.17803955,-1.75,1.046875,0.203125
1696246169161,-0.17651367,-0.9524536,-0.19024658,-0.484375,0.734375,0.0
1696246169203,-0.17993164,-0.9680786,-0.19146729,0.609375,1.21875,0.234375
1696246169234,-0.17089844,-0.9758911,-0.19268799,-0.484375,0.984375,0.171875
1696246169278,-0.1743164,-0.9607544,-0.17218018,0.546875,1.609375,0.78125
1696246169309,-0.18969727,-0.97662354,-0.19366455,-0.171875,0.984375,1.21875
1696246169353,-0.18041992,-0.9807739,-0.19146729,-0.34375,0.4375,0.734375
1696246169383,-0.1616211,-0.95440674,-0.19854736,-0.46875,1.671875,0.3125
1696246169429,-0.1772461,-0.986145,-0.19171143,-0.328125,1.484375,1.21875
1696246169473,-0.16259766,-0.95562744,-0.20709229,0.71875,0.8125,0.296875
1696246169503,-0.17822266,-0.97784424,-0.19073486,1.546875,-0.5,0.109375
1696246169549,-0.17895508,-0.97857666,-0.18634033,1.21875,0.625,0.625
1696246169594,-0.16137695,-0.9690552,-0.20709229,-0.640625,0.609375,0.328125
1696246169624,-0.15698242,-0.9529419,-0.19537354,-0.1875,0.515625,0.109375
1696246169669,-0.17456055,-0.96221924,-0.19293213,1.78125,0.171875,0.484375
1696246169714,-0.17797852,-0.98223877,-0.20245361,-0.546875,0.34375,0.421875
1696246169743,-0.18310547,-0.9758911,-0.19561768,0.15625,0.125,-0.046875
1696246169789,-0.18334961,-0.97979736,-0.19171143,0.359375,0.375,1.140625
1696246169834,-0.1887207,-0.97198486,-0.18658447,-0.078125,-0.484375,1.0
1696246169863,-0.18164062,-0.96759033,-0.19537354,-0.09375,-0.28125,0.71875
1696246169908,-0.16870117,-0.9692993,-0.20904541,-0.671875,-0.0625,0.640625
1696246169954,-0.1652832,-0.956604,-0.21392822,0.21875,-0.4375,0.75
1696246169983,-0.16870117,-0.96832275,-0.20977783,-0.59375,0.46875,0.703125
1696246170029,-0.1652832,-0.96173096,-0.21026611,0.421875,0.421875,0.703125
1696246170104,-0.16064453,-0.96343994,-0.20050049,0.328125,0.21875,1.21875
1696246170106,-0.16210938,-0.9649048,-0.19561768,-0.03125,-0.109375,0.609375
1696246170149,-0.15649414,-0.96099854,-0.22003174,-0.46875,1.265625,0.390625
1696246170179,-0.16967773,-0.987854,-0.20831299,-0.890625,0.515625,0.625
1696246170223,-0.15576172,-0.9456177,-0.2185669,-0.546875,1.0,0.03125
1696246170269,-0.1665039,-0.96099854,-0.20684814,0.453125,-0.171875,0.15625
1696246170298,-0.15576172,-0.9702759,-0.20709229,0.328125,1.015625,0.78125
1696246170344,-0.16088867,-0.96417236,-0.20855713,-1.40625,1.046875,0.328125
1696246170389,-0.16357422,-0.9656372,-0.21539307,-0.5,0.703125,0.15625
1696246170418,-0.16430664,-0.97198486,-0.18902588,-0.078125,-0.140625,-0.0625
1696246170464,-0.1665039,-0.96759033,-0.20050049,-1.359375,0.921875,0.21875
1696246170509,-0.17138672,-0.9644165,-0.20098877,-0.28125,1.203125,0.4375
1696246170538,-0.17675781,-0.97003174,-0.20220947,0.3125,0.8125,1.21875
1696246170583,-0.16870117,-0.97076416,-0.19854736,-0.21875,0.078125,0.875
1696246170628,-0.16308594,-0.9702759,-0.21051025,0.203125,0.53125,0.890625
1696246170659,-0.16333008,-0.96588135,-0.20269775,0.359375,0.296875,0.796875
1696246170704,-0.16552734,-0.9636841,-0.21539307,0.65625,0.140625,0.3125
1696246170749,-0.15600586,-0.9619751,-0.22198486,0.4375,0.3125,0.640625
1696246170778,-0.16894531,-0.9758911,-0.21490479,0.03125,0.53125,0.921875
1696246170824,-0.16113281,-0.97662354,-0.20904541,-0.125,0.546875,0.671875
1696246170854,-0.15966797,-0.9570923,-0.23638916,0.3125,1.125,0.6875
1696246170899,-0.15283203,-0.9663696,-0.17584229,1.53125,-0.328125,0.859375
1696246170944,-0.1550293,-0.9697876,-0.22198486,-1.421875,2.109375,0.84375
1696246170974,-0.16381836,-0.9570923,-0.22271729,0.8125,-0.21875,0.046875
1696246171019,-0.15234375,-0.9837036,-0.19024658,0.875,0.109375,0.21875
1696246171064,-0.15991211,-0.9680786,-0.21026611,0.75,1.390625,1.484375
1696246171099,-0.15478516,-0.960022,-0.2185669,-0.5625,0.78125,1.015625
1696246171138,-0.15527344,-0.9714966,-0.21002197,-0.296875,0.171875,0.40625
1696246171183,-0.16186523,-0.96343994,-0.22271729,-0.96875,1.1875,0.671875
1696246171213,-0.15722656,-0.9680786,-0.21783447,-0.453125,0.609375,0.328125
1696246171259,-0.1459961,-0.96954346,-0.21148682,-0.21875,0.234375,0.0
1696246171304,-0.14990234,-0.96466064,-0.21588135,-0.609375,0.75,0.515625
1696246171333,-0.15698242,-0.9644165,-0.21173096,-0.828125,1.015625,0.5625
1696246171378,-0.15625,-0.96221924,-0.2210083,-0.796875,0.71875,0.109375
1696246171424,-0.1550293,-0.9644165,-0.22052002,-0.515625,1.25,0.625
1696246171453,-0.15112305,-0.958313,-0.21710205,0.921875,0.78125,0.53125
1696246171498,-0.15356445,-0.96710205,-0.21173096,0.0625,0.28125,0.21875
1696246171544,-0.15600586,-0.960022,-0.21905518,0.265625,0.71875,0.28125
1696246171574,-0.15063477,-0.96661377,-0.23858643,0.25,1.09375,-0.078125
1696246171618,-0.16113281,-0.9685669,-0.19122314,1.421875,-0.09375,0.421875
1696246171648,-0.15112305,-0.9668579,-0.255188,-2.265625,1.90625,-0.03125
1696246171695,-0.14208984,-0.95635986,-0.2276001,0.578125,0.84375,0.171875
1696246171738,-0.15771484,-0.96661377,-0.2053833,0.421875,-0.109375,0.0625
1696246171768,-0.15893555,-0.9678345,-0.22467041,-1.46875,0.65625,0.0
1696246171813,-0.15185547,-0.9619751,-0.22467041,-0.828125,1.015625,-0.09375
1696246171859,-0.15551758,-0.9668579,-0.22979736,-0.828125,0.5625,0.28125
1696246171888,-0.15795898,-0.973938,-0.2041626,-0.765625,0.5625,0.359375
1696246171934,-0.15576172,-0.9656372,-0.22833252,-1.328125,1.328125,0.546875
1696246171979,-0.14916992,-0.95635986,-0.20831299,-1.09375,0.734375,0.203125
1696246172009,-0.15600586,-0.9631958,-0.21368408,-0.953125,0.359375,0.0625
1696246172069,-0.15966797,-0.9668579,-0.22027588,-1.140625,0.71875,0.09375
1696246172099,-0.1574707,-0.9644165,-0.21417236,-0.53125,0.484375,-0.1875
1696246172128,-0.16357422,-0.96343994,-0.20904541,-0.359375,0.828125,0.0625
1696246172174,-0.15917969,-0.9578247,-0.21295166,0.015625,0.4375,0.03125
1696246172219,-0.15991211,-0.97052,-0.21783447,-0.453125,0.828125,0.09375
1696246172248,-0.16210938,-0.9741821,-0.21343994,-0.078125,1.3125,0.78125
1696246172294,-0.1616211,-0.96661377,-0.23394775,0.390625,0.625,0.234375
1696246172323,-0.15234375,-0.9678345,-0.18804932,1.75,-0.21875,0.28125
1696246172369,-0.15185547,-0.9685669,-0.2564087,-1.796875,2.59375,0.765625
1696246172414,-0.15917969,-0.9573364,-0.22857666,1.3125,0.421875,-0.109375
1696246172443,-0.1550293,-0.97735596,-0.20635986,0.78125,0.359375,0.234375
1696246172489,-0.1586914,-0.97052,-0.22662354,-0.671875,1.171875,0.9375
1696246172534,-0.15917969,-0.9558716,-0.22003174,-0.890625,0.984375,0.21875
1696246172563,-0.15209961,-0.96710205,-0.22735596,-0.359375,-0.375,-0.453125
1696246172609,-0.1550293,-0.975647,-0.2144165,-0.53125,0.609375,0.59375
1696246172654,-0.15820312,-0.9651489,-0.22564697,-0.8125,0.890625,0.6875
1696246172683,-0.15991211,-0.954895,-0.20758057,-0.53125,0.390625,0.1875
1696246172729,-0.15136719,-0.96539307,-0.22198486,-0.65625,0.375,0.21875
1696246172774,-0.15551758,-0.96759033,-0.22564697,-0.296875,0.546875,0.40625
1696246172803,-0.16040039,-0.9690552,-0.2185669,-0.125,0.703125,0.484375
1696246172849,-0.15722656,-0.9668579,-0.22296143,-0.453125,0.046875,0.09375
1696246172894,-0.15307617,-0.96539307,-0.2210083,-0.15625,0.703125,0.203125
1696246172923,-0.15844727,-0.96710205,-0.22467041,-0.46875,0.828125,0.28125
1696246172969,-0.15600586,-0.9668579,-0.21734619,-0.46875,0.171875,0.046875
1696246173029,-0.15917969,-0.97003174,-0.22442627,-0.171875,0.25,-0.015625
1696246173043,-0.14868164,-0.95391846,-0.1963501,0.1875,0.203125,0.296875
1696246173089,-0.16430664,-0.98150635,-0.23590088,-1.84375,1.4375,0.359375
1696246173119,-0.1574707,-0.9534302,-0.21783447,1.21875,0.484375,0.171875
1696246173163,-0.1550293,-0.96661377,-0.21270752,0.234375,0.109375,0.09375
1696246173209,-0.16064453,-0.97613525,-0.22320557,-0.34375,0.84375,0.515625
1696246173238,-0.15625,-0.9492798,-0.22003174,-0.140625,1.46875,0.46875
1696246173283,-0.16308594,-0.97076416,-0.22564697,-0.328125,0.4375,0.21875
1696246173344,-0.15063477,-0.9729614,-0.21417236,-0.359375,1.0,0.6875
1696246173373,-0.15307617,-0.958313,-0.22515869,-0.8125,1.3125,0.671875
1696246173403,-0.16137695,-0.9590454,-0.2300415,-0.671875,0.734375,0.09375
1696246173448,-0.15332031,-0.9763794,-0.21929932,-0.671875,0.375,0.140625
1696246173479,-0.15722656,-0.96539307,-0.22393799,-0.875,0.875,0.28125
1696246173524,-0.15429688,-0.9624634,-0.2263794,-0.515625,0.5625,0.359375
1696246173569,-0.15942383,-0.96588135,-0.22296143,-0.28125,0.703125,0.25
1696246173598,-0.15844727,-0.9602661,-0.21954346,-0.5625,0.59375,0.046875
1696246173644,-0.15527344,-0.96466064,-0.21954346,-0.203125,0.71875,0.34375
1696246173689,-0.15429688,-0.9697876,-0.22149658,-0.546875,0.71875,0.46875
1696246173718,-0.15649414,-0.9614868,-0.22125244,-0.15625,0.671875,0.21875
1696246173764,-0.15722656,-0.956604,-0.21710205,-0.03125,0.65625,0.40625
1696246173793,-0.15209961,-0.96221924,-0.21759033,0.1875,0.28125,0.0625
1696246173839,-0.16040039,-0.9734497,-0.24005127,-1.140625,1.234375,-0.171875
1696246173883,-0.15917969,-0.9680786,-0.21343994,0.578125,0.375,-0.03125
1696246173913,-0.14550781,-0.9541626,-0.23516846,-2.109375,1.9375,-0.0625
1696246173959,-0.16552734,-0.95635986,-0.23077393,0.375,0.515625,-0.375
1696246174004,-0.1616211,-0.9837036,-0.20587158,0.1875,0.71875,-0.21875
1696246174033,-0.16064453,-0.9561157,-0.22491455,-1.1875,1.359375,0.203125
1696246174079,-0.16308594,-0.96099854,-0.21905518,-0.9375,0.984375,0.046875
1696246174124,-0.16918945,-0.96661377,-0.22442627,-0.375,0.5,0.296875
1696246174153,-0.16772461,-0.9771118,-0.21173096,-0.53125,0.71875,0.390625
1696246174198,-0.1586914,-0.96759033,-0.21759033,-1.40625,1.046875,0.328125
1696246174243,-0.16552734,-0.9578247,-0.22076416,-1.109375,0.390625,-0.03125
1696246174273,-0.16040039,-0.9717407,-0.21514893,-0.546875,1.21875,0.21875
1696246174319,-0.15893555,-0.9639282,-0.222229,-0.75,0.734375,0.265625
1696246174364,-0.15966797,-0.9702759,-0.22027588,-0.65625,1.078125,0.5625
1696246174398,-0.16601562,-0.9619751,-0.21929932,-0.109375,1.15625,0.5
1696246174439,-0.15917969,-0.9697876,-0.21759033,-0.609375,0.578125,0.40625
1696246174483,-0.1640625,-0.9636841,-0.2197876,0.03125,0.96875,0.328125
1696246174513,-0.1616211,-0.96661377,-0.2197876,-0.90625,0.859375,0.421875
1696246174559,-0.16357422,-0.96466064,-0.21417236,-0.40625,1.046875,0.0625
1696246174588,-0.15795898,-0.96954346,-0.2197876,-0.078125,0.765625,0.59375
1696246174634,-0.1652832,-0.96710205,-0.21929932,-0.625,0.8125,0.484375
1696246174679,-0.16259766,-0.9585571,-0.21832275,-0.21875,1.46875,0.609375
1696246174708,-0.16357422,-0.96710205,-0.22467041,-0.359375,0.5,0.125
1696246174754,-0.1484375,-0.95513916,-0.18585205,0.6875,0.375,0.234375
1696246174798,-0.16210938,-0.9771118,-0.25177002,-1.828125,2.734375,0.859375
1696246174828,-0.16333008,-0.9558716,-0.21929932,1.203125,0.53125,0.09375
1696246174874,-0.15649414,-0.96710205,-0.20391846,0.171875,0.40625,-0.03125
1696246174919,-0.15966797,-0.97052,-0.21905518,-0.390625,1.421875,0.515625
1696246174948,-0.16503906,-0.9553833,-0.2197876,-0.21875,1.265625,0.625
1696246174994,-0.16894531,-0.96417236,-0.22369385,-0.453125,0.421875,0.203125
1696246175039,-0.15966797,-0.9639282,-0.21514893,-0.171875,0.609375,0.28125
1696246175068,-0.15649414,-0.9714966,-0.22540283,-0.765625,1.234375,0.890625
1696246175114,-0.15917969,-0.95269775,-0.22149658,-0.46875,0.859375,0.25
1696246175158,-0.1508789,-0.9685669,-0.21124268,-0.515625,-0.0625,0.09375
1696246175188,-0.15917969,-0.9656372,-0.22320557,-0.328125,0.953125,0.625
1696246175234,-0.1628418,-0.96588135,-0.21954346,-0.203125,0.8125,0.65625
1696246175278,-0.16235352,-0.9656372,-0.22076416,-0.578125,0.3125,0.5
