timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695990213064,-0.9873047,0.13476562,-0.13085938,-0.78125,-0.4375,0.4375,0,0,0
1695990213104,-0.9892578,0.14941406,-0.107421875,-2.75,-0.5625,0,0,0,0
1695990213144,-0.9863281,0.13769531,-0.13574219,-5.5625,-0.75,-0.59375,-31.0625,21.1875,-124.875
1695990213184,-0.97753906,0.13574219,-0.12792969,-3.96875,-0.4375,0.0625,0,0,0
1695990213224,-0.9814453,0.13183594,-0.13964844,-0.71875,0.53125,1.28125,0,0,0
1695990213264,-0.9951172,0.12890625,-0.12988281,1.46875,0.59375,1.28125,0,0,0
1695990213304,-0.98339844,0.13183594,-0.103515625,1.34375,1.9375,0.0625,0,0,0
1695990213344,-0.9892578,0.13085938,-0.14355469,-0.4375,1.375,0.375,0,0,0
1695990213384,-0.99121094,0.13183594,-0.11425781,-0.1875,0.59375,0.3125,0,0,0
1695990213424,-0.9814453,0.13574219,-0.140625,0.4375,0.78125,0.5,0,0,0
1695990213464,-0.98046875,0.12597656,-0.14453125,-0.90625,-0.15625,0.6875,0,0,0
1695990213504,-0.99902344,0.16015625,-0.11621094,-1.09375,-0.625,0.25,0,0,0
1695990213544,-1.0029297,0.18066406,-0.13476562,-1.53125,1.875,-0.65625,0,0,0
1695990213584,-1.0585938,0.22363281,-0.17285156,-6.78125,5.78125,-2.5625,0,0,0
1695990213624,-1.0009766,0.18554688,-0.040039062,-8.40625,1.625,-4.6875,0,0,0
1695990213664,-0.984375,0.13378906,-0.14257812,-30.625,-3.4375,-6.6875,-30.3125,19.5625,-124.5625
1695990213704,-0.9902344,0.099609375,-0.115234375,-13.59375,-5.28125,-10.59375,0,0,0
1695990213744,-0.9628906,0.018554688,-0.05078125,2.9375,-12.53125,-14.6875,0,0,0
1695990213784,-0.9941406,0.095703125,-0.09863281,-2.5625,-17.78125,-14.75,0,0,0
1695990213824,-0.95703125,0.13964844,-0.080078125,-15,-23.59375,-16.46875,0,0,0
1695990213864,-0.99902344,0.0048828125,-0.056640625,5.375,-40.59375,-13.28125,0,0,0
1695990213904,-0.7783203,-0.12011719,-0.056640625,29.90625,-66.96875,-12,0,0,0
1695990213944,-1.1679688,0.08496094,-0.13476562,29.90625,-63,0.625,0,0,0
1695990213984,-1.0517578,0.015625,-0.1640625,14.46875,-53.90625,6.65625,0,0,0
1695990214024,-1.2246094,0.022460938,-0.12988281,50.25,8.40625,3,0,0,0
1695990214064,-1.1347656,0.11035156,0.06933594,25.34375,35,-13.59375,0,0,0
1695990214104,-0.91503906,0.12695312,-0.0009765625,-19.15625,52.96875,-27.46875,0,0,0
1695990214144,-0.8876953,0.060546875,0.17773438,-45.84375,54.25,-22.3125,-35.6875,17.75,-119.125
1695990214184,-0.7597656,-0.17285156,0.17480469,-33.9375,46.78125,-9.875,0,0,0
1695990214224,-1.0087891,-0.005859375,0.30371094,-13.46875,26.96875,1.84375,0,0,0
1695990214264,-1.0839844,-0.057617188,0.14453125,-1.59375,8.71875,8.8125,0,0,0
1695990214304,-0.9824219,-0.052734375,0.053710938,-1.03125,20.625,20.875,0,0,0
1695990214344,-1.3847656,0.10839844,-0.15039062,-64.03125,2.65625,32.59375,0,0,0
1695990214384,-1.5048828,-0.16015625,-0.23730469,12.34375,-21.5,8.96875,0,0,0
1695990214424,-1.5039062,0.3857422,0.12207031,-30.8125,-48.0625,21.1875,0,0,0
1695990214464,-1.4658203,0.35351562,0.40527344,-55.46875,-63.96875,32.65625,0,0,0
1695990214504,-1.28125,0.5888672,0.15039062,-99.53125,-63.9375,21.3125,0,0,0
1695990214544,-1.1796875,-0.18066406,0.30273438,-46.9375,-93.21875,-9.15625,0,0,0
1695990214584,-0.8847656,0.034179688,-0.2783203,-59.3125,-59.15625,-62.71875,0,0,0
1695990214624,-0.6611328,-0.1328125,0.14941406,38.625,-100.375,-59.4375,0,0,0
1695990214664,-0.68359375,-0.055664062,0.013671875,103.28125,-169.03125,-41.4375,-33.3125,17.125,-103.5625
1695990214704,-0.703125,0.2109375,0.07910156,94.96875,-174.875,-35.21875,0,0,0
1695990214744,-0.83984375,0.3125,0.5449219,53.59375,-202,-19.40625,0,0,0
1695990214784,-1.0107422,0.19335938,0.49804688,79.15625,-174.8125,2.625,0,0,0
1695990214824,-1.0292969,0.076171875,0.53515625,90.28125,-181.59375,-0.71875,0,0,0
1695990214864,-0.7402344,0.12792969,0.59277344,85.875,-169.21875,-13.59375,0,0,0
1695990214904,-0.47753906,0.15136719,0.5283203,89.59375,-136.3125,-17.8125,0,0,0
1695990214944,-0.359375,0.2578125,0.4638672,65.625,-101.875,-18.90625,0,0,0
1695990214984,-0.10253906,0.3720703,0.5683594,44.1875,-65.375,-21.78125,0,0,0
1695990215024,0.0029296875,0.3310547,0.60546875,14.59375,-14.53125,-21.40625,0,0,0
1695990215064,-0.1015625,0.3173828,0.75683594,-25.375,30.8125,-27.03125,0,0,0
1695990215104,-0.09375,0.26953125,0.89160156,-25.5625,71.15625,-37.15625,0,0,0
1695990215144,-0.05859375,0.24121094,1.0664062,-54.9375,182.46875,-39.1875,-12.125,22.0625,-81.0625
1695990215184,-2,0.71484375,1.3388672,-71.28125,49.1875,21.1875,0,0,0
1695990215224,0.091796875,0.6484375,0.86035156,-24.53125,125.71875,-30.4375,0,0,0
1695990215264,-0.7011719,-0.36523438,0.22753906,-96.96875,133.78125,-16.46875,0,0,0
1695990215304,-1.2910156,0.22460938,0.53027344,-67.1875,132.3125,-0.1875,0,0,0
1695990215344,-0.7939453,-0.12792969,0.27441406,-96.75,166.96875,-16.53125,0,0,0
1695990215384,-1.1591797,-0.21679688,0.18945312,-62,166.90625,2.15625,0,0,0
1695990215424,-1.0537109,0.022460938,0.12988281,-53.8125,146.65625,14.59375,0,0,0
1695990215464,-0.74316406,0.18457031,0.17285156,-54.75,138.59375,31.125,0,0,0
1695990215504,-0.8535156,-0.033203125,0.08984375,-15.9375,101.0625,53.65625,0,0,0
1695990215544,-1.0185547,-0.22558594,-0.001953125,21.0625,51.4375,25.03125,0,0,0
1695990215584,-0.9814453,0,0.15429688,35.78125,43.1875,1.96875,0,0,0
1695990215624,-1.0566406,0.08984375,0.20703125,-22.5625,57.78125,-18.1875,0,0,0
1695990215664,-0.90722656,0.09082031,0.17382812,-46.375,61.03125,-30.03125,-34.9375,15.3125,-116.75
1695990215704,-1.1298828,0.0078125,0.051757812,-31.625,28.90625,-13,0,0,0
1695990215744,-0.9628906,-0.06347656,0.18164062,-8.59375,18.09375,-1.28125,0,0,0
1695990215784,-0.9296875,-0.06542969,0.12988281,-28.625,32.5,-3.65625,0,0,0
1695990215824,-1.0517578,-0.024414062,0.16308594,-16.0625,28.3125,14.28125,0,0,0
1695990215864,-1.0849609,0.0126953125,0.19042969,-24.96875,18.90625,21.9375,0,0,0
1695990215904,-1.5498047,-0.36914062,-0.025390625,21.0625,16.59375,23.4375,0,0,0
1695990215944,-1.5771484,0.21386719,-0.19042969,-48.75,-15.65625,-8.21875,0,0,0
1695990215984,-1.4501953,0.47753906,-0.05859375,-67.4375,-31.5,24.125,0,0,0
1695990216024,-1.3603516,0.19140625,0.13574219,19.0625,-60.1875,38.03125,0,0,0
1695990216064,-1.4365234,0.08105469,0.71191406,24.40625,-110.0625,28.9375,0,0,0
1695990216104,-1.1552734,0.23535156,0.23730469,-111.1875,-130.5,-11.59375,0,0,0
1695990216144,-1.0830078,-0.017578125,-0.39746094,-24.90625,-91.3125,-56.4375,-31.625,18.9375,-108.625
1695990216184,-0.94921875,-0.29101562,0.07324219,67.875,-156.75,-71.40625,0,0,0
