,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,0.857666,0.05682373,0.53900146,-0.5,0.53125,-0.03125
1,1697606005,0.8557129,0.06072998,0.5314331,-0.171875,0.34375,0.078125
2,1697606045,0.85961914,0.04901123,0.53289795,-0.796875,0.921875,-0.09375
3,1697606085,0.8640137,0.05340576,0.5258179,-1.25,0.359375,-0.3125
4,1697606125,0.85302734,0.050476074,0.5343628,-0.296875,0.359375,-0.15625
5,1697606165,0.8630371,0.046081543,0.5297241,-0.796875,-0.0625,-0.265625
6,1697606205,0.8642578,0.0602417,0.5404663,0.265625,0.125,-0.125
7,1697606245,0.85424805,0.049987793,0.5326538,-1.015625,1.375,-0.171875
8,1697606285,0.8515625,0.047058105,0.52996826,-0.671875,0.75,-0.40625
9,1697606325,0.85839844,0.0524292,0.53240967,-1.0,-0.46875,-0.375
10,1697606365,0.8630371,0.055847168,0.5336304,-1.0,-0.40625,-0.46875
11,1697606405,0.8642578,0.046813965,0.5363159,-0.875,-1.375,-0.828125
12,1697606445,0.87231445,0.051452637,0.5319214,-1.078125,-1.296875,-0.75
13,1697606485,0.8679199,0.055847168,0.527771,-0.59375,-2.3125,-0.8125
14,1697606525,0.85791016,0.058044434,0.5414429,-1.25,-1.890625,-1.1875
15,1697606565,0.8510742,0.048034668,0.53778076,-0.734375,-1.828125,-1.078125
16,1697606605,0.8474121,0.050720215,0.5465698,-0.6875,-2.140625,-0.9375
17,1697606645,0.84594727,0.04486084,0.55682373,0.015625,-1.3125,-0.765625
18,1697606685,0.83691406,0.047058105,0.56585693,-0.09375,-1.375,-0.640625
19,1697606725,0.83984375,0.039245605,0.5387573,-2.078125,-2.59375,-0.53125
20,1697606765,0.83569336,0.051940918,0.55023193,-3.546875,0.375,-0.296875
21,1697606805,0.8442383,0.044128418,0.5734253,2.53125,2.828125,-0.3125
22,1697606845,0.84277344,0.046081543,0.5661011,1.265625,0.265625,-0.078125
23,1697606885,0.8400879,0.050231934,0.54852295,-0.875,0.640625,0.421875
24,1697606925,0.83862305,0.04827881,0.5463257,-1.25,0.78125,0.234375
25,1697606965,0.85131836,0.038757324,0.56414795,-0.53125,0.703125,-0.203125
26,1697607005,0.85180664,0.04876709,0.54608154,-1.78125,-0.03125,-0.234375
27,1697607045,0.84936523,0.051452637,0.5453491,-1.90625,0.203125,-0.140625
28,1697607085,0.8522949,0.042175293,0.54803467,-0.40625,0.6875,-0.15625
29,1697607125,0.8557129,0.04534912,0.54241943,-1.09375,-0.140625,-0.109375
30,1697607165,0.8630371,0.057800293,0.5429077,-0.453125,-0.046875,-0.09375
31,1697607205,0.8532715,0.050720215,0.5453491,-0.78125,0.296875,0.09375
32,1697607245,0.84716797,0.04437256,0.55340576,0.0625,0.734375,-0.0625
33,1697607285,0.8461914,0.04486084,0.54364014,-0.96875,0.4375,-0.1875
34,1697607325,0.8535156,0.046081543,0.54559326,-0.625,-0.09375,-0.375
35,1697607365,0.8552246,0.046325684,0.54681396,-0.609375,-0.265625,-0.21875
36,1697607405,0.84155273,0.047546387,0.5656128,-0.25,0.171875,-0.296875
37,1697607445,0.8444824,0.047302246,0.53167725,-2.25,-1.125,-0.4375
38,1697607485,0.8444824,0.043884277,0.54193115,-3.140625,1.25,-0.296875
39,1697607525,0.84594727,0.045837402,0.5656128,2.171875,2.34375,-0.359375
