,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,0.2614746,-0.06451416,-0.9229126,0.984375,1.9375,0.34375
1,1697606005,0.25854492,-0.066711426,-0.9182739,0.96875,1.890625,0.328125
2,1697606045,0.26098633,-0.06402588,-0.91607666,1.109375,1.921875,0.46875
3,1697606085,0.25805664,-0.0635376,-0.9194946,1.03125,1.640625,0.4375
4,1697606125,0.25097656,-0.0647583,-0.9143677,0.640625,1.296875,0.3125
5,1697606165,0.24853516,-0.06036377,-0.9151001,-0.546875,1.234375,-0.03125
6,1697606205,0.2553711,-0.06304932,-0.92193604,-1.796875,1.96875,-0.28125
7,1697606245,0.25317383,-0.06060791,-0.92388916,-1.703125,0.984375,-0.15625
8,1697606285,0.25097656,-0.06768799,-0.92926025,-1.046875,0.71875,-0.046875
9,1697606325,0.25024414,-0.06695557,-0.91656494,-1.125,0.75,-0.015625
10,1697606365,0.24829102,-0.07647705,-0.9204712,-1.59375,0.828125,-0.15625
11,1697606405,0.2548828,-0.077941895,-0.92022705,-1.640625,0.125,-0.21875
12,1697606445,0.25463867,-0.06915283,-0.9170532,-1.921875,-0.0625,-0.171875
13,1697606485,0.25610352,-0.07476807,-0.92755127,-1.296875,-0.34375,-0.203125
14,1697606525,0.25683594,-0.074279785,-0.9216919,-0.90625,-0.625,0.0
15,1697606565,0.2602539,-0.07745361,-0.9241333,-0.296875,-0.25,0.078125
16,1697606605,0.26049805,-0.07720947,-0.92193604,0.625,0.34375,0.34375
17,1697606645,0.25878906,-0.07550049,-0.9209595,2.390625,1.078125,0.828125
18,1697606685,0.25268555,-0.07281494,-0.90875244,3.203125,1.3125,0.75
19,1697606725,0.2607422,-0.06085205,-0.911438,2.375,1.609375,0.578125
20,1697606765,0.25634766,-0.06549072,-0.9273071,0.828125,1.953125,0.3125
21,1697606805,0.25634766,-0.06549072,-0.92022705,1.0625,1.890625,0.265625
22,1697606845,0.25512695,-0.06549072,-0.9192505,1.046875,1.828125,0.515625
23,1697606885,0.2536621,-0.058410645,-0.9158325,1.046875,1.65625,0.3125
24,1697606925,0.24731445,-0.06036377,-0.9221802,0.171875,1.421875,0.265625
25,1697606965,0.25268555,-0.06036377,-0.91900635,-0.4375,1.453125,0.203125
26,1697607005,0.24487305,-0.06329346,-0.9192505,-1.875,1.140625,-0.109375
27,1697607045,0.2590332,-0.065979004,-0.9241333,-2.15625,0.78125,-0.28125
28,1697607085,0.25341797,-0.06378174,-0.91778564,-1.75,0.34375,-0.109375
29,1697607125,0.25048828,-0.06964111,-0.9216919,-1.5625,0.46875,-0.015625
30,1697607165,0.2524414,-0.06964111,-0.91070557,-1.578125,0.3125,-0.015625
31,1697607205,0.25268555,-0.07672119,-0.9168091,-1.703125,0.40625,-0.078125
32,1697607245,0.25439453,-0.07696533,-0.91973877,-1.234375,0.234375,-0.109375
33,1697607285,0.26220703,-0.0713501,-0.9168091,-0.578125,0.171875,0.171875
34,1697607325,0.25830078,-0.07525635,-0.92144775,-0.109375,0.15625,0.1875
35,1697607365,0.25952148,-0.07891846,-0.9170532,0.171875,0.296875,0.109375
36,1697607405,0.25976562,-0.077697754,-0.9221802,0.953125,0.25,0.375
37,1697607445,0.25830078,-0.07867432,-0.9234009,2.171875,0.765625,0.546875
38,1697607485,0.25512695,-0.06817627,-0.9126587,3.1875,1.421875,0.734375
39,1697607525,0.25878906,-0.065979004,-0.91851807,2.609375,1.234375,0.625
40,1697607565,0.25512695,-0.062805176,-0.91607666,1.21875,2.015625,0.21875
41,1697607605,0.25390625,-0.058654785,-0.9158325,0.578125,1.78125,0.3125
42,1697607645,0.24902344,-0.05645752,-0.91534424,0.6875,1.484375,0.40625
43,1697607685,0.25854492,-0.05645752,-0.9260864,0.515625,1.390625,0.453125
44,1697607725,0.25756836,-0.059143066,-0.91412354,0.265625,1.171875,0.3125
45,1697607765,0.25317383,-0.057922363,-0.9146118,-0.53125,1.515625,0.375
46,1697607805,0.2524414,-0.05645752,-0.91363525,-2.03125,1.671875,-0.078125
47,1697607845,0.2565918,-0.058654785,-0.925354,-1.625,1.359375,-0.234375
48,1697607885,0.24902344,-0.066467285,-0.9209595,-1.265625,0.703125,-0.03125
49,1697607925,0.25317383,-0.057434082,-0.92193604,-1.34375,0.9375,-0.078125
50,1697607965,0.24682617,-0.06964111,-0.91607666,-1.546875,0.578125,-0.0625
51,1697608005,0.25195312,-0.07354736,-0.9175415,-1.234375,0.296875,0.03125
52,1697608045,0.2529297,-0.07354736,-0.9260864,-0.875,0.390625,-0.015625
53,1697608085,0.25634766,-0.074523926,-0.9234009,-0.578125,0.28125,-0.140625
54,1697608125,0.25610352,-0.06964111,-0.9224243,-0.046875,0.625,-0.03125
55,1697608165,0.2590332,-0.069885254,-0.9326782,0.0,0.8125,0.03125
56,1697608205,0.25219727,-0.07232666,-0.9085083,1.515625,0.265625,0.46875
57,1697608245,0.2602539,-0.06500244,-0.92022705,2.59375,0.828125,0.671875
58,1697608285,0.25073242,-0.062561035,-0.90826416,3.265625,0.09375,0.84375
59,1697608325,0.25317383,-0.059143066,-0.9180298,2.203125,0.515625,0.609375
60,1697608365,0.25610352,-0.0647583,-0.925354,1.03125,1.390625,0.546875
61,1697608405,0.26245117,-0.054748535,-0.9319458,0.1875,1.359375,0.140625
62,1697608445,0.25561523,-0.05230713,-0.9155884,0.640625,1.390625,0.484375
63,1697608485,0.2548828,-0.05987549,-0.911438,-0.296875,1.765625,0.3125
64,1697608525,0.24707031,-0.057434082,-0.9133911,-1.234375,2.140625,-0.078125
65,1697608565,0.24194336,-0.062805176,-0.90704346,-1.90625,2.015625,-0.21875
66,1697608605,0.25048828,-0.058410645,-0.93048096,-2.375,1.890625,-0.34375
67,1697608645,0.24365234,-0.06329346,-0.9224243,-1.921875,0.9375,-0.109375
68,1697608685,0.2487793,-0.06451416,-0.9365845,-2.21875,1.078125,-0.25
69,1697608725,0.24511719,-0.0713501,-0.92315674,-2.1875,0.765625,-0.1875
70,1697608765,0.24511719,-0.074035645,-0.9170532,-1.765625,0.0,-0.0625
71,1697608805,0.24731445,-0.07720947,-0.9290161,-2.203125,-0.78125,0.046875
72,1697608845,0.25219727,-0.078430176,-0.9168091,-1.328125,-0.890625,0.046875
73,1697608885,0.24731445,-0.0803833,-0.9324341,-0.03125,-0.625,0.3125
74,1697608925,0.2619629,-0.07183838,-0.92681885,1.3125,-0.265625,0.65625
75,1697608965,0.25463867,-0.08331299,-0.9199829,1.765625,0.625,0.5625
76,1697609005,0.2578125,-0.073791504,-0.90826416,2.421875,1.328125,0.640625
77,1697609045,0.25219727,-0.06817627,-0.91851807,2.53125,1.515625,0.734375
78,1697609085,0.25854492,-0.06695557,-0.9290161,2.0,1.953125,0.578125
79,1697609125,0.2529297,-0.0635376,-0.92022705,1.875,2.125,0.515625
80,1697609165,0.2475586,-0.06329346,-0.9216919,1.171875,1.9375,0.453125
81,1697609205,0.25341797,-0.058654785,-0.9209595,0.546875,1.609375,0.484375
82,1697609245,0.24560547,-0.057434082,-0.91412354,-1.078125,1.578125,0.015625
83,1697609285,0.24316406,-0.057922363,-0.9277954,-3.421875,2.1875,-0.375
84,1697609325,0.24902344,-0.06573486,-0.93048096,-3.078125,0.78125,-0.234375
85,1697609365,0.24658203,-0.06915283,-0.91656494,-2.078125,0.125,-0.171875
86,1697609405,0.24682617,-0.06939697,-0.91412354,-2.3125,-0.125,0.015625
87,1697609445,0.24926758,-0.07647705,-0.9180298,-2.953125,-0.671875,-0.203125
88,1697609485,0.2512207,-0.0803833,-0.9194946,-2.828125,-1.375,-0.125
89,1697609525,0.25268555,-0.08087158,-0.9180298,-2.578125,-1.125,-0.21875
90,1697609565,0.25561523,-0.08892822,-0.92755127,-1.359375,-0.90625,0.0
91,1697609605,0.265625,-0.08770752,-0.9194946,-0.109375,-0.578125,0.40625
92,1697609645,0.25878906,-0.08013916,-0.90948486,1.828125,-0.125,0.515625
93,1697609685,0.26611328,-0.08306885,-0.9155884,2.6875,1.234375,0.484375
94,1697609725,0.26416016,-0.07232666,-0.9146118,3.484375,1.609375,0.625
95,1697609765,0.2607422,-0.074279785,-0.9229126,3.34375,1.21875,0.84375
96,1697609805,0.25463867,-0.06719971,-0.9299927,2.546875,2.1875,0.65625
97,1697609845,0.25732422,-0.06549072,-0.92193604,2.21875,3.359375,0.484375
98,1697609885,0.25195312,-0.06011963,-0.9146118,1.96875,3.75,0.484375
99,1697609925,0.24829102,-0.061828613,-0.92510986,0.765625,3.265625,0.1875
100,1697609965,0.24047852,-0.062561035,-0.90826416,0.40625,2.75,0.265625
101,1697610005,0.24072266,-0.06036377,-0.9216919,-0.328125,2.75,0.015625
102,1697610045,0.23339844,-0.057434082,-0.90753174,-0.78125,2.203125,0.015625
103,1697610085,0.2368164,-0.066467285,-0.9331665,-2.25,2.203125,-0.078125
104,1697610125,0.24047852,-0.059387207,-0.91778564,-2.140625,-0.109375,-0.296875
105,1697610165,0.23364258,-0.070373535,-0.9326782,-3.078125,-1.03125,-0.140625
106,1697610205,0.2409668,-0.07305908,-0.92144775,-3.0,-0.890625,-0.09375
107,1697610245,0.24658203,-0.07623291,-0.91973877,-2.484375,-0.96875,-0.109375
108,1697610285,0.24902344,-0.082092285,-0.9229126,-1.953125,-0.984375,-0.125
109,1697610325,0.24609375,-0.08453369,-0.9146118,-1.59375,-1.234375,0.078125
110,1697610365,0.2512207,-0.0869751,-0.9248657,-1.421875,-0.921875,0.140625
111,1697610405,0.25463867,-0.081848145,-0.923645,-0.53125,-0.4375,0.140625
112,1697610445,0.25561523,-0.08795166,-0.9241333,0.71875,0.171875,0.421875
113,1697610485,0.25341797,-0.077697754,-0.9199829,2.34375,0.46875,0.578125
114,1697610525,0.25024414,-0.08380127,-0.91119385,2.265625,0.859375,0.578125
115,1697610565,0.25830078,-0.07720947,-0.9187622,2.296875,1.28125,0.703125
116,1697610605,0.25610352,-0.07696533,-0.9216919,1.84375,1.65625,0.5625
117,1697610645,0.25634766,-0.0635376,-0.9224243,0.734375,1.921875,0.4375
118,1697610685,0.2541504,-0.06427002,-0.9221802,0.109375,2.046875,0.34375
119,1697610725,0.2541504,-0.066467285,-0.923645,-0.171875,2.1875,0.1875
120,1697610765,0.24365234,-0.06695557,-0.9060669,-0.90625,2.125,-0.015625
121,1697610805,0.24829102,-0.06964111,-0.923645,-2.734375,2.546875,-0.359375
122,1697610845,0.25146484,-0.07647705,-0.92852783,-2.578125,1.609375,-0.21875
123,1697610885,0.25,-0.0803833,-0.925354,-1.8125,1.0,0.171875
124,1697610925,0.25219727,-0.08526611,-0.927063,-1.578125,0.390625,0.078125
125,1697610965,0.25830078,-0.077941895,-0.90631104,-1.96875,0.0625,0.078125
126,1697611005,0.24560547,-0.08746338,-0.9155884,-1.625,0.03125,-0.203125
127,1697611045,0.24731445,-0.089904785,-0.9277954,-2.1875,-0.1875,-0.0625
