,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.0036621094,-1.0176392,0.17572021,7.375,4.171875,2.765625
1,1697606005,-0.017333984,-1.0401001,0.17132568,10.15625,2.1875,2.171875
2,1697606045,-0.036132812,-0.9961548,0.1083374,16.453125,4.9375,2.5
3,1697606085,-0.00048828125,-1.0003052,0.11248779,21.046875,2.5625,2.0625
4,1697606125,-0.0061035156,-0.9673462,0.04534912,18.625,2.859375,2.0
5,1697606165,-0.00390625,-0.97613525,0.03338623,22.71875,2.0,2.1875
6,1697606205,-0.0031738281,-0.99053955,-0.027160645,21.203125,-1.0,1.3125
7,1697606245,0.014892578,-0.9824829,-0.038391113,11.90625,1.171875,-0.140625
8,1697606285,-0.0017089844,-0.9871216,-0.051086426,2.8125,-0.34375,-0.796875
9,1697606325,0.0063476562,-0.9717407,-0.047668457,-2.734375,-1.1875,-1.375
10,1697606365,0.0063476562,-0.99713135,-0.010803223,-6.5,-1.875,-3.390625
11,1697606405,0.01586914,-0.9668579,-0.014953613,-7.671875,0.59375,-2.28125
12,1697606445,0.007080078,-0.9492798,-0.00982666,-16.59375,-9.5625,-1.25
13,1697606485,-0.038330078,-0.9282837,-0.03668213,-28.28125,-9.421875,-3.671875
14,1697606525,0.040039062,-0.9768677,0.12860107,-16.703125,-2.1875,2.640625
15,1697606565,-0.01977539,-1.0784302,0.11956787,-5.234375,2.71875,-1.0
16,1697606605,0.018066406,-1.038147,0.074157715,-5.265625,5.609375,-6.109375
17,1697606645,0.0029296875,-1.0059204,0.113220215,-4.09375,4.46875,-3.0625
18,1697606685,-0.030761719,-0.9837036,0.11199951,-4.03125,0.625,-2.9375
19,1697606725,-0.0029296875,-0.9902954,0.10491943,-0.109375,5.265625,-2.09375
20,1697606765,-0.0068359375,-1.0003052,0.093444824,-0.4375,1.390625,-0.796875
21,1697606805,-0.03930664,-1.0151978,0.12371826,3.234375,0.578125,-1.046875
22,1697606845,-0.014160156,-1.0322876,0.14276123,6.140625,-0.875,-1.875
23,1697606885,-0.01977539,-1.0339966,0.10076904,12.125,1.515625,-3.0
24,1697606925,-0.022216797,-0.99591064,0.030212402,14.984375,9.421875,-3.21875
25,1697606965,-0.020019531,-0.9793091,0.019470215,20.75,5.265625,1.03125
26,1697607005,-0.04638672,-0.9788208,0.010192871,22.4375,-1.078125,2.875
27,1697607045,-0.03930664,-0.93634033,-0.035705566,2.40625,-6.21875,-1.75
28,1697607085,-0.043701172,-0.99884033,-0.027893066,7.109375,-3.4375,2.9375
29,1697607125,-0.025634766,-1.0054321,0.001159668,-0.015625,-0.84375,-1.359375
30,1697607165,-0.03173828,-0.99005127,-0.0134887695,-3.546875,-3.125,-0.34375
31,1697607205,-0.014404297,-0.9668579,-0.036193848,-6.65625,-4.453125,-0.9375
32,1697607245,-0.032958984,-0.96710205,-0.002746582,-17.828125,-6.671875,-0.984375
33,1697607285,-0.06616211,-0.9507446,-0.051818848,-32.125,-16.15625,-1.28125
34,1697607325,0.03466797,-0.98394775,0.15496826,-10.84375,3.515625,-0.71875
35,1697607365,-0.0048828125,-1.0474243,0.10687256,-3.078125,-3.09375,1.6875
36,1697607405,-0.0056152344,-1.0298462,0.08392334,-2.734375,2.046875,-4.640625
37,1697607445,-0.0234375,-1.0110474,0.10076904,-3.734375,3.25,-0.984375
38,1697607485,-0.026367188,-1.0076294,0.12054443,-1.25,2.375,-0.53125
39,1697607525,-0.03100586,-0.9807739,0.09197998,-1.5,1.25,0.53125
40,1697607565,-0.025146484,-0.99005127,0.089782715,0.359375,0.421875,0.609375
41,1697607605,-0.028076172,-1.0003052,0.10418701,0.671875,0.0625,0.171875
42,1697607645,-0.031982422,-1.0176392,0.11419678,2.703125,0.96875,-0.796875
43,1697607685,-0.014160156,-1.0271606,0.11199951,4.859375,6.0625,-5.453125
44,1697607725,-0.026855469,-1.0281372,0.0927124,8.953125,4.71875,-1.6875
45,1697607765,-0.07446289,-0.9817505,0.04876709,11.078125,4.46875,1.03125
46,1697607805,-0.042236328,-0.98443604,0.0602417,11.296875,3.03125,3.203125
47,1697607845,-0.032470703,-0.96173096,-0.008850098,6.25,-0.15625,1.9375
