,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.234375,0.41992188,-0.8613281,14.1875,3.09375,-5.25
1,1697606005,-0.19140625,0.40625,-0.8408203,8.625,14.15625,-0.28125
2,1697606045,-0.1796875,0.3876953,-0.9013672,3.25,18.375,4.21875
3,1697606085,-0.16601562,0.36816406,-0.8105469,0.0,22.625,6.59375
4,1697606125,-0.13183594,0.4091797,-0.87402344,-12.875,21.65625,8.6875
5,1697606165,-0.12695312,0.42382812,-0.8828125,-13.78125,20.5,8.25
6,1697606205,-0.15136719,0.4560547,-1.0722656,-20.25,14.59375,8.6875
7,1697606245,-0.1484375,0.5214844,-1.1083984,-33.90625,14.09375,11.25
8,1697606285,-0.13867188,0.5546875,-1.1923828,-61.5,25.9375,19.78125
9,1697606325,-0.1796875,0.62402344,-1.2177734,-118.34375,38.03125,45.0
10,1697606365,-0.16113281,0.7597656,-1.1796875,-180.65625,4.34375,87.59375
11,1697606405,0.0146484375,0.55566406,-0.7998047,-132.375,-43.03125,47.125
12,1697606445,-0.034179688,0.7519531,-0.61816406,-138.71875,36.0625,55.90625
13,1697606485,0.21484375,0.88671875,-0.44335938,-165.15625,75.125,25.9375
14,1697606525,0.2685547,0.70410156,-0.25390625,-148.4375,6.84375,-16.71875
15,1697606565,0.14257812,0.71484375,-0.22167969,-92.9375,13.90625,-15.4375
16,1697606605,0.044921875,0.7392578,-0.18847656,-73.90625,38.625,9.65625
17,1697606645,0.08496094,0.859375,-0.19238281,-54.1875,41.9375,14.21875
18,1697606685,0.18554688,1.0703125,-0.16308594,-43.375,28.5,5.6875
19,1697606725,0.24511719,1.0996094,-0.16992188,-58.15625,20.0625,9.15625
20,1697606765,0.21484375,1.0263672,-0.18847656,-62.59375,3.46875,8.75
21,1697606805,0.10546875,0.91503906,-0.09472656,-73.09375,15.5,3.4375
22,1697606845,-0.12402344,0.93066406,-0.10839844,-64.375,-12.75,14.96875
23,1697606885,0.00390625,0.84277344,-0.052734375,-71.09375,-9.09375,6.0625
24,1697606925,0.15917969,0.92285156,-0.06933594,-38.8125,4.875,16.90625
25,1697606965,0.32910156,0.9941406,0.08203125,-40.75,25.375,22.96875
26,1697607005,0.21289062,1.0048828,0.080078125,-47.53125,6.53125,15.09375
27,1697607045,0.17675781,0.99121094,0.15722656,-51.5625,5.84375,-7.375
28,1697607085,0.17480469,0.94628906,0.19921875,-45.625,-15.5,-15.1875
29,1697607125,0.26367188,0.8671875,0.28808594,-44.71875,-30.53125,-31.0
30,1697607165,0.22070312,0.7988281,0.30566406,-35.8125,-17.28125,-26.15625
31,1697607205,0.07519531,0.859375,0.24511719,-7.125,-2.375,-4.25
32,1697607245,0.07714844,0.8828125,0.2841797,0.3125,0.65625,2.5625
33,1697607285,0.15136719,0.97753906,0.3779297,3.625,-8.5625,6.1875
34,1697607325,0.20019531,1.0234375,0.37597656,-28.78125,4.5,5.03125
35,1697607365,0.17480469,0.9873047,0.34960938,-39.71875,-1.34375,15.9375
36,1697607405,0.12597656,0.89453125,0.29589844,-17.1875,-7.6875,13.5625
37,1697607445,0.13378906,0.90722656,0.28710938,18.9375,-9.34375,0.25
38,1697607485,0.2109375,0.98535156,0.31835938,23.9375,-0.4375,-7.8125
39,1697607525,0.22167969,0.97753906,0.27441406,9.15625,-0.3125,-8.03125
40,1697607565,0.16894531,0.9091797,0.23632812,9.65625,-6.90625,-7.6875
41,1697607605,0.18066406,0.88378906,0.24609375,10.75,-1.90625,-3.84375
42,1697607645,0.15136719,0.86621094,0.2421875,16.4375,-1.34375,3.0625
43,1697607685,0.140625,0.8925781,0.25976562,19.84375,-1.09375,4.53125
44,1697607725,0.140625,0.94628906,0.23730469,21.25,-2.5,5.375
45,1697607765,0.17675781,0.9980469,0.21582031,20.53125,-4.40625,6.46875
46,1697607805,0.18359375,1.0410156,0.15722656,19.0625,-7.4375,3.4375
47,1697607845,0.18652344,1.0449219,0.10644531,23.9375,-21.0,-7.75
48,1697607885,0.23046875,1.0195312,0.06738281,25.40625,-14.53125,-20.5625
49,1697607925,0.1953125,0.9248047,0.13964844,10.4375,-4.15625,-19.625
50,1697607965,0.18457031,0.9589844,0.15527344,-7.6875,4.03125,-12.3125
51,1697608005,0.13085938,0.96484375,0.043945312,-9.1875,8.0,-12.625
52,1697608045,0.1328125,1.0361328,0.14550781,-17.5,12.15625,-10.59375
53,1697608085,0.1640625,1.0878906,0.11328125,-26.53125,15.4375,-11.21875
54,1697608125,0.15527344,1.171875,0.1328125,-46.0625,17.03125,-15.6875
55,1697608165,0.21386719,1.078125,0.20605469,-79.875,26.4375,-19.59375
56,1697608205,0.2529297,0.8701172,0.2626953,-83.46875,38.875,-20.6875
57,1697608245,0.22558594,0.95996094,0.34277344,-80.625,-7.625,3.90625
58,1697608285,0.12890625,0.8828125,0.45996094,-73.03125,-58.84375,37.5
59,1697608325,0.046875,0.7558594,0.45703125,-64.375,-19.09375,13.125
60,1697608365,0.083984375,0.86035156,0.53808594,-38.1875,9.6875,-3.53125
61,1697608405,0.1171875,0.79589844,0.5859375,-52.96875,20.375,-8.03125
