,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.09716797,-0.83673096,0.04119873,-3.09375,-11.484375,6.046875
1,1697606005,-0.15551758,-0.8850708,-0.028869629,0.296875,-20.671875,6.265625
2,1697606045,-0.048583984,-1.3064575,-0.0635376,5.3125,-15.671875,5.96875
3,1697606085,0.23461914,-1.6008911,-0.07623291,14.578125,-4.125,15.78125
4,1697606125,0.29345703,-1.4815063,-0.006652832,-3.34375,-3.984375,13.0625
5,1697606165,-0.22583008,-1.0916138,0.04534912,-3.796875,-3.359375,2.796875
6,1697606205,0.04296875,-0.80181885,0.062194824,5.109375,-0.90625,-0.34375
7,1697606245,0.011230469,-0.8464966,0.07635498,2.609375,-5.78125,-0.359375
8,1697606285,-0.015136719,-0.99224854,-0.018371582,7.15625,-1.828125,2.015625
9,1697606325,0.025634766,-1.3731079,-0.13555908,10.078125,-0.3125,5.734375
10,1697606365,-0.036376953,-2.0,-0.65509033,23.453125,-2.828125,12.09375
11,1697606405,0.020996094,-1.6489868,0.012634277,3.375,-14.96875,17.375
12,1697606445,-0.16870117,-0.7769165,0.4093628,-14.5625,14.578125,1.21875
13,1697606485,-0.13378906,-0.62042236,-0.043518066,6.125,22.984375,-2.046875
14,1697606525,0.11352539,-1.0142212,-0.22149658,4.484375,1.21875,4.609375
15,1697606565,-0.0793457,-0.77960205,0.014587402,-14.078125,-4.046875,0.640625
16,1697606605,-0.068847656,-0.66534424,0.012634277,-10.078125,-2.609375,0.328125
17,1697606645,-0.09643555,-0.6746216,0.029724121,-10.96875,-3.265625,-3.140625
18,1697606685,-0.09448242,-0.7637329,0.08807373,-1.84375,2.09375,0.359375
19,1697606725,-0.09667969,-0.80596924,0.031921387,-2.609375,-0.15625,0.9375
20,1697606765,-0.107177734,-0.8518677,-0.046936035,0.671875,-5.21875,-4.046875
21,1697606805,-0.06323242,-1.2000122,-0.06011963,8.828125,-15.046875,-8.0
22,1697606845,0.30322266,-1.5501099,-0.042297363,17.5,7.015625,4.40625
23,1697606885,0.41870117,-1.5120239,-0.16021729,3.984375,-9.03125,6.046875
24,1697606925,-0.15161133,-1.3106079,0.1564331,1.296875,1.46875,-1.53125
25,1697606965,-0.09814453,-1.2442017,-0.016174316,10.78125,2.921875,-0.734375
26,1697607005,0.044433594,-1.0029907,-0.012023926,-4.328125,4.390625,-1.09375
27,1697607045,0.06640625,-1.0337524,0.04144287,2.71875,-3.796875,3.546875
28,1697607085,-0.013916016,-1.0493774,0.066101074,-5.046875,3.5,3.015625
29,1697607125,0.06567383,-0.83428955,-0.07623291,-3.546875,7.65625,1.046875
30,1697607165,0.095947266,-0.8982544,-0.025939941,-1.328125,2.59375,0.265625
31,1697607205,-0.0031738281,-0.9246216,0.06976318,-2.34375,0.015625,0.96875
32,1697607245,0.0009765625,-0.798645,0.018981934,-8.578125,5.71875,-2.75
33,1697607285,0.032958984,-0.79473877,0.06341553,-6.296875,4.1875,-5.78125
34,1697607325,0.045898438,-0.73687744,0.09246826,-2.25,5.296875,-5.390625
35,1697607365,0.04345703,-0.7210083,0.06121826,-1.171875,4.1875,-4.65625
36,1697607405,-0.0075683594,-0.802063,0.023620605,2.265625,4.75,-5.21875
37,1697607445,0.080078125,-0.9602661,0.01776123,3.171875,-5.90625,-2.4375
38,1697607485,-0.025878906,-1.0505981,0.11956787,0.84375,-0.484375,-3.546875
39,1697607525,-0.0029296875,-1.0701294,0.07611084,-1.015625,-2.6875,-1.140625
40,1697607565,-0.080322266,-1.0855103,-0.018127441,6.578125,-2.0,0.78125
41,1697607605,-0.024902344,-1.2019653,-0.17974854,7.625,3.953125,7.609375
42,1697607645,-0.09863281,-1.5046997,-0.30181885,11.546875,2.0,12.96875
43,1697607685,0.025390625,-1.4607544,-0.059631348,2.875,-9.875,9.96875
44,1697607725,-0.027832031,-1.0213013,0.22210693,-10.234375,4.171875,2.59375
45,1697607765,-0.15917969,-0.83843994,0.05706787,1.46875,8.359375,0.125
46,1697607805,-0.0056152344,-1.0386353,-0.04473877,0.203125,0.21875,0.96875
47,1697607845,-0.029052734,-1.019104,-0.0032348633,-1.859375,0.375,-0.3125
48,1697607885,-0.07348633,-0.97076416,0.03387451,-6.46875,-0.25,-2.265625
49,1697607925,-0.12158203,-0.9302368,0.04559326,-7.578125,2.125,-2.0
50,1697607965,-0.08325195,-0.8609009,-0.016418457,-8.890625,-1.4375,-1.21875
51,1697608005,-0.05419922,-0.73272705,-0.01373291,-9.4375,-3.8125,-2.140625
52,1697608045,-0.09667969,-0.5886841,0.054626465,-2.0,0.8125,-2.125
53,1697608085,-0.096191406,-0.6087036,0.022644043,-0.984375,5.09375,-0.28125
54,1697608125,-0.118652344,-0.7739868,0.019470215,-3.515625,4.515625,0.0625
55,1697608165,-0.12646484,-0.94317627,-0.027160645,-2.5625,0.734375,-0.3125
56,1697608205,-0.021484375,-1.03302,-0.04864502,1.890625,-9.4375,0.796875
57,1697608245,0.05419922,-1.4556274,-0.00592041,3.171875,-6.0,-3.828125
58,1697608285,0.16723633,-1.4824829,-0.08062744,3.953125,11.9375,2.65625
59,1697608325,0.25634766,-1.4707642,-0.23980713,4.03125,-14.609375,0.328125
60,1697608365,-0.09716797,-1.3027954,0.0067749023,10.125,-3.5,-1.25
61,1697608405,-0.064208984,-1.1367798,0.0072631836,0.265625,5.65625,-0.703125
62,1697608445,-0.030273438,-0.69317627,0.059020996,3.765625,0.65625,6.328125
63,1697608485,-0.016845703,-0.9234009,0.019226074,5.890625,5.15625,0.421875
64,1697608525,0.10107422,-1.003479,-0.007873535,-3.0,3.75,2.0625
65,1697608565,0.061279297,-1.0252075,0.027282715,1.859375,-1.921875,2.328125
