,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,1697605965,-0.9313965,-0.16290283,-0.3477173,1.765625,-2.9375,-0.375
1,1697606005,-0.91625977,-0.17706299,-0.41973877,1.421875,-2.4375,-0.3125
2,1697606045,-0.9267578,-0.1675415,-0.37384033,-0.046875,-0.84375,0.03125
3,1697606085,-0.9187012,-0.16412354,-0.38775635,0.109375,-0.296875,-0.96875
4,1697606125,-0.92089844,-0.15924072,-0.37261963,1.09375,-2.21875,0.140625
5,1697606165,-0.92578125,-0.16192627,-0.38238525,1.03125,-3.859375,0.421875
6,1697606205,-0.92089844,-0.159729,-0.38531494,1.671875,-3.5625,0.734375
7,1697606245,-0.92163086,-0.16119385,-0.380188,2.203125,-3.34375,0.53125
8,1697606285,-0.9094238,-0.16192627,-0.41192627,2.75,-3.03125,0.78125
9,1697606325,-0.9086914,-0.1609497,-0.40704346,3.921875,-4.859375,1.265625
10,1697606365,-0.92285156,-0.15899658,-0.39483643,3.34375,-5.46875,1.578125
11,1697606405,-0.90771484,-0.15386963,-0.3982544,3.984375,-5.71875,1.40625
12,1697606445,-0.90893555,-0.14605713,-0.39263916,3.9375,-10.109375,2.125
13,1697606485,-0.9057617,-0.14508057,-0.4180298,4.703125,-16.3125,3.6875
14,1697606525,-0.88061523,-0.17218018,-0.4685669,5.53125,-17.984375,5.5
15,1697606565,-0.857666,-0.18463135,-0.538147,3.15625,-12.0,3.75
16,1697606605,-0.86206055,-0.16802979,-0.4932251,1.421875,-0.859375,2.0625
17,1697606645,-0.8635254,-0.1741333,-0.5137329,-1.890625,4.03125,0.78125
18,1697606685,-0.87280273,-0.17120361,-0.4661255,-2.4375,3.921875,1.375
19,1697606725,-0.87524414,-0.16729736,-0.47540283,-1.75,2.265625,0.8125
20,1697606765,-0.8774414,-0.17559814,-0.48468018,-2.4375,4.75,0.6875
21,1697606805,-0.87939453,-0.17706299,-0.45880127,-2.8125,7.1875,0.890625
22,1697606845,-0.88183594,-0.18096924,-0.4451294,-3.046875,7.453125,0.46875
23,1697606885,-0.8955078,-0.18341064,-0.440979,-2.015625,6.25,0.3125
24,1697606925,-0.8972168,-0.18145752,-0.4356079,-1.734375,6.96875,-0.015625
25,1697606965,-0.90478516,-0.17608643,-0.40948486,-0.984375,6.203125,0.265625
26,1697607005,-0.9038086,-0.18096924,-0.4126587,-1.203125,5.078125,0.0
27,1697607045,-0.91064453,-0.18511963,-0.3982544,0.15625,3.6875,0.09375
28,1697607085,-0.9104004,-0.18951416,-0.40899658,-0.5,3.796875,-0.234375
29,1697607125,-0.91430664,-0.17486572,-0.37799072,0.171875,2.40625,-0.03125
30,1697607165,-0.9111328,-0.18902588,-0.39752197,-1.4375,2.203125,-0.5
31,1697607205,-0.91259766,-0.18560791,-0.37774658,-2.015625,3.21875,-2.09375
32,1697607245,-0.91552734,-0.18267822,-0.39141846,-2.453125,2.4375,-3.390625
33,1697607285,-0.9301758,-0.1663208,-0.3460083,-0.671875,4.1875,-3.296875
34,1697607325,-0.92089844,-0.17633057,-0.3875122,-1.234375,3.765625,-2.296875
35,1697607365,-0.9338379,-0.17047119,-0.34014893,-1.6875,1.515625,-2.40625
36,1697607405,-0.9223633,-0.1675415,-0.36090088,-0.984375,-0.9375,-2.515625
37,1697607445,-0.9243164,-0.17242432,-0.3723755,0.546875,-1.453125,-1.578125
38,1697607485,-0.9291992,-0.16021729,-0.35723877,0.46875,-2.984375,-0.765625
39,1697607525,-0.92626953,-0.15777588,-0.36212158,1.515625,-3.421875,-0.078125
40,1697607565,-0.92700195,-0.1638794,-0.36798096,2.078125,-4.03125,0.28125
41,1697607605,-0.921875,-0.1651001,-0.3789673,2.6875,-2.453125,0.75
